date	ouv	haut	bas	clot	vol	devise	
14/12/2018 00:00	81.825	82.129	79.256	79.596	125850860	USD	
17/12/2018 00:00	78.3	78.801	75.251	76.046	172610880	USD	
18/12/2018 00:00	77	78.378	76.151	77.574	128560580	USD	
19/12/2018 00:00	77.153	79.227	74.192	74.754	100078060	USD	
20/12/2018 00:00	74.138	75.47	71.635	73.042	196912560	USD	
21/12/2018 00:00	73.25	74	68.198	68.873	266236400	USD	
24/12/2018 00:00	67.158	69.802	65.35	67.198	143888240	USD	
26/12/2018 00:00	68.445	73.658	68.151	73.545	206016500	USD	
27/12/2018 00:00	72.858	73.359	69.516	73.082	191457540	USD	
28/12/2018 00:00	73.6	75.669	72.45	73.901	174411240	USD	
31/12/2018 00:00	75.487	76.038	74.35	75.099	136496060	USD	
02/01/2019 00:00	73.26	77.668	73.047	76.957	154941080	USD	
03/01/2019 00:00	76.001	76.9	74.861	75.014	138137020	USD	
04/01/2019 00:00	76.428	79.7	75.973	78.77	182337400	USD	
07/01/2019 00:00	80.222	81.716	79.459	81.476	158875660	USD	
08/01/2019 00:00	83.25	83.821	80.841	82.829	176180640	USD	
09/01/2019 00:00	82.825	83.39	82.075	82.971	125151600	USD	
10/01/2019 00:00	82.077	83.163	81.081	82.811	128696180	USD	
11/01/2019 00:00	82.05	83.004	81.811	82.028	92907480	USD	
14/01/2019 00:00	80.722	82.41	79.775	80.861	119208300	USD	
15/01/2019 00:00	81.6	83.758	81.301	83.728	66959300	USD	
16/01/2019 00:00	84.2	85.25	83.794	84.189	110209020	USD	
17/01/2019 00:00	84.661	85.007	83.88	84.661	82654600	USD	
18/01/2019 00:00	85.601	85.81	84.577	84.81	118895040	USD	
22/01/2019 00:00	84.05	84.092	80.513	81.609	126844780	USD	
23/01/2019 00:00	82.001	82.86	80.6	82.001	103497960	USD	
24/01/2019 00:00	81.96	82.863	81.589	82.747	80977680	USD	
25/01/2019 00:00	83.525	84.173	83.1	83.529	97888220	USD	
28/01/2019 00:00	82.25	82.25	80.705	81.895	95502860	USD	
29/01/2019 00:00	81.531	81.619	79.536	79.694	88512640	USD	
30/01/2019 00:00	81.15	83.848	80.984	83.522	112498340	USD	
31/01/2019 00:00	84.643	86.821	83.957	85.937	189512140	USD	
01/02/2019 00:00	81.944	83.648	81.101	81.312	228857840	USD	
04/02/2019 00:00	81.114	82.48	80.698	81.666	97060880	USD	
05/02/2019 00:00	82.167	83.261	82.125	82.941	88479100	USD	
06/02/2019 00:00	82.013	82.013	81.667	82.013	78394400	USD	
07/02/2019 00:00	81.25	81.251	79.646	80.719	54960460	USD	
08/02/2019 00:00	79.281	79.43	78.338	79.411	112202080	USD	
11/02/2019 00:00	80	80.465	79.3	79.55	65014480	USD	
12/02/2019 00:00	80.2	81.97	79.952	81.901	95783360	USD	
13/02/2019 00:00	82.35	82.819	81.855	82	70429780	USD	
14/02/2019 00:00	81.152	81.895	80.303	81.133	81456380	USD	
15/02/2019 00:00	81.393	81.446	80.228	80.398	86069860	USD	
19/02/2019 00:00	80.1	81.7	80.05	81.379	72736220	USD	
20/02/2019 00:00	81.35	81.747	80.506	81.105	65761600	USD	
21/02/2019 00:00	80.993	81.176	80.046	80.972	69048660	USD	
22/02/2019 00:00	81.143	81.747	81.059	81.578	57030680	USD	
25/02/2019 00:00	82	82.722	81.519	81.65	62122000	USD	
26/02/2019 00:00	81.25	82	80.82	81.82	52075420	USD	
27/02/2019 00:00	81.409	82.09	80.758	82.055	61936560	USD	
28/02/2019 00:00	81.763	82.589	81.698	81.992	58814040	USD	
01/03/2019 00:00	82.6	83.713	82.55	83.587	92727200	USD	
04/03/2019 00:00	84.268	85.472	83.718	84.809	121211740	USD	
05/03/2019 00:00	85.171	85.387	84.456	84.622	73028020	USD	
06/03/2019 00:00	84.765	84.881	83.426	83.448	77991380	USD	
07/03/2019 00:00	83.182	83.475	81.026	81.298	57657540	USD	
08/03/2019 00:00	80.184	81.136	79.329	81.04	89359080	USD	
11/03/2019 00:00	81.306	83.614	81.301	83.531	75394620	USD	
12/03/2019 00:00	83.495	84.207	83.05	83.655	70985320	USD	
13/03/2019 00:00	84.19	85	83.968	84.541	70649260	USD	
14/03/2019 00:00	84.545	85.1	84.219	84.311	58699380	USD	
15/03/2019 00:00	85.149	85.94	84.657	85.618	102068740	USD	
18/03/2019 00:00	85.635	87.5	85.634	87.108	105321380	USD	
19/03/2019 00:00	87.69	89.207	87.69	88.093	126729720	USD	
20/03/2019 00:00	88.577	89.951	88.352	89.864	70016680	USD	
21/03/2019 00:00	89.95	91.188	89.364	90.963	111726240	USD	
22/03/2019 00:00	90.469	90.949	88.171	88.239	69253180	USD	
25/03/2019 00:00	87.837	89.134	87.375	88.713	101688740	USD	
26/03/2019 00:00	89.65	90.289	88.668	89.188	96889480	USD	
27/03/2019 00:00	89.207	89.375	87.284	88.285	45809180	USD	
28/03/2019 00:00	88.5	88.89	87.688	88.671	60367540	USD	
29/03/2019 00:00	89.307	89.643	88.836	89.038	65319480	USD	
01/04/2019 00:00	90.01	90.78	89.937	90.71	82461080	USD	
02/04/2019 00:00	90.551	91	90.256	90.699	66011500	USD	
03/04/2019 00:00	91.253	91.498	90.701	91.035	77617780	USD	
04/04/2019 00:00	91	91.437	90.21	90.943	71228540	USD	
05/04/2019 00:00	91.464	91.927	91.26	91.864	68979120	USD	
08/04/2019 00:00	91.662	92.5	91.257	92.493	73816740	USD	
09/04/2019 00:00	92.207	92.65	91.59	91.792	67225400	USD	
10/04/2019 00:00	92.367	92.4	91.441	92.367	58799140	USD	
11/04/2019 00:00	92.448	92.484	92.016	92.204	52351640	USD	
12/04/2019 00:00	92.45	92.575	92.068	92.153	58379560	USD	
15/04/2019 00:00	92.04	92.343	90.96	92.244	72231600	USD	
16/04/2019 00:00	92.575	93.487	92.419	93.152	59645040	USD	
17/04/2019 00:00	93.611	93.798	93.022	93.241	0	USD	
18/04/2019 00:00	93.541	93.541	92.974	93.085	0	USD	
22/04/2019 00:00	92.7	94.421	92.282	94.366	0	USD	
23/04/2019 00:00	94.56	96.458	94.479	96.189	0	USD	
24/04/2019 00:00	95.088	96.485	94.908	95.088	0	USD	
25/04/2019 00:00	95.99	96.123	95.017	95.113	0	USD	
26/04/2019 00:00	96.4	97.55	94.9	97.532	0	USD	
29/04/2019 00:00	97.45	97.817	96.724	96.922	0	USD	
30/04/2019 00:00	96.505	96.774	95.35	96.326	0	USD	
01/05/2019 00:00	96.653	97.182	95.528	95.576	0	USD	
02/05/2019 00:00	95.667	96.062	94.1	95.041	0	USD	
03/05/2019 00:00	97.45	98.219	96.8	98.123	0	USD	
06/05/2019 00:00	95.856	97.95	95.55	97.528	0	USD	
07/05/2019 00:00	97.02	97.455	95.169	96.05	0	USD	
08/05/2019 00:00	95.944	96.768	95.506	95.889	0	USD	
09/05/2019 00:00	95	95.47	93.8	94.994	0	USD	
10/05/2019 00:00	94.969	95.19	92.8	94.499	0	USD	
13/05/2019 00:00	91.8	92.327	90.903	91.134	0	USD	
14/05/2019 00:00	92.006	92.615	90.788	92.006	0	USD	
15/05/2019 00:00	91.424	93.721	91.15	93.558	0	USD	
16/05/2019 00:00	94.35	95.875	94.115	95.379	0	USD	
17/05/2019 00:00	94.544	95.525	93.369	93.45	0	USD	
