date	ouv	haut	bas	clot	vol	devise	
30/12/2013 00:00	19.908	19.93	19.728	19.803	248716080	USD	
31/12/2013 00:00	19.79	20.045	19.785	20.038	222845476	USD	
02/01/2014 00:00	19.845	19.893	19.715	19.753	234355672	USD	
03/01/2014 00:00	19.75	19.773	19.3	19.32	389733232	USD	
06/01/2014 00:00	19.195	19.528	19.055	19.425	411615204	USD	
07/01/2014 00:00	19.44	19.498	19.213	19.29	319361176	USD	
08/01/2014 00:00	19.243	19.483	19.238	19.408	256383172	USD	
09/01/2014 00:00	19.528	19.528	19.12	19.158	278116904	USD	
10/01/2014 00:00	19.278	19.313	18.97	19.033	304781856	USD	
13/01/2014 00:00	18.928	19.375	18.928	19.133	377924900	USD	
14/01/2014 00:00	19.215	19.523	19.2	19.513	331910228	USD	
15/01/2014 00:00	19.768	20.003	19.705	19.905	391253904	USD	
16/01/2014 00:00	19.82	19.885	19.703	19.793	229011440	USD	
17/01/2014 00:00	19.695	19.715	19.28	19.305	426161624	USD	
21/01/2014 00:00	19.32	19.643	19.3	19.608	327477744	USD	
22/01/2014 00:00	19.673	19.903	19.565	19.695	379060608	USD	
23/01/2014 00:00	19.638	19.875	19.458	19.863	402577528	USD	
24/01/2014 00:00	19.785	19.84	19.463	19.503	430575764	USD	
27/01/2014 00:00	19.67	19.813	19.493	19.66	479152340	USD	
28/01/2014 00:00	18.173	18.393	17.93	18.105	1064293400	USD	
29/01/2014 00:00	18	18.12	17.808	17.878	502165768	USD	
30/01/2014 00:00	17.945	18.085	17.738	17.838	677467776	USD	
31/01/2014 00:00	17.683	17.91	17.625	17.878	226452952	USD	
03/02/2014 00:00	17.943	18.13	17.833	17.91	400320476	USD	
04/02/2014 00:00	18.068	18.193	17.955	18.17	376472832	USD	
05/02/2014 00:00	18.095	18.403	18.083	18.305	327831796	USD	
06/02/2014 00:00	18.233	18.338	18.135	18.303	257312004	USD	
07/02/2014 00:00	18.615	18.675	18.478	18.568	373579112	USD	
10/02/2014 00:00	18.523	18.998	18.5	18.893	344988868	USD	
11/02/2014 00:00	18.95	19.203	18.91	19.14	281479592	USD	
12/02/2014 00:00	19.175	19.27	19.043	19.14	307860356	USD	
13/02/2014 00:00	19.095	19.458	19.078	19.443	307027932	USD	
14/02/2014 00:00	19.373	19.498	19.33	19.428	273300944	USD	
18/02/2014 00:00	19.5	19.683	19.488	19.498	260120100	USD	
19/02/2014 00:00	19.445	19.53	19.085	19.19	311863660	USD	
20/02/2014 00:00	19.025	19.175	18.893	18.968	305572896	USD	
21/02/2014 00:00	19.025	19.09	18.735	18.758	278072496	USD	
24/02/2014 00:00	18.68	18.925	18.658	18.84	288680324	USD	
25/02/2014 00:00	18.895	18.91	18.605	18.645	231453020	USD	
26/02/2014 00:00	18.7	18.75	18.413	18.475	275720940	USD	
27/02/2014 00:00	18.468	18.885	18.435	18.845	298547624	USD	
28/02/2014 00:00	18.895	19.025	18.648	18.793	371491104	USD	
03/03/2014 00:00	18.685	18.95	18.67	18.848	238470900	USD	
04/03/2014 00:00	18.97	19.023	18.848	18.973	259053244	USD	
05/03/2014 00:00	18.958	19.095	18.898	19.013	199320296	USD	
06/03/2014 00:00	19.028	19.085	18.86	18.955	184618944	USD	
07/03/2014 00:00	18.978	18.995	18.788	18.943	220061184	USD	
10/03/2014 00:00	18.87	19.048	18.87	18.96	178584500	USD	
11/03/2014 00:00	19.11	19.24	19.02	19.145	279227524	USD	
12/03/2014 00:00	19.083	19.19	19	19.163	199330852	USD	
13/03/2014 00:00	19.193	19.273	18.9	18.95	257342444	USD	
14/03/2014 00:00	18.865	18.955	18.678	18.738	236710872	USD	
17/03/2014 00:00	18.83	18.928	18.785	18.81	198972376	USD	
18/03/2014 00:00	18.775	18.995	18.758	18.978	209397156	USD	
