date	ouv	haut	bas	clot	vol	devise	
31/12/2012 00:00	755.71	755.71	755.71	755.71	0	EUR	
02/01/2013 00:00	769.29	769.29	769.29	769.29	0	EUR	
03/01/2013 00:00	773.04	773.04	773.04	773.04	0	EUR	
04/01/2013 00:00	774.23	774.23	774.23	774.23	0	EUR	
07/01/2013 00:00	768.21	768.21	768.21	768.21	0	EUR	
08/01/2013 00:00	770.88	770.88	770.88	770.88	0	EUR	
09/01/2013 00:00	776.27	776.27	776.27	776.27	0	EUR	
10/01/2013 00:00	770.45	770.45	770.45	770.45	0	EUR	
11/01/2013 00:00	760.12	760.12	760.12	760.12	0	EUR	
14/01/2013 00:00	760.64	760.64	760.64	760.64	0	EUR	
15/01/2013 00:00	760.93	760.93	760.93	760.93	0	EUR	
16/01/2013 00:00	760.04	760.04	760.04	760.04	0	EUR	
17/01/2013 00:00	758.95	758.95	758.95	758.95	0	EUR	
18/01/2013 00:00	764.22	764.22	764.22	764.22	0	EUR	
21/01/2013 00:00	763.45	763.45	763.45	763.45	0	EUR	
22/01/2013 00:00	766.28	766.28	766.28	766.28	0	EUR	
23/01/2013 00:00	766.29	766.29	766.29	766.29	0	EUR	
24/01/2013 00:00	755.63	755.63	755.63	755.63	0	EUR	
25/01/2013 00:00	749.3	749.3	749.3	749.3	0	EUR	
28/01/2013 00:00	749.93	749.93	749.93	749.93	0	EUR	
29/01/2013 00:00	754.11	754.11	754.11	754.11	0	EUR	
30/01/2013 00:00	750.79	750.79	750.79	750.79	0	EUR	
31/01/2013 00:00	750.98	750.98	750.98	750.98	0	EUR	
01/02/2013 00:00	751.95	751.95	751.95	751.95	0	EUR	
04/02/2013 00:00	754.59	754.59	754.59	754.59	0	EUR	
05/02/2013 00:00	754.41	754.41	754.41	754.41	0	EUR	
06/02/2013 00:00	755.67	755.67	755.67	755.67	0	EUR	
07/02/2013 00:00	759.13	759.13	759.13	759.13	0	EUR	
08/02/2013 00:00	761.52	761.52	761.52	761.52	0	EUR	
11/02/2013 00:00	757.72	757.72	757.72	757.72	0	EUR	
12/02/2013 00:00	755.58	755.58	755.58	755.58	0	EUR	
13/02/2013 00:00	760.76	760.76	760.76	760.76	0	EUR	
14/02/2013 00:00	763.48	763.48	763.48	763.48	0	EUR	
15/02/2013 00:00	760.25	760.25	760.25	760.25	0	EUR	
18/02/2013 00:00	758.43	758.43	758.43	758.43	0	EUR	
19/02/2013 00:00	758.9	758.9	758.9	758.9	0	EUR	
20/02/2013 00:00	758.18	758.18	758.18	758.18	0	EUR	
21/02/2013 00:00	754.22	754.22	754.22	754.22	0	EUR	
22/02/2013 00:00	758.47	758.47	758.47	758.47	0	EUR	
25/02/2013 00:00	756.48	756.48	756.48	756.48	0	EUR	
26/02/2013 00:00	757.58	757.58	757.58	757.58	0	EUR	
27/02/2013 00:00	759.69	759.69	759.69	759.69	0	EUR	
28/02/2013 00:00	765.78	765.78	765.78	765.78	0	EUR	
01/03/2013 00:00	769.18	769.18	769.18	769.18	0	EUR	
04/03/2013 00:00	761.33	761.33	761.33	761.33	0	EUR	
05/03/2013 00:00	769.23	769.23	769.23	769.23	0	EUR	
06/03/2013 00:00	774.43	774.43	774.43	774.43	0	EUR	
07/03/2013 00:00	767.78	767.78	767.78	767.78	0	EUR	
08/03/2013 00:00	779.34	779.34	779.34	779.34	0	EUR	
11/03/2013 00:00	775.18	775.18	775.18	775.18	0	EUR	
12/03/2013 00:00	773.53	773.53	773.53	773.53	0	EUR	
13/03/2013 00:00	774.84	774.84	774.84	774.84	0	EUR	
14/03/2013 00:00	772.68	772.68	772.68	772.68	0	EUR	
15/03/2013 00:00	764.1	764.1	764.1	764.1	0	EUR	
18/03/2013 00:00	762.53	762.53	762.53	762.53	0	EUR	
19/03/2013 00:00	761.17	761.17	761.17	761.17	0	EUR	
20/03/2013 00:00	758.53	758.53	758.53	758.53	0	EUR	
21/03/2013 00:00	757.24	757.24	757.24	757.24	0	EUR	
22/03/2013 00:00	749.99	749.99	749.99	749.99	0	EUR	
25/03/2013 00:00	754.99	754.99	754.99	754.99	0	EUR	
26/03/2013 00:00	762.46	762.46	762.46	762.46	0	EUR	
27/03/2013 00:00	769.56	769.56	769.56	769.56	0	EUR	
28/03/2013 00:00	767.42	767.42	767.42	767.42	0	EUR	
29/03/2013 00:00	768.41	768.41	768.41	768.41	0	EUR	
02/04/2013 00:00	764.92	764.92	764.92	764.92	0	EUR	
03/04/2013 00:00	757.57	757.57	757.57	757.57	0	EUR	
04/04/2013 00:00	753.31	753.31	753.31	753.31	0	EUR	
05/04/2013 00:00	738.74	738.74	738.74	738.74	0	EUR	
08/04/2013 00:00	740.05	740.05	740.05	740.05	0	EUR	
09/04/2013 00:00	746.04	746.04	746.04	746.04	0	EUR	
10/04/2013 00:00	748.6	748.6	748.6	748.6	0	EUR	
11/04/2013 00:00	749.43	749.43	749.43	749.43	0	EUR	
12/04/2013 00:00	744.07	744.07	744.07	744.07	0	EUR	
15/04/2013 00:00	727.92	727.92	727.92	727.92	0	EUR	
16/04/2013 00:00	730.46	730.46	730.46	730.46	0	EUR	
17/04/2013 00:00	728.52	728.52	728.52	728.52	0	EUR	
18/04/2013 00:00	729.39	729.39	729.39	729.39	0	EUR	
19/04/2013 00:00	735.52	735.52	735.52	735.52	0	EUR	
22/04/2013 00:00	739.51	739.51	739.51	739.51	0	EUR	
23/04/2013 00:00	741.54	741.54	741.54	741.54	0	EUR	
24/04/2013 00:00	746.63	746.63	746.63	746.63	0	EUR	
25/04/2013 00:00	754.57	754.57	754.57	754.57	0	EUR	
26/04/2013 00:00	749.88	749.88	749.88	749.88	0	EUR	
29/04/2013 00:00	750.18	750.18	750.18	750.18	0	EUR	
30/04/2013 00:00	754.22	754.22	754.22	754.22	0	EUR	
02/05/2013 00:00	759.22	759.22	759.22	759.22	0	EUR	
03/05/2013 00:00	757.59	757.59	757.59	757.59	0	EUR	
06/05/2013 00:00	763.48	763.48	763.48	763.48	0	EUR	
07/05/2013 00:00	768.22	768.22	768.22	768.22	0	EUR	
10/05/2013 00:00	774.57	774.57	774.57	774.57	0	EUR	
13/05/2013 00:00	766.68	766.68	766.68	766.68	0	EUR	
14/05/2013 00:00	770.59	770.59	770.59	770.59	0	EUR	
15/05/2013 00:00	776.94	776.94	776.94	776.94	0	EUR	
16/05/2013 00:00	773.99	773.99	773.99	773.99	0	EUR	
17/05/2013 00:00	779.27	779.27	779.27	779.27	0	EUR	
21/05/2013 00:00	777.26	777.26	777.26	777.26	0	EUR	
22/05/2013 00:00	774.62	774.62	774.62	774.62	0	EUR	
23/05/2013 00:00	759.09	759.09	759.09	759.09	0	EUR	
24/05/2013 00:00	758.38	758.38	758.38	758.38	0	EUR	
27/05/2013 00:00	758.47	758.47	758.47	758.47	0	EUR	
28/05/2013 00:00	765.92	765.92	765.92	765.92	0	EUR	
29/05/2013 00:00	752.65	752.65	752.65	752.65	0	EUR	
30/05/2013 00:00	748.19	748.19	748.19	748.19	0	EUR	
31/05/2013 00:00	744.52	744.52	744.52	744.52	0	EUR	
03/06/2013 00:00	737.7	737.7	737.7	737.7	0	EUR	
04/06/2013 00:00	735.12	735.12	735.12	735.12	0	EUR	
05/06/2013 00:00	723.71	723.71	723.71	723.71	0	EUR	
06/06/2013 00:00	716.56	716.56	716.56	716.56	0	EUR	
07/06/2013 00:00	714.22	714.22	714.22	714.22	0	EUR	
10/06/2013 00:00	712.15	712.15	712.15	712.15	0	EUR	
11/06/2013 00:00	693.73	693.73	693.73	693.73	0	EUR	
