date	ouv	haut	bas	clot	vol	devise	
31/12/2012 00:00	82.07	82.07	82.07	82.07	0	EUR	
02/01/2013 00:00	83.87	83.87	83.87	83.87	0	EUR	
03/01/2013 00:00	84.13	84.13	84.13	84.13	0	EUR	
04/01/2013 00:00	84.21	84.21	84.21	84.21	0	EUR	
07/01/2013 00:00	84.2	84.2	84.2	84.2	0	EUR	
08/01/2013 00:00	84.35	84.35	84.35	84.35	0	EUR	
09/01/2013 00:00	84.97	84.97	84.97	84.97	0	EUR	
10/01/2013 00:00	84.87	84.87	84.87	84.87	0	EUR	
11/01/2013 00:00	84.92	84.92	84.92	84.92	0	EUR	
14/01/2013 00:00	85.01	85.01	85.01	85.01	0	EUR	
15/01/2013 00:00	84.72	84.72	84.72	84.72	0	EUR	
16/01/2013 00:00	85.08	85.08	85.08	85.08	0	EUR	
17/01/2013 00:00	85.75	85.75	85.75	85.75	0	EUR	
18/01/2013 00:00	85.73	85.73	85.73	85.73	0	EUR	
21/01/2013 00:00	86.03	86.03	86.03	86.03	0	EUR	
22/01/2013 00:00	85.76	85.76	85.76	85.76	0	EUR	
23/01/2013 00:00	85.8	85.8	85.8	85.8	0	EUR	
24/01/2013 00:00	86	86	86	86	0	EUR	
25/01/2013 00:00	86.18	86.18	86.18	86.18	0	EUR	
28/01/2013 00:00	86.24	86.24	86.24	86.24	0	EUR	
29/01/2013 00:00	86.24	86.24	86.24	86.24	0	EUR	
30/01/2013 00:00	85.46	85.46	85.46	85.46	0	EUR	
31/01/2013 00:00	84.98	84.98	84.98	84.98	0	EUR	
01/02/2013 00:00	85.8	85.8	85.8	85.8	0	EUR	
04/02/2013 00:00	84.39	84.39	84.39	84.39	0	EUR	
05/02/2013 00:00	85.06	85.06	85.06	85.06	0	EUR	
06/02/2013 00:00	84.64	84.64	84.64	84.64	0	EUR	
07/02/2013 00:00	84.16	84.16	84.16	84.16	0	EUR	
08/02/2013 00:00	85.33	85.33	85.33	85.33	0	EUR	
11/02/2013 00:00	84.88	84.88	84.88	84.88	0	EUR	
12/02/2013 00:00	85.47	85.47	85.47	85.47	0	EUR	
13/02/2013 00:00	86.06	86.06	86.06	86.06	0	EUR	
14/02/2013 00:00	86.13	86.13	86.13	86.13	0	EUR	
15/02/2013 00:00	86.18	86.18	86.18	86.18	0	EUR	
18/02/2013 00:00	86.24	86.24	86.24	86.24	0	EUR	
19/02/2013 00:00	87.44	87.44	87.44	87.44	0	EUR	
20/02/2013 00:00	87.55	87.55	87.55	87.55	0	EUR	
21/02/2013 00:00	86	86	86	86	0	EUR	
22/02/2013 00:00	87.1	87.1	87.1	87.1	0	EUR	
25/02/2013 00:00	87.28	87.28	87.28	87.28	0	EUR	
26/02/2013 00:00	86.43	86.43	86.43	86.43	0	EUR	
27/02/2013 00:00	87.18	87.18	87.18	87.18	0	EUR	
28/02/2013 00:00	87.85	87.85	87.85	87.85	0	EUR	
01/03/2013 00:00	87.68	87.68	87.68	87.68	0	EUR	
04/03/2013 00:00	87.7	87.7	87.7	87.7	0	EUR	
05/03/2013 00:00	89.3	89.3	89.3	89.3	0	EUR	
06/03/2013 00:00	89.38	89.38	89.38	89.38	0	EUR	
07/03/2013 00:00	89.38	89.38	89.38	89.38	0	EUR	
08/03/2013 00:00	90.11	90.11	90.11	90.11	0	EUR	
11/03/2013 00:00	90.12	90.12	90.12	90.12	0	EUR	
12/03/2013 00:00	90.09	90.09	90.09	90.09	0	EUR	
13/03/2013 00:00	89.65	89.65	89.65	89.65	0	EUR	
14/03/2013 00:00	90.15	90.15	90.15	90.15	0	EUR	
15/03/2013 00:00	90.08	90.08	90.08	90.08	0	EUR	
18/03/2013 00:00	90.12	90.12	90.12	90.12	0	EUR	
19/03/2013 00:00	89.68	89.68	89.68	89.68	0	EUR	
20/03/2013 00:00	89.97	89.97	89.97	89.97	0	EUR	
21/03/2013 00:00	89.53	89.53	89.53	89.53	0	EUR	
22/03/2013 00:00	89.1	89.1	89.1	89.1	0	EUR	
25/03/2013 00:00	88.89	88.89	88.89	88.89	0	EUR	
26/03/2013 00:00	89.46	89.46	89.46	89.46	0	EUR	
27/03/2013 00:00	89.26	89.26	89.26	89.26	0	EUR	
28/03/2013 00:00	89.42	89.42	89.42	89.42	0	EUR	
02/04/2013 00:00	90.1	90.1	90.1	90.1	0	EUR	
03/04/2013 00:00	89.6	89.6	89.6	89.6	0	EUR	
04/04/2013 00:00	88.7	88.7	88.7	88.7	0	EUR	
05/04/2013 00:00	87.17	87.17	87.17	87.17	0	EUR	
08/04/2013 00:00	87.57	87.57	87.57	87.57	0	EUR	
09/04/2013 00:00	87.31	87.31	87.31	87.31	0	EUR	
10/04/2013 00:00	88.66	88.66	88.66	88.66	0	EUR	
11/04/2013 00:00	88.86	88.86	88.86	88.86	0	EUR	
12/04/2013 00:00	88.38	88.38	88.38	88.38	0	EUR	
15/04/2013 00:00	87.8	87.8	87.8	87.8	0	EUR	
16/04/2013 00:00	87.44	87.44	87.44	87.44	0	EUR	
17/04/2013 00:00	86.49	86.49	86.49	86.49	0	EUR	
18/04/2013 00:00	86.5	86.5	86.5	86.5	0	EUR	
19/04/2013 00:00	86.83	86.83	86.83	86.83	0	EUR	
22/04/2013 00:00	86.68	86.68	86.68	86.68	0	EUR	
