date	ouv	haut	bas	clot	vol	devise	
31/12/2012 00:00	917.24	917.24	917.24	917.24	0	EUR	
02/01/2013 00:00	927.07	927.07	927.07	927.07	0	EUR	
03/01/2013 00:00	936.86	936.86	936.86	936.86	0	EUR	
04/01/2013 00:00	949.59	949.59	949.59	949.59	0	EUR	
07/01/2013 00:00	939.49	939.49	939.49	939.49	0	EUR	
08/01/2013 00:00	932.11	932.11	932.11	932.11	0	EUR	
09/01/2013 00:00	939.04	939.04	939.04	939.04	0	EUR	
10/01/2013 00:00	936.09	936.09	936.09	936.09	0	EUR	
11/01/2013 00:00	926.9	926.9	926.9	926.9	0	EUR	
14/01/2013 00:00	920.31	920.31	920.31	920.31	0	EUR	
16/01/2013 00:00	925.51	925.51	925.51	925.51	0	EUR	
17/01/2013 00:00	920.74	920.74	920.74	920.74	0	EUR	
18/01/2013 00:00	929.82	929.82	929.82	929.82	0	EUR	
21/01/2013 00:00	930.57	930.57	930.57	930.57	0	EUR	
22/01/2013 00:00	926.85	926.85	926.85	926.85	0	EUR	
23/01/2013 00:00	928.67	928.67	928.67	928.67	0	EUR	
24/01/2013 00:00	927.52	927.52	927.52	927.52	0	EUR	
25/01/2013 00:00	925.18	925.18	925.18	925.18	0	EUR	
28/01/2013 00:00	920.84	920.84	920.84	920.84	0	EUR	
29/01/2013 00:00	924.63	924.63	924.63	924.63	0	EUR	
30/01/2013 00:00	920.76	920.76	920.76	920.76	0	EUR	
31/01/2013 00:00	922.54	922.54	922.54	922.54	0	EUR	
01/02/2013 00:00	920.58	920.58	920.58	920.58	0	EUR	
04/02/2013 00:00	917.55	917.55	917.55	917.55	0	EUR	
05/02/2013 00:00	913.57	913.57	913.57	913.57	0	EUR	
06/02/2013 00:00	922.17	922.17	922.17	922.17	0	EUR	
07/02/2013 00:00	913.46	913.46	913.46	913.46	0	EUR	
08/02/2013 00:00	927.92	927.92	927.92	927.92	0	EUR	
11/02/2013 00:00	926.42	926.42	926.42	926.42	0	EUR	
12/02/2013 00:00	925.43	925.43	925.43	925.43	0	EUR	
13/02/2013 00:00	924.4	924.4	924.4	924.4	0	EUR	
14/02/2013 00:00	935.97	935.97	935.97	935.97	0	EUR	
15/02/2013 00:00	936.24	936.24	936.24	936.24	0	EUR	
18/02/2013 00:00	934.08	934.08	934.08	934.08	0	EUR	
19/02/2013 00:00	936.94	936.94	936.94	936.94	0	EUR	
20/02/2013 00:00	933.63	933.63	933.63	933.63	0	EUR	
21/02/2013 00:00	930.87	930.87	930.87	930.87	0	EUR	
22/02/2013 00:00	935.35	935.35	935.35	935.35	0	EUR	
25/02/2013 00:00	927.94	927.94	927.94	927.94	0	EUR	
26/02/2013 00:00	937.23	937.23	937.23	937.23	0	EUR	
27/02/2013 00:00	937.89	937.89	937.89	937.89	0	EUR	
28/02/2013 00:00	946.55	946.55	946.55	946.55	0	EUR	
01/03/2013 00:00	953.52	953.52	953.52	953.52	0	EUR	
04/03/2013 00:00	953.24	953.24	953.24	953.24	0	EUR	
05/03/2013 00:00	958.37	958.37	958.37	958.37	0	EUR	
