date	ouv	haut	bas	clot	vol	devise	
30/12/2013 00:00	1.375	1.382	1.373	1.379	0	USD	
31/12/2013 00:00	1.38	1.381	1.374	1.376	0	USD	
02/01/2014 00:00	1.38	1.381	1.363	1.366	0	USD	
03/01/2014 00:00	1.367	1.367	1.358	1.359	0	USD	
06/01/2014 00:00	1.359	1.365	1.357	1.363	0	USD	
07/01/2014 00:00	1.363	1.366	1.36	1.361	0	USD	
08/01/2014 00:00	1.362	1.364	1.355	1.358	0	USD	
09/01/2014 00:00	1.358	1.363	1.355	1.36	0	USD	
10/01/2014 00:00	1.36	1.369	1.357	1.367	0	USD	
13/01/2014 00:00	1.367	1.369	1.364	1.367	0	USD	
14/01/2014 00:00	1.367	1.37	1.365	1.367	0	USD	
15/01/2014 00:00	1.367	1.368	1.358	1.361	0	USD	
16/01/2014 00:00	1.361	1.365	1.358	1.362	0	USD	
17/01/2014 00:00	1.362	1.362	1.352	1.354	0	USD	
20/01/2014 00:00	1.353	1.357	1.351	1.356	0	USD	
21/01/2014 00:00	1.356	1.357	1.352	1.356	0	USD	
22/01/2014 00:00	1.356	1.358	1.353	1.355	0	USD	
23/01/2014 00:00	1.355	1.37	1.353	1.369	0	USD	
24/01/2014 00:00	1.37	1.374	1.366	1.368	0	USD	
27/01/2014 00:00	1.368	1.372	1.365	1.367	0	USD	
28/01/2014 00:00	1.367	1.369	1.363	1.365	0	USD	
29/01/2014 00:00	1.366	1.369	1.36	1.366	0	USD	
30/01/2014 00:00	1.366	1.366	1.354	1.356	0	USD	
31/01/2014 00:00	1.355	1.357	1.348	1.349	0	USD	
03/02/2014 00:00	1.349	1.354	1.348	1.353	0	USD	
04/02/2014 00:00	1.353	1.354	1.349	1.351	0	USD	
05/02/2014 00:00	1.351	1.356	1.35	1.354	0	USD	
06/02/2014 00:00	1.353	1.362	1.348	1.359	0	USD	
07/02/2014 00:00	1.359	1.364	1.355	1.364	0	USD	
10/02/2014 00:00	1.362	1.365	1.362	1.365	0	USD	
11/02/2014 00:00	1.364	1.368	1.363	1.364	0	USD	
12/02/2014 00:00	1.364	1.365	1.356	1.36	0	USD	
13/02/2014 00:00	1.359	1.369	1.359	1.368	0	USD	
14/02/2014 00:00	1.368	1.372	1.367	1.368	0	USD	
17/02/2014 00:00	1.37	1.372	1.369	1.371	0	USD	
18/02/2014 00:00	1.371	1.377	1.369	1.376	0	USD	
19/02/2014 00:00	1.376	1.377	1.372	1.373	0	USD	
20/02/2014 00:00	1.373	1.376	1.369	1.372	0	USD	
21/02/2014 00:00	1.372	1.376	1.37	1.373	0	USD	
24/02/2014 00:00	1.374	1.377	1.371	1.373	0	USD	
25/02/2014 00:00	1.373	1.377	1.372	1.375	0	USD	
26/02/2014 00:00	1.375	1.376	1.366	1.368	0	USD	
27/02/2014 00:00	1.368	1.373	1.364	1.371	0	USD	
28/02/2014 00:00	1.371	1.382	1.369	1.382	0	USD	
03/03/2014 00:00	1.378	1.379	1.373	1.374	0	USD	
04/03/2014 00:00	1.374	1.378	1.372	1.374	0	USD	
05/03/2014 00:00	1.374	1.375	1.371	1.374	0	USD	
06/03/2014 00:00	1.373	1.387	1.372	1.386	0	USD	
07/03/2014 00:00	1.386	1.392	1.385	1.387	0	USD	
10/03/2014 00:00	1.388	1.39	1.386	1.388	0	USD	
11/03/2014 00:00	1.388	1.388	1.383	1.386	0	USD	
12/03/2014 00:00	1.386	1.392	1.384	1.39	0	USD	
13/03/2014 00:00	1.391	1.397	1.385	1.388	0	USD	
14/03/2014 00:00	1.387	1.394	1.385	1.391	0	USD	
17/03/2014 00:00	1.391	1.395	1.388	1.392	0	USD	
18/03/2014 00:00	1.392	1.394	1.388	1.393	0	USD	
19/03/2014 00:00	1.393	1.393	1.381	1.382	0	USD	
20/03/2014 00:00	1.382	1.385	1.375	1.378	0	USD	
21/03/2014 00:00	1.378	1.381	1.377	1.379	0	USD	
24/03/2014 00:00	1.379	1.388	1.376	1.384	0	USD	
25/03/2014 00:00	1.384	1.385	1.375	1.383	0	USD	
26/03/2014 00:00	1.383	1.383	1.378	1.379	0	USD	
27/03/2014 00:00	1.378	1.38	1.373	1.374	0	USD	
28/03/2014 00:00	1.374	1.377	1.371	1.375	0	USD	
31/03/2014 00:00	1.375	1.381	1.372	1.377	0	USD	
01/04/2014 00:00	1.377	1.382	1.377	1.379	0	USD	
02/04/2014 00:00	1.379	1.382	1.375	1.377	0	USD	
03/04/2014 00:00	1.376	1.381	1.37	1.372	0	USD	
04/04/2014 00:00	1.372	1.373	1.367	1.37	0	USD	
07/04/2014 00:00	1.37	1.375	1.37	1.374	0	USD	
08/04/2014 00:00	1.374	1.381	1.374	1.38	0	USD	
09/04/2014 00:00	1.38	1.386	1.378	1.385	0	USD	
10/04/2014 00:00	1.385	1.39	1.384	1.389	0	USD	
11/04/2014 00:00	1.389	1.391	1.386	1.388	0	USD	
14/04/2014 00:00	1.385	1.386	1.381	1.382	0	USD	
15/04/2014 00:00	1.382	1.383	1.379	1.381	0	USD	
16/04/2014 00:00	1.381	1.385	1.38	1.382	0	USD	
17/04/2014 00:00	1.382	1.387	1.381	1.381	0	USD	
22/04/2014 00:00	1.381	1.383	1.379	1.381	0	USD	
23/04/2014 00:00	1.381	1.386	1.38	1.382	0	USD	
24/04/2014 00:00	1.382	1.384	1.379	1.383	0	USD	
25/04/2014 00:00	1.383	1.385	1.383	1.384	0	USD	
28/04/2014 00:00	1.384	1.388	1.381	1.385	0	USD	
29/04/2014 00:00	1.385	1.388	1.381	1.381	0	USD	
30/04/2014 00:00	1.381	1.388	1.377	1.387	0	USD	
01/05/2014 00:00	1.387	1.389	1.386	1.387	0	USD	
02/05/2014 00:00	1.387	1.388	1.381	1.388	0	USD	
05/05/2014 00:00	1.387	1.389	1.386	1.388	0	USD	
06/05/2014 00:00	1.387	1.395	1.387	1.393	0	USD	
