date	ouv	haut	bas	clot	vol	devise	
12/08/2015 00:00	9.689	9.689	9.689	9.689	0	EUR	
13/08/2015 00:00	9.831	9.831	9.831	9.831	0	EUR	
14/08/2015 00:00	9.835	9.835	9.835	9.835	0	EUR	
17/08/2015 00:00	9.901	9.901	9.901	9.901	0	EUR	
18/08/2015 00:00	9.953	9.953	9.953	9.953	0	EUR	
19/08/2015 00:00	9.792	9.792	9.792	9.792	0	EUR	
20/08/2015 00:00	9.545	9.545	9.545	9.545	0	EUR	
21/08/2015 00:00	9.184	9.184	9.184	9.184	0	EUR	
24/08/2015 00:00	8.681	8.681	8.681	8.681	0	EUR	
25/08/2015 00:00	8.898	8.898	8.898	8.898	0	EUR	
26/08/2015 00:00	8.763	8.763	8.763	8.763	0	EUR	
27/08/2015 00:00	9.199	9.199	9.199	9.199	0	EUR	
28/08/2015 00:00	9.269	9.269	9.269	9.269	0	EUR	
31/08/2015 00:00	9.241	9.241	9.241	9.241	0	EUR	
01/09/2015 00:00	8.953	8.953	8.953	8.953	0	EUR	
02/09/2015 00:00	8.939	8.939	8.939	8.939	0	EUR	
03/09/2015 00:00	9.228	9.228	9.228	9.228	0	EUR	
04/09/2015 00:00	9.022	9.022	9.022	9.022	0	EUR	
07/09/2015 00:00	9.023	9.023	9.023	9.023	0	EUR	
08/09/2015 00:00	9.101	9.101	9.101	9.101	0	EUR	
09/09/2015 00:00	9.255	9.255	9.255	9.255	0	EUR	
10/09/2015 00:00	9.092	9.092	9.092	9.092	0	EUR	
11/09/2015 00:00	8.997	8.997	8.997	8.997	0	EUR	
14/09/2015 00:00	9.006	9.006	9.006	9.006	0	EUR	
15/09/2015 00:00	9.085	9.085	9.085	9.085	0	EUR	
16/09/2015 00:00	9.171	9.171	9.171	9.171	0	EUR	
17/09/2015 00:00	9.19	9.19	9.19	9.19	0	EUR	
18/09/2015 00:00	9.055	9.055	9.055	9.055	0	EUR	
21/09/2015 00:00	9.148	9.148	9.148	9.148	0	EUR	
23/09/2015 00:00	8.982	8.982	8.982	8.982	0	EUR	
24/09/2015 00:00	8.783	8.783	8.783	8.783	0	EUR	
25/09/2015 00:00	8.981	8.981	8.981	8.981	0	EUR	
28/09/2015 00:00	8.712	8.712	8.712	8.712	0	EUR	
29/09/2015 00:00	8.644	8.644	8.644	8.644	0	EUR	
30/09/2015 00:00	8.803	8.803	8.803	8.803	0	EUR	
01/10/2015 00:00	8.818	8.818	8.818	8.818	0	EUR	
02/10/2015 00:00	8.808	8.808	8.808	8.808	0	EUR	
05/10/2015 00:00	9.119	9.119	9.119	9.119	0	EUR	
06/10/2015 00:00	9.056	9.056	9.056	9.056	0	EUR	
07/10/2015 00:00	9.118	9.118	9.118	9.118	0	EUR	
08/10/2015 00:00	9.104	9.104	9.104	9.104	0	EUR	
09/10/2015 00:00	9.109	9.109	9.109	9.109	0	EUR	
12/10/2015 00:00	9.086	9.086	9.086	9.086	0	EUR	
13/10/2015 00:00	9.086	9.086	9.086	9.086	0	EUR	
14/10/2015 00:00	8.987	8.987	8.987	8.987	0	EUR	
15/10/2015 00:00	9.072	9.072	9.072	9.072	0	EUR	
16/10/2015 00:00	9.217	9.217	9.217	9.217	0	EUR	
19/10/2015 00:00	9.252	9.252	9.252	9.252	0	EUR	
20/10/2015 00:00	9.208	9.208	9.208	9.208	0	EUR	
21/10/2015 00:00	9.219	9.219	9.219	9.219	0	EUR	
22/10/2015 00:00	9.421	9.421	9.421	9.421	0	EUR	
23/10/2015 00:00	9.63	9.63	9.63	9.63	0	EUR	
26/10/2015 00:00	9.61	9.61	9.61	9.61	0	EUR	
27/10/2015 00:00	9.562	9.562	9.562	9.562	0	EUR	
28/10/2015 00:00	9.626	9.626	9.626	9.626	0	EUR	
29/10/2015 00:00	9.735	9.735	9.735	9.735	0	EUR	
30/10/2015 00:00	9.721	9.721	9.721	9.721	0	EUR	
02/11/2015 00:00	9.755	9.755	9.755	9.755	0	EUR	
03/11/2015 00:00	9.867	9.867	9.867	9.867	0	EUR	
04/11/2015 00:00	9.919	9.919	9.919	9.919	0	EUR	
05/11/2015 00:00	9.91	9.91	9.91	9.91	0	EUR	
06/11/2015 00:00	10.02	10.02	10.02	10.02	0	EUR	
09/11/2015 00:00	9.917	9.917	9.917	9.917	0	EUR	
10/11/2015 00:00	10.01	10.01	10.01	10.01	0	EUR	
11/11/2015 00:00	10.02	10.02	10.02	10.02	0	EUR	
12/11/2015 00:00	9.905	9.905	9.905	9.905	0	EUR	
13/11/2015 00:00	9.858	9.858	9.858	9.858	0	EUR	
16/11/2015 00:00	9.846	9.846	9.846	9.846	0	EUR	
17/11/2015 00:00	10.07	10.07	10.07	10.07	0	EUR	
18/11/2015 00:00	10.06	10.06	10.06	10.06	0	EUR	
19/11/2015 00:00	10.02	10.02	10.02	10.02	0	EUR	
20/11/2015 00:00	10.13	10.13	10.13	10.13	0	EUR	
23/11/2015 00:00	10.18	10.18	10.18	10.18	0	EUR	
24/11/2015 00:00	10.08	10.08	10.08	10.08	0	EUR	
25/11/2015 00:00	10.16	10.16	10.16	10.16	0	EUR	
26/11/2015 00:00	10.21	10.21	10.21	10.21	0	EUR	
27/11/2015 00:00	10.18	10.18	10.18	10.18	0	EUR	
30/11/2015 00:00	10.19	10.19	10.19	10.19	0	EUR	
01/12/2015 00:00	10.2	10.2	10.2	10.2	0	EUR	
02/12/2015 00:00	10.26	10.26	10.26	10.26	0	EUR	
03/12/2015 00:00	9.866	9.866	9.866	9.866	0	EUR	
04/12/2015 00:00	9.842	9.842	9.842	9.842	0	EUR	
07/12/2015 00:00	9.888	9.888	9.888	9.888	0	EUR	
08/12/2015 00:00	9.778	9.778	9.778	9.778	0	EUR	
09/12/2015 00:00	9.64	9.64	9.64	9.64	0	EUR	
10/12/2015 00:00	9.674	9.674	9.674	9.674	0	EUR	
11/12/2015 00:00	9.485	9.485	9.485	9.485	0	EUR	
14/12/2015 00:00	9.356	9.356	9.356	9.356	0	EUR	
15/12/2015 00:00	9.63	9.63	9.63	9.63	0	EUR	
16/12/2015 00:00	9.643	9.643	9.643	9.643	0	EUR	
