date	ouv	haut	bas	clot	vol	devise	
31/12/2012 00:00	107.84	107.84	107.84	107.84	0	EUR	
02/01/2013 00:00	109.57	109.57	109.57	109.57	0	EUR	
03/01/2013 00:00	109.59	109.59	109.59	109.59	0	EUR	
04/01/2013 00:00	109.7	109.7	109.7	109.7	0	EUR	
07/01/2013 00:00	109.55	109.55	109.55	109.55	0	EUR	
08/01/2013 00:00	109.46	109.46	109.46	109.46	0	EUR	
09/01/2013 00:00	109.91	109.91	109.91	109.91	0	EUR	
10/01/2013 00:00	110.02	110.02	110.02	110.02	0	EUR	
11/01/2013 00:00	110.05	110.05	110.05	110.05	0	EUR	
14/01/2013 00:00	110.1	110.1	110.1	110.1	0	EUR	
15/01/2013 00:00	109.79	109.79	109.79	109.79	0	EUR	
16/01/2013 00:00	109.63	109.63	109.63	109.63	0	EUR	
17/01/2013 00:00	109.98	109.98	109.98	109.98	0	EUR	
18/01/2013 00:00	109.88	109.88	109.88	109.88	0	EUR	
21/01/2013 00:00	110.24	110.24	110.24	110.24	0	EUR	
22/01/2013 00:00	110.02	110.02	110.02	110.02	0	EUR	
23/01/2013 00:00	109.68	109.68	109.68	109.68	0	EUR	
24/01/2013 00:00	109.96	109.96	109.96	109.96	0	EUR	
28/01/2013 00:00	110.35	110.35	110.35	110.35	0	EUR	
29/01/2013 00:00	110.27	110.27	110.27	110.27	0	EUR	
30/01/2013 00:00	109.66	109.66	109.66	109.66	0	EUR	
31/01/2013 00:00	109.42	109.42	109.42	109.42	0	EUR	
01/02/2013 00:00	109.68	109.68	109.68	109.68	0	EUR	
04/02/2013 00:00	108.18	108.18	108.18	108.18	0	EUR	
05/02/2013 00:00	108.56	108.56	108.56	108.56	0	EUR	
06/02/2013 00:00	107.93	107.93	107.93	107.93	0	EUR	
07/02/2013 00:00	107.63	107.63	107.63	107.63	0	EUR	
08/02/2013 00:00	108.33	108.33	108.33	108.33	0	EUR	
11/02/2013 00:00	108.04	108.04	108.04	108.04	0	EUR	
12/02/2013 00:00	108.43	108.43	108.43	108.43	0	EUR	
13/02/2013 00:00	108.55	108.55	108.55	108.55	0	EUR	
14/02/2013 00:00	108.22	108.22	108.22	108.22	0	EUR	
15/02/2013 00:00	107.97	107.97	107.97	107.97	0	EUR	
18/02/2013 00:00	107.99	107.99	107.99	107.99	0	EUR	
19/02/2013 00:00	108.9	108.9	108.9	108.9	0	EUR	
20/02/2013 00:00	108.45	108.45	108.45	108.45	0	EUR	
21/02/2013 00:00	107.17	107.17	107.17	107.17	0	EUR	
22/02/2013 00:00	108.23	108.23	108.23	108.23	0	EUR	
25/02/2013 00:00	108.58	108.58	108.58	108.58	0	EUR	
