date	ouv	haut	bas	clot	vol	devise	
31/12/2012 00:00	9.79	9.79	9.79	9.79	0	EUR	
02/01/2013 00:00	10.18	10.18	10.18	10.18	0	EUR	
03/01/2013 00:00	10.27	10.27	10.27	10.27	0	EUR	
04/01/2013 00:00	10.18	10.18	10.18	10.18	0	EUR	
07/01/2013 00:00	10.17	10.17	10.17	10.17	0	EUR	
08/01/2013 00:00	10.14	10.14	10.14	10.14	0	EUR	
09/01/2013 00:00	10.23	10.23	10.23	10.23	0	EUR	
10/01/2013 00:00	10.21	10.21	10.21	10.21	0	EUR	
11/01/2013 00:00	10.14	10.14	10.14	10.14	0	EUR	
14/01/2013 00:00	10.14	10.14	10.14	10.14	0	EUR	
15/01/2013 00:00	10.06	10.06	10.06	10.06	0	EUR	
16/01/2013 00:00	10.16	10.16	10.16	10.16	0	EUR	
17/01/2013 00:00	10.2	10.2	10.2	10.2	0	EUR	
18/01/2013 00:00	10.22	10.22	10.22	10.22	0	EUR	
22/01/2013 00:00	10.18	10.18	10.18	10.18	0	EUR	
23/01/2013 00:00	10.22	10.22	10.22	10.22	0	EUR	
24/01/2013 00:00	10.29	10.29	10.29	10.29	0	EUR	
25/01/2013 00:00	10.29	10.29	10.29	10.29	0	EUR	
28/01/2013 00:00	10.37	10.37	10.37	10.37	0	EUR	
29/01/2013 00:00	10.15	10.15	10.15	10.15	0	EUR	
30/01/2013 00:00	10.13	10.13	10.13	10.13	0	EUR	
31/01/2013 00:00	10.17	10.17	10.17	10.17	0	EUR	
01/02/2013 00:00	10.15	10.15	10.15	10.15	0	EUR	
04/02/2013 00:00	10.2	10.2	10.2	10.2	0	EUR	
05/02/2013 00:00	10.16	10.16	10.16	10.16	0	EUR	
06/02/2013 00:00	10.18	10.18	10.18	10.18	0	EUR	
07/02/2013 00:00	10.17	10.17	10.17	10.17	0	EUR	
08/02/2013 00:00	10.26	10.26	10.26	10.26	0	EUR	
11/02/2013 00:00	10.22	10.22	10.22	10.22	0	EUR	
12/02/2013 00:00	10.19	10.19	10.19	10.19	0	EUR	
13/02/2013 00:00	10.15	10.15	10.15	10.15	0	EUR	
14/02/2013 00:00	10.18	10.18	10.18	10.18	0	EUR	
15/02/2013 00:00	10.28	10.28	10.28	10.28	0	EUR	
19/02/2013 00:00	10.27	10.27	10.27	10.27	0	EUR	
20/02/2013 00:00	10.28	10.28	10.28	10.28	0	EUR	
21/02/2013 00:00	10.16	10.16	10.16	10.16	0	EUR	
22/02/2013 00:00	10.25	10.25	10.25	10.25	0	EUR	
25/02/2013 00:00	10.25	10.25	10.25	10.25	0	EUR	
27/02/2013 00:00	10.25	10.25	10.25	10.25	0	EUR	
28/02/2013 00:00	10.34	10.34	10.34	10.34	0	EUR	
01/03/2013 00:00	10.36	10.36	10.36	10.36	0	EUR	
04/03/2013 00:00	10.47	10.47	10.47	10.47	0	EUR	
05/03/2013 00:00	10.58	10.58	10.58	10.58	0	EUR	
06/03/2013 00:00	10.69	10.69	10.69	10.69	0	EUR	
07/03/2013 00:00	10.59	10.59	10.59	10.59	0	EUR	
08/03/2013 00:00	10.65	10.65	10.65	10.65	0	EUR	
11/03/2013 00:00	10.67	10.67	10.67	10.67	0	EUR	
12/03/2013 00:00	10.6	10.6	10.6	10.6	0	EUR	
13/03/2013 00:00	10.68	10.68	10.68	10.68	0	EUR	
14/03/2013 00:00	10.74	10.74	10.74	10.74	0	EUR	
15/03/2013 00:00	10.56	10.56	10.56	10.56	0	EUR	
18/03/2013 00:00	10.54	10.54	10.54	10.54	0	EUR	
19/03/2013 00:00	10.5	10.5	10.5	10.5	0	EUR	
20/03/2013 00:00	10.52	10.52	10.52	10.52	0	EUR	
21/03/2013 00:00	10.52	10.52	10.52	10.52	0	EUR	
22/03/2013 00:00	10.46	10.46	10.46	10.46	0	EUR	
25/03/2013 00:00	10.5	10.5	10.5	10.5	0	EUR	
26/03/2013 00:00	10.52	10.52	10.52	10.52	0	EUR	
27/03/2013 00:00	10.62	10.62	10.62	10.62	0	EUR	
28/03/2013 00:00	10.65	10.65	10.65	10.65	0	EUR	
02/04/2013 00:00	10.61	10.61	10.61	10.61	0	EUR	
03/04/2013 00:00	10.56	10.56	10.56	10.56	0	EUR	
04/04/2013 00:00	10.39	10.39	10.39	10.39	0	EUR	
05/04/2013 00:00	10.06	10.06	10.06	10.06	0	EUR	
08/04/2013 00:00	10.13	10.13	10.13	10.13	0	EUR	
09/04/2013 00:00	10.12	10.12	10.12	10.12	0	EUR	
10/04/2013 00:00	10.22	10.22	10.22	10.22	0	EUR	
11/04/2013 00:00	10.29	10.29	10.29	10.29	0	EUR	
12/04/2013 00:00	10.27	10.27	10.27	10.27	0	EUR	
15/04/2013 00:00	10.25	10.25	10.25	10.25	0	EUR	
16/04/2013 00:00	10.09	10.09	10.09	10.09	0	EUR	
17/04/2013 00:00	10.14	10.14	10.14	10.14	0	EUR	
18/04/2013 00:00	10.05	10.05	10.05	10.05	0	EUR	
19/04/2013 00:00	9.85	9.85	9.85	9.85	0	EUR	
22/04/2013 00:00	9.95	9.95	9.95	9.95	0	EUR	
23/04/2013 00:00	10.19	10.19	10.19	10.19	0	EUR	
24/04/2013 00:00	10.29	10.29	10.29	10.29	0	EUR	
25/04/2013 00:00	10.39	10.39	10.39	10.39	0	EUR	
26/04/2013 00:00	10.3	10.3	10.3	10.3	0	EUR	
29/04/2013 00:00	10.29	10.29	10.29	10.29	0	EUR	
30/04/2013 00:00	10.25	10.25	10.25	10.25	0	EUR	
01/05/2013 00:00	10.25	10.25	10.25	10.25	0	EUR	
02/05/2013 00:00	10.31	10.31	10.31	10.31	0	EUR	
03/05/2013 00:00	10.49	10.49	10.49	10.49	0	EUR	
06/05/2013 00:00	10.51	10.51	10.51	10.51	0	EUR	
07/05/2013 00:00	10.54	10.54	10.54	10.54	0	EUR	
08/05/2013 00:00	10.44	10.44	10.44	10.44	0	EUR	
09/05/2013 00:00	10.55	10.55	10.55	10.55	0	EUR	
10/05/2013 00:00	10.69	10.69	10.69	10.69	0	EUR	
13/05/2013 00:00	10.7	10.7	10.7	10.7	0	EUR	
14/05/2013 00:00	10.74	10.74	10.74	10.74	0	EUR	
15/05/2013 00:00	10.93	10.93	10.93	10.93	0	EUR	
16/05/2013 00:00	11.06	11.06	11.06	11.06	0	EUR	
17/05/2013 00:00	11.06	11.06	11.06	11.06	0	EUR	
20/05/2013 00:00	11.14	11.14	11.14	11.14	0	EUR	
21/05/2013 00:00	11.13	11.13	11.13	11.13	0	EUR	
22/05/2013 00:00	10.97	10.97	10.97	10.97	0	EUR	
23/05/2013 00:00	10.64	10.64	10.64	10.64	0	EUR	
24/05/2013 00:00	10.6	10.6	10.6	10.6	0	EUR	
28/05/2013 00:00	10.88	10.88	10.88	10.88	0	EUR	
29/05/2013 00:00	10.68	10.68	10.68	10.68	0	EUR	
30/05/2013 00:00	10.74	10.74	10.74	10.74	0	EUR	
31/05/2013 00:00	10.79	10.79	10.79	10.79	0	EUR	
03/06/2013 00:00	10.66	10.66	10.66	10.66	0	EUR	
04/06/2013 00:00	10.54	10.54	10.54	10.54	0	EUR	
05/06/2013 00:00	10.4	10.4	10.4	10.4	0	EUR	
06/06/2013 00:00	10.3	10.3	10.3	10.3	0	EUR	
07/06/2013 00:00	10.37	10.37	10.37	10.37	0	EUR	
10/06/2013 00:00	10.47	10.47	10.47	10.47	0	EUR	
11/06/2013 00:00	10.33	10.33	10.33	10.33	0	EUR	
12/06/2013 00:00	10.29	10.29	10.29	10.29	0	EUR	
13/06/2013 00:00	10.18	10.18	10.18	10.18	0	EUR	
14/06/2013 00:00	10.34	10.34	10.34	10.34	0	EUR	
17/06/2013 00:00	10.33	10.33	10.33	10.33	0	EUR	
18/06/2013 00:00	10.38	10.38	10.38	10.38	0	EUR	
19/06/2013 00:00	10.45	10.45	10.45	10.45	0	EUR	
20/06/2013 00:00	10.44	10.44	10.44	10.44	0	EUR	
21/06/2013 00:00	10.3	10.3	10.3	10.3	0	EUR	
24/06/2013 00:00	10.16	10.16	10.16	10.16	0	EUR	
25/06/2013 00:00	10.32	10.32	10.32	10.32	0	EUR	
26/06/2013 00:00	10.55	10.55	10.55	10.55	0	EUR	
27/06/2013 00:00	10.63	10.63	10.63	10.63	0	EUR	
28/06/2013 00:00	10.54	10.54	10.54	10.54	0	EUR	
01/07/2013 00:00	10.66	10.66	10.66	10.66	0	EUR	
02/07/2013 00:00	10.72	10.72	10.72	10.72	0	EUR	
03/07/2013 00:00	10.73	10.73	10.73	10.73	0	EUR	
05/07/2013 00:00	10.99	10.99	10.99	10.99	0	EUR	
08/07/2013 00:00	11.08	11.08	11.08	11.08	0	EUR	
09/07/2013 00:00	11.03	11.03	11.03	11.03	0	EUR	
10/07/2013 00:00	11.16	11.16	11.16	11.16	0	EUR	
11/07/2013 00:00	11.14	11.14	11.14	11.14	0	EUR	
12/07/2013 00:00	11.28	11.28	11.28	11.28	0	EUR	
15/07/2013 00:00	11.28	11.28	11.28	11.28	0	EUR	
16/07/2013 00:00	11.22	11.22	11.22	11.22	0	EUR	
17/07/2013 00:00	11.17	11.17	11.17	11.17	0	EUR	
18/07/2013 00:00	11.22	11.22	11.22	11.22	0	EUR	
19/07/2013 00:00	11.12	11.12	11.12	11.12	0	EUR	
22/07/2013 00:00	11.06	11.06	11.06	11.06	0	EUR	
23/07/2013 00:00	11.15	11.15	11.15	11.15	0	EUR	
24/07/2013 00:00	11.1	11.1	11.1	11.1	0	EUR	
25/07/2013 00:00	11.12	11.12	11.12	11.12	0	EUR	
26/07/2013 00:00	11.02	11.02	11.02	11.02	0	EUR	
29/07/2013 00:00	11.06	11.06	11.06	11.06	0	EUR	
30/07/2013 00:00	11.04	11.04	11.04	11.04	0	EUR	
31/07/2013 00:00	11.15	11.15	11.15	11.15	0	EUR	
01/08/2013 00:00	11.22	11.22	11.22	11.22	0	EUR	
02/08/2013 00:00	11.3	11.3	11.3	11.3	0	EUR	
05/08/2013 00:00	11.37	11.37	11.37	11.37	0	EUR	
06/08/2013 00:00	11.35	11.35	11.35	11.35	0	EUR	
07/08/2013 00:00	11.21	11.21	11.21	11.21	0	EUR	
08/08/2013 00:00	11.21	11.21	11.21	11.21	0	EUR	
09/08/2013 00:00	11.27	11.27	11.27	11.27	0	EUR	
12/08/2013 00:00	11.32	11.32	11.32	11.32	0	EUR	
13/08/2013 00:00	11.38	11.38	11.38	11.38	0	EUR	
14/08/2013 00:00	11.38	11.38	11.38	11.38	0	EUR	
15/08/2013 00:00	11.11	11.11	11.11	11.11	0	EUR	
16/08/2013 00:00	11.02	11.02	11.02	11.02	0	EUR	
19/08/2013 00:00	11.06	11.06	11.06	11.06	0	EUR	
20/08/2013 00:00	10.91	10.91	10.91	10.91	0	EUR	
21/08/2013 00:00	10.98	10.98	10.98	10.98	0	EUR	
22/08/2013 00:00	11.09	11.09	11.09	11.09	0	EUR	
23/08/2013 00:00	11.11	11.11	11.11	11.11	0	EUR	
26/08/2013 00:00	11.13	11.13	11.13	11.13	0	EUR	
27/08/2013 00:00	10.96	10.96	10.96	10.96	0	EUR	
28/08/2013 00:00	10.93	10.93	10.93	10.93	0	EUR	
29/08/2013 00:00	11.1	11.1	11.1	11.1	0	EUR	
30/08/2013 00:00	11.2	11.2	11.2	11.2	0	EUR	
03/09/2013 00:00	11.33	11.33	11.33	11.33	0	EUR	
04/09/2013 00:00	11.31	11.31	11.31	11.31	0	EUR	
05/09/2013 00:00	11.46	11.46	11.46	11.46	0	EUR	
06/09/2013 00:00	11.41	11.41	11.41	11.41	0	EUR	
09/09/2013 00:00	11.52	11.52	11.52	11.52	0	EUR	
10/09/2013 00:00	11.63	11.63	11.63	11.63	0	EUR	
11/09/2013 00:00	11.64	11.64	11.64	11.64	0	EUR	
12/09/2013 00:00	11.75	11.75	11.75	11.75	0	EUR	
