date	ouv	haut	bas	clot	vol	devise	
30/12/2013 00:00	31.06	31.24	30.74	30.85	6200245	USD	
31/12/2013 00:00	30.89	31.41	30.89	31.36	8336947	USD	
02/01/2014 00:00	31.35	31.45	30.98	31.03	9669513	USD	
03/01/2014 00:00	31.17	31.69	31.14	31.51	7714390	USD	
06/01/2014 00:00	31.75	31.92	31.48	31.62	8963899	USD	
07/01/2014 00:00	31.78	31.89	31.41	31.52	9135506	USD	
08/01/2014 00:00	31.52	31.83	31.37	31.56	8852243	USD	
09/01/2014 00:00	31.63	31.73	31.37	31.55	7271166	USD	
10/01/2014 00:00	31.6	31.63	31.102	31.3	10400024	USD	
13/01/2014 00:00	31.34	31.51	30.75	30.87	9520017	USD	
14/01/2014 00:00	30.89	31.22	30.6	31.1	13447611	USD	
15/01/2014 00:00	31.7	32.24	31.44	32.22	17309745	USD	
16/01/2014 00:00	32.06	32.06	31.53	32	21733960	USD	
17/01/2014 00:00	32.8	33.52	32.6	33.4	32018468	USD	
21/01/2014 00:00	33.39	33.49	32.5	32.63	18502763	USD	
22/01/2014 00:00	32.75	32.97	32.28	32.29	12176824	USD	
23/01/2014 00:00	32.19	32.2	31.14	31.48	16284817	USD	
24/01/2014 00:00	31.34	31.34	30.09	30.45	23445981	USD	
27/01/2014 00:00	30.42	30.63	29.43	29.97	16682644	USD	
28/01/2014 00:00	29.75	30.32	29.65	30.13	15791463	USD	
29/01/2014 00:00	29.42	30.26	29.42	29.94	18872709	USD	
30/01/2014 00:00	30.15	30.38	29.82	29.98	13060434	USD	
31/01/2014 00:00	29.51	29.81	29.28	29.51	13100558	USD	
03/02/2014 00:00	29.45	29.73	28.78	28.95	17496340	USD	
04/02/2014 00:00	28.98	29.41	28.82	29.02	18768551	USD	
05/02/2014 00:00	29.02	29.37	29	29.18	17309596	USD	
06/02/2014 00:00	29.25	29.88	29.25	29.69	14773221	USD	
07/02/2014 00:00	29.9	29.97	29.39	29.69	14809950	USD	
10/02/2014 00:00	29.69	29.93	29.59	29.7	7822350	USD	
11/02/2014 00:00	29.74	30.39	29.475	30.27	15779721	USD	
12/02/2014 00:00	30.27	30.54	30.02	30.16	9343383	USD	
13/02/2014 00:00	29.69	30.05	29.55	29.91	15576636	USD	
14/02/2014 00:00	29.9	29.99	29.61	29.69	10211566	USD	
18/02/2014 00:00	29.6	29.86	29.48	29.56	10902470	USD	
