date	ouv	haut	bas	clot	vol	devise	
19/01/2018 00:00	9.996	9.996	9.996	9.996	0	EUR	
22/01/2018 00:00	10.005	10.005	10.005	10.005	0	EUR	
23/01/2018 00:00	10.042	10.042	10.042	10.042	0	EUR	
24/01/2018 00:00	10.042	10.042	10.042	10.042	0	EUR	
25/01/2018 00:00	10.06	10.06	10.06	10.06	0	EUR	
26/01/2018 00:00	10.04	10.04	10.04	10.04	0	EUR	
29/01/2018 00:00	10.051	10.051	10.051	10.051	0	EUR	
30/01/2018 00:00	10.046	10.046	10.046	10.046	0	EUR	
31/01/2018 00:00	10.016	10.016	10.016	10.016	0	EUR	
01/02/2018 00:00	10.049	10.049	10.049	10.049	0	EUR	
02/02/2018 00:00	10.009	10.009	10.009	10.009	0	EUR	
05/02/2018 00:00	9.96	9.96	9.96	9.96	0	EUR	
06/02/2018 00:00	9.846	9.846	9.846	9.846	0	EUR	
07/02/2018 00:00	9.829	9.829	9.829	9.829	0	EUR	
08/02/2018 00:00	9.834	9.834	9.834	9.834	0	EUR	
09/02/2018 00:00	9.729	9.729	9.729	9.729	0	EUR	
12/02/2018 00:00	9.767	9.767	9.767	9.767	0	EUR	
13/02/2018 00:00	9.777	9.777	9.777	9.777	0	EUR	
14/02/2018 00:00	9.784	9.784	9.784	9.784	0	EUR	
15/02/2018 00:00	9.861	9.861	9.861	9.861	0	EUR	
16/02/2018 00:00	9.875	9.875	9.875	9.875	0	EUR	
19/02/2018 00:00	9.876	9.876	9.876	9.876	0	EUR	
20/02/2018 00:00	9.863	9.863	9.863	9.863	0	EUR	
21/02/2018 00:00	9.863	9.863	9.863	9.863	0	EUR	
22/02/2018 00:00	9.853	9.853	9.853	9.853	0	EUR	
23/02/2018 00:00	9.871	9.871	9.871	9.871	0	EUR	
26/02/2018 00:00	9.888	9.888	9.888	9.888	0	EUR	
27/02/2018 00:00	9.873	9.873	9.873	9.873	0	EUR	
28/02/2018 00:00	9.856	9.856	9.856	9.856	0	EUR	
01/03/2018 00:00	9.798	9.798	9.798	9.798	0	EUR	
02/03/2018 00:00	9.715	9.715	9.715	9.715	0	EUR	
05/03/2018 00:00	9.714	9.714	9.714	9.714	0	EUR	
06/03/2018 00:00	9.788	9.788	9.788	9.788	0	EUR	
07/03/2018 00:00	9.748	9.748	9.748	9.748	0	EUR	
08/03/2018 00:00	9.771	9.771	9.771	9.771	0	EUR	
09/03/2018 00:00	9.778	9.778	9.778	9.778	0	EUR	
12/03/2018 00:00	9.82	9.82	9.82	9.82	0	EUR	
13/03/2018 00:00	9.821	9.821	9.821	9.821	0	EUR	
14/03/2018 00:00	9.799	9.799	9.799	9.799	0	EUR	
15/03/2018 00:00	9.76	9.76	9.76	9.76	0	EUR	
16/03/2018 00:00	9.758	9.758	9.758	9.758	0	EUR	
20/03/2018 00:00	9.719	9.719	9.719	9.719	0	EUR	
21/03/2018 00:00	9.727	9.727	9.727	9.727	0	EUR	
22/03/2018 00:00	9.726	9.726	9.726	9.726	0	EUR	
23/03/2018 00:00	9.592	9.592	9.592	9.592	0	EUR	
26/03/2018 00:00	9.596	9.596	9.596	9.596	0	EUR	
27/03/2018 00:00	9.629	9.629	9.629	9.629	0	EUR	
28/03/2018 00:00	9.594	9.594	9.594	9.594	0	EUR	
29/03/2018 00:00	9.634	9.634	9.634	9.634	0	EUR	
03/04/2018 00:00	9.621	9.621	9.621	9.621	0	EUR	
04/04/2018 00:00	9.583	9.583	9.583	9.583	0	EUR	
05/04/2018 00:00	9.688	9.688	9.688	9.688	0	EUR	
06/04/2018 00:00	9.713	9.713	9.713	9.713	0	EUR	
09/04/2018 00:00	9.683	9.683	9.683	9.683	0	EUR	
10/04/2018 00:00	9.676	9.676	9.676	9.676	0	EUR	
11/04/2018 00:00	9.687	9.687	9.687	9.687	0	EUR	
12/04/2018 00:00	9.694	9.694	9.694	9.694	0	EUR	
13/04/2018 00:00	9.748	9.748	9.748	9.748	0	EUR	
16/04/2018 00:00	9.717	9.717	9.717	9.717	0	EUR	
17/04/2018 00:00	9.707	9.707	9.707	9.707	0	EUR	
18/04/2018 00:00	9.742	9.742	9.742	9.742	0	EUR	
19/04/2018 00:00	9.787	9.787	9.787	9.787	0	EUR	
20/04/2018 00:00	9.813	9.813	9.813	9.813	0	EUR	
23/04/2018 00:00	9.8	9.8	9.8	9.8	0	EUR	
24/04/2018 00:00	9.824	9.824	9.824	9.824	0	EUR	
25/04/2018 00:00	9.789	9.789	9.789	9.789	0	EUR	
26/04/2018 00:00	9.804	9.804	9.804	9.804	0	EUR	
27/04/2018 00:00	9.814	9.814	9.814	9.814	0	EUR	
30/04/2018 00:00	9.83	9.83	9.83	9.83	0	EUR	
02/05/2018 00:00	9.818	9.818	9.818	9.818	0	EUR	
03/05/2018 00:00	9.799	9.799	9.799	9.799	0	EUR	
04/05/2018 00:00	9.764	9.764	9.764	9.764	0	EUR	
08/05/2018 00:00	9.769	9.769	9.769	9.769	0	EUR	
09/05/2018 00:00	9.798	9.798	9.798	9.798	0	EUR	
11/05/2018 00:00	9.872	9.872	9.872	9.872	0	EUR	
14/05/2018 00:00	9.872	9.872	9.872	9.872	0	EUR	
15/05/2018 00:00	9.856	9.856	9.856	9.856	0	EUR	
16/05/2018 00:00	9.855	9.855	9.855	9.855	0	EUR	
17/05/2018 00:00	9.855	9.855	9.855	9.855	0	EUR	
18/05/2018 00:00	9.862	9.862	9.862	9.862	0	EUR	
22/05/2018 00:00	9.824	9.824	9.824	9.824	0	EUR	
23/05/2018 00:00	9.785	9.785	9.785	9.785	0	EUR	
24/05/2018 00:00	9.796	9.796	9.796	9.796	0	EUR	
25/05/2018 00:00	9.733	9.733	9.733	9.733	0	EUR	
29/05/2018 00:00	9.662	9.662	9.662	9.662	0	EUR	
30/05/2018 00:00	9.63	9.63	9.63	9.63	0	EUR	
31/05/2018 00:00	9.643	9.643	9.643	9.643	0	EUR	
01/06/2018 00:00	9.637	9.637	9.637	9.637	0	EUR	
04/06/2018 00:00	9.667	9.667	9.667	9.667	0	EUR	
05/06/2018 00:00	9.659	9.659	9.659	9.659	0	EUR	
06/06/2018 00:00	9.644	9.644	9.644	9.644	0	EUR	
07/06/2018 00:00	9.693	9.693	9.693	9.693	0	EUR	
08/06/2018 00:00	9.641	9.641	9.641	9.641	0	EUR	
11/06/2018 00:00	9.676	9.676	9.676	9.676	0	EUR	
12/06/2018 00:00	9.677	9.677	9.677	9.677	0	EUR	
13/06/2018 00:00	9.661	9.661	9.661	9.661	0	EUR	
14/06/2018 00:00	9.628	9.628	9.628	9.628	0	EUR	
15/06/2018 00:00	9.61	9.61	9.61	9.61	0	EUR	
18/06/2018 00:00	9.569	9.569	9.569	9.569	0	EUR	
19/06/2018 00:00	9.534	9.534	9.534	9.534	0	EUR	
20/06/2018 00:00	9.563	9.563	9.563	9.563	0	EUR	
21/06/2018 00:00	9.535	9.535	9.535	9.535	0	EUR	
25/06/2018 00:00	9.526	9.526	9.526	9.526	0	EUR	
26/06/2018 00:00	9.51	9.51	9.51	9.51	0	EUR	
27/06/2018 00:00	9.52	9.52	9.52	9.52	0	EUR	
28/06/2018 00:00	9.509	9.509	9.509	9.509	0	EUR	
29/06/2018 00:00	9.547	9.547	9.547	9.547	0	EUR	
02/07/2018 00:00	9.51	9.51	9.51	9.51	0	EUR	
03/07/2018 00:00	9.513	9.513	9.513	9.513	0	EUR	
04/07/2018 00:00	9.507	9.507	9.507	9.507	0	EUR	
05/07/2018 00:00	9.535	9.535	9.535	9.535	0	EUR	
06/07/2018 00:00	9.524	9.524	9.524	9.524	0	EUR	
09/07/2018 00:00	9.595	9.595	9.595	9.595	0	EUR	
10/07/2018 00:00	9.597	9.597	9.597	9.597	0	EUR	
11/07/2018 00:00	9.554	9.554	9.554	9.554	0	EUR	
12/07/2018 00:00	9.539	9.539	9.539	9.539	0	EUR	
13/07/2018 00:00	9.553	9.553	9.553	9.553	0	EUR	
16/07/2018 00:00	9.551	9.551	9.551	9.551	0	EUR	
17/07/2018 00:00	9.545	9.545	9.545	9.545	0	EUR	
18/07/2018 00:00	9.572	9.572	9.572	9.572	0	EUR	
19/07/2018 00:00	9.575	9.575	9.575	9.575	0	EUR	
20/07/2018 00:00	9.559	9.559	9.559	9.559	0	EUR	
23/07/2018 00:00	9.586	9.586	9.586	9.586	0	EUR	
24/07/2018 00:00	9.625	9.625	9.625	9.625	0	EUR	
25/07/2018 00:00	9.614	9.614	9.614	9.614	0	EUR	
26/07/2018 00:00	9.658	9.658	9.658	9.658	0	EUR	
27/07/2018 00:00	9.68	9.68	9.68	9.68	0	EUR	
30/07/2018 00:00	9.682	9.682	9.682	9.682	0	EUR	
31/07/2018 00:00	9.697	9.697	9.697	9.697	0	EUR	
01/08/2018 00:00	9.683	9.683	9.683	9.683	0	EUR	
02/08/2018 00:00	9.614	9.614	9.614	9.614	0	EUR	
03/08/2018 00:00	9.606	9.606	9.606	9.606	0	EUR	
06/08/2018 00:00	9.595	9.595	9.595	9.595	0	EUR	
07/08/2018 00:00	9.605	9.605	9.605	9.605	0	EUR	
08/08/2018 00:00	9.606	9.606	9.606	9.606	0	EUR	
