date	ouv	haut	bas	clot	vol	devise	
31/12/2012 00:00	121.19	121.19	121.19	121.19	0	EUR	
02/01/2013 00:00	124.63	124.63	124.63	124.63	0	EUR	
03/01/2013 00:00	125.43	125.43	125.43	125.43	0	EUR	
04/01/2013 00:00	125.86	125.86	125.86	125.86	0	EUR	
07/01/2013 00:00	124.95	124.95	124.95	124.95	0	EUR	
08/01/2013 00:00	125.39	125.39	125.39	125.39	0	EUR	
09/01/2013 00:00	125.95	125.95	125.95	125.95	0	EUR	
10/01/2013 00:00	124.64	124.64	124.64	124.64	0	EUR	
11/01/2013 00:00	123.88	123.88	123.88	123.88	0	EUR	
14/01/2013 00:00	124.08	124.08	124.08	124.08	0	EUR	
15/01/2013 00:00	124.55	124.55	124.55	124.55	0	EUR	
16/01/2013 00:00	123.88	123.88	123.88	123.88	0	EUR	
17/01/2013 00:00	124.92	124.92	124.92	124.92	0	EUR	
18/01/2013 00:00	125.53	125.53	125.53	125.53	0	EUR	
21/01/2013 00:00	125.37	125.37	125.37	125.37	0	EUR	
22/01/2013 00:00	125.8	125.8	125.8	125.8	0	EUR	
23/01/2013 00:00	125.59	125.59	125.59	125.59	0	EUR	
24/01/2013 00:00	125.44	125.44	125.44	125.44	0	EUR	
25/01/2013 00:00	125.79	125.79	125.79	125.79	0	EUR	
28/01/2013 00:00	125.77	125.77	125.77	125.77	0	EUR	
29/01/2013 00:00	124.98	124.98	124.98	124.98	0	EUR	
30/01/2013 00:00	124.48	124.48	124.48	124.48	0	EUR	
31/01/2013 00:00	123.43	123.43	123.43	123.43	0	EUR	
01/02/2013 00:00	125.25	125.25	125.25	125.25	0	EUR	
04/02/2013 00:00	124.14	124.14	124.14	124.14	0	EUR	
05/02/2013 00:00	125.01	125.01	125.01	125.01	0	EUR	
06/02/2013 00:00	124.88	124.88	124.88	124.88	0	EUR	
07/02/2013 00:00	125.61	125.61	125.61	125.61	0	EUR	
08/02/2013 00:00	126.48	126.48	126.48	126.48	0	EUR	
11/02/2013 00:00	125.62	125.62	125.62	125.62	0	EUR	
12/02/2013 00:00	125.57	125.57	125.57	125.57	0	EUR	
13/02/2013 00:00	127.23	127.23	127.23	127.23	0	EUR	
14/02/2013 00:00	127.1	127.1	127.1	127.1	0	EUR	
15/02/2013 00:00	127.2	127.2	127.2	127.2	0	EUR	
18/02/2013 00:00	127.41	127.41	127.41	127.41	0	EUR	
19/02/2013 00:00	127.62	127.62	127.62	127.62	0	EUR	
20/02/2013 00:00	128.08	128.08	128.08	128.08	0	EUR	
21/02/2013 00:00	126.71	126.71	126.71	126.71	0	EUR	
22/02/2013 00:00	127.3	127.3	127.3	127.3	0	EUR	
25/02/2013 00:00	127.36	127.36	127.36	127.36	0	EUR	
26/02/2013 00:00	127.43	127.43	127.43	127.43	0	EUR	
27/02/2013 00:00	128.71	128.71	128.71	128.71	0	EUR	
28/02/2013 00:00	129.74	129.74	129.74	129.74	0	EUR	
01/03/2013 00:00	130.33	130.33	130.33	130.33	0	EUR	
04/03/2013 00:00	130.87	130.87	130.87	130.87	0	EUR	
05/03/2013 00:00	132.13	132.13	132.13	132.13	0	EUR	
06/03/2013 00:00	132.3	132.3	132.3	132.3	0	EUR	
07/03/2013 00:00	131.76	131.76	131.76	131.76	0	EUR	
08/03/2013 00:00	133.27	133.27	133.27	133.27	0	EUR	
11/03/2013 00:00	133.34	133.34	133.34	133.34	0	EUR	
12/03/2013 00:00	133.18	133.18	133.18	133.18	0	EUR	
13/03/2013 00:00	133.92	133.92	133.92	133.92	0	EUR	
14/03/2013 00:00	133.62	133.62	133.62	133.62	0	EUR	
15/03/2013 00:00	134.06	134.06	134.06	134.06	0	EUR	
18/03/2013 00:00	133.64	133.64	133.64	133.64	0	EUR	
19/03/2013 00:00	133.43	133.43	133.43	133.43	0	EUR	
20/03/2013 00:00	134.13	134.13	134.13	134.13	0	EUR	
21/03/2013 00:00	132.86	132.86	132.86	132.86	0	EUR	
22/03/2013 00:00	132.84	132.84	132.84	132.84	0	EUR	
25/03/2013 00:00	133.67	133.67	133.67	133.67	0	EUR	
26/03/2013 00:00	134.91	134.91	134.91	134.91	0	EUR	
27/03/2013 00:00	135.02	135.02	135.02	135.02	0	EUR	
29/03/2013 00:00	135.63	135.63	135.63	135.63	0	EUR	
01/04/2013 00:00	134.87	134.87	134.87	134.87	0	EUR	
02/04/2013 00:00	135.33	135.33	135.33	135.33	0	EUR	
03/04/2013 00:00	134.16	134.16	134.16	134.16	0	EUR	
04/04/2013 00:00	133.13	133.13	133.13	133.13	0	EUR	
05/04/2013 00:00	131.69	131.69	131.69	131.69	0	EUR	
08/04/2013 00:00	132.04	132.04	132.04	132.04	0	EUR	
09/04/2013 00:00	131.67	131.67	131.67	131.67	0	EUR	
10/04/2013 00:00	133.49	133.49	133.49	133.49	0	EUR	
11/04/2013 00:00	134.34	134.34	134.34	134.34	0	EUR	
12/04/2013 00:00	133.77	133.77	133.77	133.77	0	EUR	
15/04/2013 00:00	131.13	131.13	131.13	131.13	0	EUR	
16/04/2013 00:00	131.55	131.55	131.55	131.55	0	EUR	
17/04/2013 00:00	130.78	130.78	130.78	130.78	0	EUR	
18/04/2013 00:00	130.06	130.06	130.06	130.06	0	EUR	
19/04/2013 00:00	132.06	132.06	132.06	132.06	0	EUR	
22/04/2013 00:00	132.76	132.76	132.76	132.76	0	EUR	
23/04/2013 00:00	134.32	134.32	134.32	134.32	0	EUR	
24/04/2013 00:00	134.21	134.21	134.21	134.21	0	EUR	
25/04/2013 00:00	135.3	135.3	135.3	135.3	0	EUR	
26/04/2013 00:00	134.43	134.43	134.43	134.43	0	EUR	
29/04/2013 00:00	135.37	135.37	135.37	135.37	0	EUR	
30/04/2013 00:00	134.62	134.62	134.62	134.62	0	EUR	
01/05/2013 00:00	133.76	133.76	133.76	133.76	0	EUR	
02/05/2013 00:00	134.91	134.91	134.91	134.91	0	EUR	
03/05/2013 00:00	136.06	136.06	136.06	136.06	0	EUR	
06/05/2013 00:00	136.34	136.34	136.34	136.34	0	EUR	
07/05/2013 00:00	136.54	136.54	136.54	136.54	0	EUR	
09/05/2013 00:00	137.96	137.96	137.96	137.96	0	EUR	
10/05/2013 00:00	139.04	139.04	139.04	139.04	0	EUR	
13/05/2013 00:00	139.16	139.16	139.16	139.16	0	EUR	
14/05/2013 00:00	141.46	141.46	141.46	141.46	0	EUR	
15/05/2013 00:00	141.8	141.8	141.8	141.8	0	EUR	
16/05/2013 00:00	141.17	141.17	141.17	141.17	0	EUR	
20/05/2013 00:00	141.76	141.76	141.76	141.76	0	EUR	
21/05/2013 00:00	141.28	141.28	141.28	141.28	0	EUR	
22/05/2013 00:00	140.4	140.4	140.4	140.4	0	EUR	
23/05/2013 00:00	138.94	138.94	138.94	138.94	0	EUR	
24/05/2013 00:00	138.83	138.83	138.83	138.83	0	EUR	
27/05/2013 00:00	138.99	138.99	138.99	138.99	0	EUR	
28/05/2013 00:00	140.24	140.24	140.24	140.24	0	EUR	
29/05/2013 00:00	137.76	137.76	137.76	137.76	0	EUR	
30/05/2013 00:00	138.3	138.3	138.3	138.3	0	EUR	
31/05/2013 00:00	136.43	136.43	136.43	136.43	0	EUR	
03/06/2013 00:00	135.82	135.82	135.82	135.82	0	EUR	
04/06/2013 00:00	135.05	135.05	135.05	135.05	0	EUR	
05/06/2013 00:00	132.62	132.62	132.62	132.62	0	EUR	
06/06/2013 00:00	132.27	132.27	132.27	132.27	0	EUR	
07/06/2013 00:00	133.63	133.63	133.63	133.63	0	EUR	
10/06/2013 00:00	133.05	133.05	133.05	133.05	0	EUR	
11/06/2013 00:00	131.97	131.97	131.97	131.97	0	EUR	
12/06/2013 00:00	130.2	130.2	130.2	130.2	0	EUR	
13/06/2013 00:00	131.49	131.49	131.49	131.49	0	EUR	
14/06/2013 00:00	131.4	131.4	131.4	131.4	0	EUR	
17/06/2013 00:00	131.55	131.55	131.55	131.55	0	EUR	
18/06/2013 00:00	132.45	132.45	132.45	132.45	0	EUR	
19/06/2013 00:00	131.88	131.88	131.88	131.88	0	EUR	
20/06/2013 00:00	128.45	128.45	128.45	128.45	0	EUR	
21/06/2013 00:00	128.86	128.86	128.86	128.86	0	EUR	
24/06/2013 00:00	127.26	127.26	127.26	127.26	0	EUR	
25/06/2013 00:00	129.21	129.21	129.21	129.21	0	EUR	
26/06/2013 00:00	131.12	131.12	131.12	131.12	0	EUR	
27/06/2013 00:00	132.31	132.31	132.31	132.31	0	EUR	
28/06/2013 00:00	132.24	132.24	132.24	132.24	0	EUR	
01/07/2013 00:00	133.89	133.89	133.89	133.89	0	EUR	
02/07/2013 00:00	134.09	134.09	134.09	134.09	0	EUR	
03/07/2013 00:00	133.48	133.48	133.48	133.48	0	EUR	
04/07/2013 00:00	135.21	135.21	135.21	135.21	0	EUR	
05/07/2013 00:00	135.7	135.7	135.7	135.7	0	EUR	
08/07/2013 00:00	136.32	136.32	136.32	136.32	0	EUR	
09/07/2013 00:00	137.9	137.9	137.9	137.9	0	EUR	
10/07/2013 00:00	136.52	136.52	136.52	136.52	0	EUR	
11/07/2013 00:00	138.13	138.13	138.13	138.13	0	EUR	
12/07/2013 00:00	138.77	138.77	138.77	138.77	0	EUR	
15/07/2013 00:00	138.82	138.82	138.82	138.82	0	EUR	
16/07/2013 00:00	137.5	137.5	137.5	137.5	0	EUR	
17/07/2013 00:00	138.39	138.39	138.39	138.39	0	EUR	
18/07/2013 00:00	138.91	138.91	138.91	138.91	0	EUR	
19/07/2013 00:00	138.51	138.51	138.51	138.51	0	EUR	
22/07/2013 00:00	138.8	138.8	138.8	138.8	0	EUR	
23/07/2013 00:00	137.88	137.88	137.88	137.88	0	EUR	
24/07/2013 00:00	137.91	137.91	137.91	137.91	0	EUR	
25/07/2013 00:00	137.69	137.69	137.69	137.69	0	EUR	
26/07/2013 00:00	137.28	137.28	137.28	137.28	0	EUR	
29/07/2013 00:00	136.98	136.98	136.98	136.98	0	EUR	
30/07/2013 00:00	136.94	136.94	136.94	136.94	0	EUR	
31/07/2013 00:00	137.43	137.43	137.43	137.43	0	EUR	
01/08/2013 00:00	139.16	139.16	139.16	139.16	0	EUR	
02/08/2013 00:00	138.94	138.94	138.94	138.94	0	EUR	
05/08/2013 00:00	138.87	138.87	138.87	138.87	0	EUR	
06/08/2013 00:00	137.67	137.67	137.67	137.67	0	EUR	
07/08/2013 00:00	136.6	136.6	136.6	136.6	0	EUR	
08/08/2013 00:00	137.12	137.12	137.12	137.12	0	EUR	
09/08/2013 00:00	138.08	138.08	138.08	138.08	0	EUR	
12/08/2013 00:00	138.06	138.06	138.06	138.06	0	EUR	
13/08/2013 00:00	138.65	138.65	138.65	138.65	0	EUR	
15/08/2013 00:00	135.89	135.89	135.89	135.89	0	EUR	
16/08/2013 00:00	135.68	135.68	135.68	135.68	0	EUR	
19/08/2013 00:00	134.2	134.2	134.2	134.2	0	EUR	
20/08/2013 00:00	134.52	134.52	134.52	134.52	0	EUR	
21/08/2013 00:00	135.02	135.02	135.02	135.02	0	EUR	
22/08/2013 00:00	135.94	135.94	135.94	135.94	0	EUR	
23/08/2013 00:00	136.33	136.33	136.33	136.33	0	EUR	
26/08/2013 00:00	136.52	136.52	136.52	136.52	0	EUR	
27/08/2013 00:00	133.63	133.63	133.63	133.63	0	EUR	
28/08/2013 00:00	134.8	134.8	134.8	134.8	0	EUR	
29/08/2013 00:00	135.97	135.97	135.97	135.97	0	EUR	
30/08/2013 00:00	135.48	135.48	135.48	135.48	0	EUR	
02/09/2013 00:00	136.4	136.4	136.4	136.4	0	EUR	
03/09/2013 00:00	137.16	137.16	137.16	137.16	0	EUR	
04/09/2013 00:00	137.96	137.96	137.96	137.96	0	EUR	
05/09/2013 00:00	139.59	139.59	139.59	139.59	0	EUR	
06/09/2013 00:00	139.48	139.48	139.48	139.48	0	EUR	
09/09/2013 00:00	140.47	140.47	140.47	140.47	0	EUR	
10/09/2013 00:00	141.52	141.52	141.52	141.52	0	EUR	
11/09/2013 00:00	141.34	141.34	141.34	141.34	0	EUR	
12/09/2013 00:00	141.04	141.04	141.04	141.04	0	EUR	
13/09/2013 00:00	141.03	141.03	141.03	141.03	0	EUR	
16/09/2013 00:00	141.57	141.57	141.57	141.57	0	EUR	
17/09/2013 00:00	142.04	142.04	142.04	142.04	0	EUR	
18/09/2013 00:00	141.83	141.83	141.83	141.83	0	EUR	
19/09/2013 00:00	142.27	142.27	142.27	142.27	0	EUR	
20/09/2013 00:00	141.6	141.6	141.6	141.6	0	EUR	
23/09/2013 00:00	141.14	141.14	141.14	141.14	0	EUR	
24/09/2013 00:00	141.17	141.17	141.17	141.17	0	EUR	
25/09/2013 00:00	141.17	141.17	141.17	141.17	0	EUR	
26/09/2013 00:00	141.76	141.76	141.76	141.76	0	EUR	
27/09/2013 00:00	141.7	141.7	141.7	141.7	0	EUR	
30/09/2013 00:00	140.86	140.86	140.86	140.86	0	EUR	
01/10/2013 00:00	142.27	142.27	142.27	142.27	0	EUR	
02/10/2013 00:00	141.46	141.46	141.46	141.46	0	EUR	
03/10/2013 00:00	140.66	140.66	140.66	140.66	0	EUR	
04/10/2013 00:00	141.37	141.37	141.37	141.37	0	EUR	
07/10/2013 00:00	140.32	140.32	140.32	140.32	0	EUR	
08/10/2013 00:00	138.78	138.78	138.78	138.78	0	EUR	
09/10/2013 00:00	137.83	137.83	137.83	137.83	0	EUR	
10/10/2013 00:00	139.94	139.94	139.94	139.94	0	EUR	
11/10/2013 00:00	140.64	140.64	140.64	140.64	0	EUR	
14/10/2013 00:00	141.4	141.4	141.4	141.4	0	EUR	
15/10/2013 00:00	140.62	140.62	140.62	140.62	0	EUR	
16/10/2013 00:00	141.2	141.2	141.2	141.2	0	EUR	
17/10/2013 00:00	141.51	141.51	141.51	141.51	0	EUR	
18/10/2013 00:00	142.56	142.56	142.56	142.56	0	EUR	
21/10/2013 00:00	142.64	142.64	142.64	142.64	0	EUR	
22/10/2013 00:00	142.47	142.47	142.47	142.47	0	EUR	
23/10/2013 00:00	141.72	141.72	141.72	141.72	0	EUR	
24/10/2013 00:00	141.99	141.99	141.99	141.99	0	EUR	
25/10/2013 00:00	141.92	141.92	141.92	141.92	0	EUR	
28/10/2013 00:00	141.96	141.96	141.96	141.96	0	EUR	
29/10/2013 00:00	142.31	142.31	142.31	142.31	0	EUR	
30/10/2013 00:00	142.18	142.18	142.18	142.18	0	EUR	
31/10/2013 00:00	143.11	143.11	143.11	143.11	0	EUR	
01/11/2013 00:00	143.43	143.43	143.43	143.43	0	EUR	
04/11/2013 00:00	143.95	143.95	143.95	143.95	0	EUR	
05/11/2013 00:00	143.13	143.13	143.13	143.13	0	EUR	
06/11/2013 00:00	142.71	142.71	142.71	142.71	0	EUR	
07/11/2013 00:00	142.01	142.01	142.01	142.01	0	EUR	
08/11/2013 00:00	143.19	143.19	143.19	143.19	0	EUR	
11/11/2013 00:00	143.74	143.74	143.74	143.74	0	EUR	
12/11/2013 00:00	143.29	143.29	143.29	143.29	0	EUR	
13/11/2013 00:00	143.81	143.81	143.81	143.81	0	EUR	
14/11/2013 00:00	144.69	144.69	144.69	144.69	0	EUR	
15/11/2013 00:00	144.95	144.95	144.95	144.95	0	EUR	
18/11/2013 00:00	144.74	144.74	144.74	144.74	0	EUR	
19/11/2013 00:00	143.9	143.9	143.9	143.9	0	EUR	
20/11/2013 00:00	144.28	144.28	144.28	144.28	0	EUR	
