date	ouv	haut	bas	clot	vol	devise	
29/07/2021 00:00	14.92	15.67	13.2	14.1	648482	USD	
30/07/2021 00:00	16.46	25.78	15.645	17	1789463	USD	
02/08/2021 00:00	16.51	19	14.75	18	310825	USD	
03/08/2021 00:00	18.32	21	17.4	19.18	329970	USD	
04/08/2021 00:00	19.18	20.345	18.048	19.5	134646	USD	
05/08/2021 00:00	20.08	23.6	19.71	23.4	110121	USD	
06/08/2021 00:00	24.1	24.1	18.27	18.79	136378	USD	
09/08/2021 00:00	18.06	19.475	17.25	18.78	91111	USD	
10/08/2021 00:00	18.28	18.93	17.62	18.32	66053	USD	
11/08/2021 00:00	18.01	18.355	17	17.44	145843	USD	
12/08/2021 00:00	17.4	18.11	16.7	17.15	85172	USD	
13/08/2021 00:00	16.52	17.235	16.52	17.1	82329	USD	
16/08/2021 00:00	16.62	16.99	15.24	15.55	70979	USD	
17/08/2021 00:00	15.6	16.08	14.539	14.76	98065	USD	
18/08/2021 00:00	15.21	15.39	13.765	14.18	117866	USD	
19/08/2021 00:00	13.73	15.1	12.37	12.92	131317	USD	
20/08/2021 00:00	13.05	13.435	12.26	12.69	61676	USD	
23/08/2021 00:00	13.4	13.71	12.82	12.88	169097	USD	
24/08/2021 00:00	13.09	13.214	13.09	13.09	59410	USD	
25/08/2021 00:00	12.86	13.195	12.75	12.83	29967	USD	
26/08/2021 00:00	13	13.14	12.75	13.13	90312	USD	
27/08/2021 00:00	13	13.4	12.8	13	101543	USD	
30/08/2021 00:00	12.87	13.401	12.67	12.87	110407	USD	
31/08/2021 00:00	12.8	13.239	12.77	13.15	64083	USD	
01/09/2021 00:00	13.57	13.57	12.8	13.13	73948	USD	
02/09/2021 00:00	13.01	13.15	12.9	13.04	88652	USD	
03/09/2021 00:00	13.38	14.53	12.8	14.1	96547	USD	
07/09/2021 00:00	15.77	16.691	15.77	15.77	106558	USD	
08/09/2021 00:00	15.85	15.85	12.68	12.8	136699	USD	
09/09/2021 00:00	12.9	12.9	12.25	12.31	83803	USD	
10/09/2021 00:00	12.58	12.99	10.99	11.4	83873	USD	
13/09/2021 00:00	11.41	11.72	10.861	11.32	84416	USD	
14/09/2021 00:00	11.44	12	11.01	11.81	84955	USD	
15/09/2021 00:00	11.8	12.81	11.51	12.77	117550	USD	
16/09/2021 00:00	12.52	13.8	12.22	13.8	72555	USD	
17/09/2021 00:00	13.69	13.87	12.52	12.79	793157	USD	
20/09/2021 00:00	12.85	13.18	10.53	10.83	147905	USD	
21/09/2021 00:00	10.84	11.36	10.058	11	84594	USD	
22/09/2021 00:00	11	12.35	10.995	12.3	96369	USD	
23/09/2021 00:00	12.25	13.67	11.975	13.58	78716	USD	
24/09/2021 00:00	13.51	14.175	12.92	13.9	36493	USD	
27/09/2021 00:00	13.94	14.4	13.003	13.94	33721	USD	
28/09/2021 00:00	13.57	15.94	13.57	15.77	91878	USD	
29/09/2021 00:00	15.81	16	14.32	16	106890	USD	
30/09/2021 00:00	15.68	17.58	15.68	17.58	77442	USD	
01/10/2021 00:00	17.65	19.88	17.011	19.58	93715	USD	
04/10/2021 00:00	19.25	19.83	18.066	19.5	120760	USD	
05/10/2021 00:00	19.28	19.555	18.17	19.36	35175	USD	
06/10/2021 00:00	19.06	19.5	18.57	19.31	76329	USD	
07/10/2021 00:00	19.39	19.39	18.5	18.95	40158	USD	
08/10/2021 00:00	18.99	18.99	17.29	17.73	65311	USD	
11/10/2021 00:00	17.28	17.46	15.82	16.73	57429	USD	
12/10/2021 00:00	16.79	16.79	16.145	16.71	20956	USD	
13/10/2021 00:00	16.79	16.79	15	15.93	113578	USD	
14/10/2021 00:00	16.03	16.03	14.01	14.48	97729	USD	
15/10/2021 00:00	14.99	15.56	14.99	15.52	26501	USD	
19/10/2021 00:00	16.82	16.82	15.82	16.18	82876	USD	
20/10/2021 00:00	16.17	16.55	15.14	15.59	67178	USD	
21/10/2021 00:00	15.51	16.24	15.51	15.97	10297	USD	
22/10/2021 00:00	15.89	16.23	15.43	16.23	13770	USD	
25/10/2021 00:00	16.14	17.85	15.55	17.83	22258	USD	
26/10/2021 00:00	17.67	18.98	16.805	18.52	94419	USD	
27/10/2021 00:00	18.4	18.4	16.56	16.92	35752	USD	
28/10/2021 00:00	16.94	17.65	16.4	16.82	32941	USD	
29/10/2021 00:00	17.17	18.05	17.17	17.85	23123	USD	
01/11/2021 00:00	18.06	18.39	17.15	18.19	10856	USD	
02/11/2021 00:00	18.3	19.5	18.3	19	63575	USD	
03/11/2021 00:00	18.7	19.02	17.74	18.15	25921	USD	
04/11/2021 00:00	18.41	19.47	17.67	18.84	29198	USD	
05/11/2021 00:00	19	19.36	18.95	19.36	41661	USD	
08/11/2021 00:00	19.25	19.25	17.41	18.31	19098	USD	
09/11/2021 00:00	18.56	18.95	17.63	18.95	13100	USD	
10/11/2021 00:00	19	21	19	19.91	83560	USD	
11/11/2021 00:00	20	20.83	16.27	17.5	144400	USD	
12/11/2021 00:00	17.63	17.635	14.8	15	60481	USD	
15/11/2021 00:00	15.21	16.194	13.6	13.92	18584	USD	
