date	ouv	haut	bas	clot	vol	devise	
28/12/2018 00:00	8.83	9.165	8.78	9.065	96254	EUR	
31/12/2018 00:00	8.96	9.15	8.96	9.01	32322	EUR	
02/01/2019 00:00	9.13	9.13	8.7	8.74	40267	EUR	
03/01/2019 00:00	8.715	9.08	8.715	8.985	27618	EUR	
04/01/2019 00:00	9.07	9.07	8.915	8.965	19364	EUR	
07/01/2019 00:00	9.05	9.18	9.02	9.065	28851	EUR	
08/01/2019 00:00	9.055	9.19	9.055	9.075	24393	EUR	
09/01/2019 00:00	9.18	9.285	9.075	9.105	41287	EUR	
10/01/2019 00:00	9.1	9.175	9	9.13	24602	EUR	
11/01/2019 00:00	9.18	9.235	9.09	9.13	33174	EUR	
14/01/2019 00:00	9.2	9.2	9	9	27508	EUR	
15/01/2019 00:00	9	9.15	8.855	8.86	23642	EUR	
16/01/2019 00:00	8.86	8.975	8.84	8.89	18359	EUR	
17/01/2019 00:00	8.93	9.09	8.82	8.975	29188	EUR	
18/01/2019 00:00	9.1	9.26	9.095	9.12	69463	EUR	
21/01/2019 00:00	9.23	9.33	9.195	9.255	31229	EUR	
22/01/2019 00:00	9.21	9.26	9.115	9.115	14356	EUR	
23/01/2019 00:00	9.2	9.38	9.125	9.35	37957	EUR	
24/01/2019 00:00	9.35	9.38	9.245	9.255	21284	EUR	
25/01/2019 00:00	9.28	9.38	9.22	9.23	28182	EUR	
28/01/2019 00:00	9.25	9.365	9.1	9.275	43410	EUR	
29/01/2019 00:00	9.305	9.655	9.265	9.615	61826	EUR	
30/01/2019 00:00	9.65	9.88	9.64	9.835	52960	EUR	
31/01/2019 00:00	9.835	10.05	9.835	10.05	60240	EUR	
01/02/2019 00:00	10.06	10.42	10.05	10.33	75497	EUR	
04/02/2019 00:00	10.42	10.42	10.1	10.25	71043	EUR	
05/02/2019 00:00	10.21	10.49	10.2	10.39	33020	EUR	
06/02/2019 00:00	10.35	10.8	10.35	10.6	92661	EUR	
07/02/2019 00:00	10.6	10.84	10.55	10.7	74286	EUR	
08/02/2019 00:00	10.66	10.74	10.51	10.61	34330	EUR	
11/02/2019 00:00	10.6	10.69	10.36	10.36	28733	EUR	
12/02/2019 00:00	10.53	10.63	10.38	10.49	28566	EUR	
13/02/2019 00:00	10.49	10.56	10.37	10.51	24033	EUR	
14/02/2019 00:00	10.51	10.58	10.42	10.48	34095	EUR	
15/02/2019 00:00	10.48	10.75	10.41	10.75	36300	EUR	
18/02/2019 00:00	10.62	11	10.62	10.8	48703	EUR	
19/02/2019 00:00	10.8	11.08	10.74	10.94	35299	EUR	
20/02/2019 00:00	10.91	11.01	10.91	11	32094	EUR	
21/02/2019 00:00	10.99	11.15	10.98	11.15	65195	EUR	
22/02/2019 00:00	11.1	11.36	11.01	11.33	74848	EUR	
25/02/2019 00:00	11.3	11.62	11.28	11.5	84020	EUR	
26/02/2019 00:00	11.5	11.85	11.5	11.71	56022	EUR	
27/02/2019 00:00	11.7	11.84	11	11.71	102478	EUR	
28/02/2019 00:00	11.68	11.86	11.5	11.86	64540	EUR	
01/03/2019 00:00	11.96	12.57	11.96	12.36	150601	EUR	
04/03/2019 00:00	12.37	12.65	12.35	12.59	111026	EUR	
05/03/2019 00:00	12.52	12.59	12.3	12.45	58606	EUR	
06/03/2019 00:00	12.42	12.96	12.42	12.83	149347	EUR	
07/03/2019 00:00	12.79	12.79	12.13	12.44	62811	EUR	
08/03/2019 00:00	12.2	12.2	11.8	11.95	69077	EUR	
11/03/2019 00:00	11.89	11.94	11.72	11.85	43646	EUR	
12/03/2019 00:00	11.85	11.92	11.74	11.78	32429	EUR	
13/03/2019 00:00	11.75	11.9	11.6	11.72	43255	EUR	
14/03/2019 00:00	11.72	12.6	11.72	12.3	213129	EUR	
15/03/2019 00:00	12.45	12.45	11.85	11.85	123836	EUR	
18/03/2019 00:00	11.85	11.88	11	11.11	131434	EUR	
19/03/2019 00:00	11.2	11.45	11.17	11.17	60244	EUR	
20/03/2019 00:00	11.17	11.37	10.95	10.95	40974	EUR	
21/03/2019 00:00	11	11.35	10.98	11.28	41469	EUR	
22/03/2019 00:00	11.33	11.35	10.81	10.87	68368	EUR	
25/03/2019 00:00	10.76	10.92	10.56	10.7	74082	EUR	
26/03/2019 00:00	10.73	10.98	10.72	10.76	68342	EUR	
27/03/2019 00:00	10.97	10.97	10.48	10.49	63897	EUR	
28/03/2019 00:00	10.42	10.51	10.28	10.36	46398	EUR	
29/03/2019 00:00	10.34	10.59	10.33	10.55	37582	EUR	
01/04/2019 00:00	10.5	10.74	10.5	10.72	65914	EUR	
02/04/2019 00:00	10.66	10.66	10.52	10.6	42490	EUR	
03/04/2019 00:00	10.56	10.68	10.18	10.26	97310	EUR	
04/04/2019 00:00	10.2	10.22	9.72	10	148459	EUR	
05/04/2019 00:00	9.95	10.06	9.9	9.97	36948	EUR	
08/04/2019 00:00	9.91	10.02	9.84	9.97	34009	EUR	
09/04/2019 00:00	9.92	10.06	9.9	9.95	33290	EUR	
10/04/2019 00:00	9.92	9.93	9.8	9.86	56674	EUR	
11/04/2019 00:00	9.84	9.98	9.82	9.91	44264	EUR	
12/04/2019 00:00	9.91	10.32	9.91	10.02	97108	EUR	
15/04/2019 00:00	10.14	10.42	10.1	10.36	58741	EUR	
16/04/2019 00:00	10.38	10.7	10.32	10.66	56427	EUR	
