date	ouv	haut	bas	clot	vol	devise	
31/12/2012 00:00	116.13	116.13	116.13	116.13	0	EUR	
02/01/2013 00:00	120.18	120.18	120.18	120.18	0	EUR	
03/01/2013 00:00	120.19	120.19	120.19	120.19	0	EUR	
04/01/2013 00:00	120.75	120.75	120.75	120.75	0	EUR	
07/01/2013 00:00	121.32	121.32	121.32	121.32	0	EUR	
08/01/2013 00:00	121.25	121.25	121.25	121.25	0	EUR	
09/01/2013 00:00	122.87	122.87	122.87	122.87	0	EUR	
10/01/2013 00:00	123.38	123.38	123.38	123.38	0	EUR	
11/01/2013 00:00	123.6	123.6	123.6	123.6	0	EUR	
14/01/2013 00:00	123.91	123.91	123.91	123.91	0	EUR	
16/01/2013 00:00	122.81	122.81	122.81	122.81	0	EUR	
17/01/2013 00:00	124.77	124.77	124.77	124.77	0	EUR	
18/01/2013 00:00	124.54	124.54	124.54	124.54	0	EUR	
21/01/2013 00:00	125.38	125.38	125.38	125.38	0	EUR	
22/01/2013 00:00	124.83	124.83	124.83	124.83	0	EUR	
23/01/2013 00:00	123.8	123.8	123.8	123.8	0	EUR	
24/01/2013 00:00	124.93	124.93	124.93	124.93	0	EUR	
25/01/2013 00:00	125.88	125.88	125.88	125.88	0	EUR	
28/01/2013 00:00	126.48	126.48	126.48	126.48	0	EUR	
29/01/2013 00:00	126.07	126.07	126.07	126.07	0	EUR	
30/01/2013 00:00	124.56	124.56	124.56	124.56	0	EUR	
31/01/2013 00:00	123.77	123.77	123.77	123.77	0	EUR	
01/02/2013 00:00	124.45	124.45	124.45	124.45	0	EUR	
04/02/2013 00:00	120.06	120.06	120.06	120.06	0	EUR	
05/02/2013 00:00	121.07	121.07	121.07	121.07	0	EUR	
06/02/2013 00:00	119.87	119.87	119.87	119.87	0	EUR	
07/02/2013 00:00	119.46	119.46	119.46	119.46	0	EUR	
08/02/2013 00:00	121.2	121.2	121.2	121.2	0	EUR	
11/02/2013 00:00	120.87	120.87	120.87	120.87	0	EUR	
12/02/2013 00:00	122.17	122.17	122.17	122.17	0	EUR	
13/02/2013 00:00	122.7	122.7	122.7	122.7	0	EUR	
14/02/2013 00:00	121.7	121.7	121.7	121.7	0	EUR	
15/02/2013 00:00	120.96	120.96	120.96	120.96	0	EUR	
18/02/2013 00:00	121.09	121.09	121.09	121.09	0	EUR	
19/02/2013 00:00	123	123	123	123	0	EUR	
20/02/2013 00:00	121.66	121.66	121.66	121.66	0	EUR	
21/02/2013 00:00	117.92	117.92	117.92	117.92	0	EUR	
22/02/2013 00:00	119.81	119.81	119.81	119.81	0	EUR	
25/02/2013 00:00	120.66	120.66	120.66	120.66	0	EUR	
26/02/2013 00:00	116.4	116.4	116.4	116.4	0	EUR	
27/02/2013 00:00	118.92	118.92	118.92	118.92	0	EUR	
28/02/2013 00:00	119.66	119.66	119.66	119.66	0	EUR	
01/03/2013 00:00	118.44	118.44	118.44	118.44	0	EUR	
04/03/2013 00:00	118.25	118.25	118.25	118.25	0	EUR	
05/03/2013 00:00	121.51	121.51	121.51	121.51	0	EUR	
06/03/2013 00:00	121.59	121.59	121.59	121.59	0	EUR	
07/03/2013 00:00	121.99	121.99	121.99	121.99	0	EUR	
08/03/2013 00:00	124.22	124.22	124.22	124.22	0	EUR	
11/03/2013 00:00	123.66	123.66	123.66	123.66	0	EUR	
12/03/2013 00:00	123.51	123.51	123.51	123.51	0	EUR	
13/03/2013 00:00	122.75	122.75	122.75	122.75	0	EUR	
14/03/2013 00:00	124.85	124.85	124.85	124.85	0	EUR	
15/03/2013 00:00	124.04	124.04	124.04	124.04	0	EUR	
18/03/2013 00:00	122.96	122.96	122.96	122.96	0	EUR	
19/03/2013 00:00	120.99	120.99	120.99	120.99	0	EUR	
20/03/2013 00:00	123.02	123.02	123.02	123.02	0	EUR	
21/03/2013 00:00	121.55	121.55	121.55	121.55	0	EUR	
22/03/2013 00:00	121.07	121.07	121.07	121.07	0	EUR	
25/03/2013 00:00	118.25	118.25	118.25	118.25	0	EUR	
26/03/2013 00:00	117.98	117.98	117.98	117.98	0	EUR	
27/03/2013 00:00	116.26	116.26	116.26	116.26	0	EUR	
28/03/2013 00:00	116.29	116.29	116.29	116.29	0	EUR	
02/04/2013 00:00	118.6	118.6	118.6	118.6	0	EUR	
03/04/2013 00:00	116.33	116.33	116.33	116.33	0	EUR	
04/04/2013 00:00	115.44	115.44	115.44	115.44	0	EUR	
05/04/2013 00:00	113.8	113.8	113.8	113.8	0	EUR	
08/04/2013 00:00	113.53	113.53	113.53	113.53	0	EUR	
09/04/2013 00:00	114.55	114.55	114.55	114.55	0	EUR	
10/04/2013 00:00	118.8	118.8	118.8	118.8	0	EUR	
11/04/2013 00:00	119.99	119.99	119.99	119.99	0	EUR	
12/04/2013 00:00	117.73	117.73	117.73	117.73	0	EUR	
15/04/2013 00:00	116.98	116.98	116.98	116.98	0	EUR	
16/04/2013 00:00	116.47	116.47	116.47	116.47	0	EUR	
17/04/2013 00:00	113.76	113.76	113.76	113.76	0	EUR	
18/04/2013 00:00	113.07	113.07	113.07	113.07	0	EUR	
19/04/2013 00:00	114.38	114.38	114.38	114.38	0	EUR	
22/04/2013 00:00	114.9	114.9	114.9	114.9	0	EUR	
23/04/2013 00:00	119.4	119.4	119.4	119.4	0	EUR	
