,AAPL,ADI,ADSK,AVGO,BBBY,BIDU,BIIB,EA,GOOGL,LBTYA,MSFT,PAYX,XLNX,NDX
0,96.8,61.15,58.18,161.41,44.21,159.89,286.32,76.95,756.57,31.1,56.515,60.74,48.61,4665.054
1,96.89,61.61,58.19,161.83,44.09,160.13,286.81,77.07,756.16,31.225,56.72,60.935,48.74,4665.054
2,96.95,61.98,58.203335,162.5,43.86,160.0,286.13,77.25,755.62,31.01,56.7,61.0,48.99,4665.826
3,96.97,62.09,58.216667,162.68,43.8,160.12,286.8,76.96,756.3599,30.9,56.69,61.008,48.95,4667.081
4,96.96,61.89,58.23,162.75,43.92,160.86,286.42,77.03,755.67,30.91,56.69,61.11,48.89,4664.491
5,97.045,62.09,58.225,162.9,43.97,161.25,286.67,77.03,755.31,30.96,56.705,61.07,48.87,4666.484
6,97.095,62.07,58.22,163.08,44.1,161.01,286.411,76.99,753.98,31.05,56.78,61.11,48.91,4666.026
7,97.145,62.04,58.25,163.08,44.06,161.2,287.5,77.04,755.712,31.12,56.78,61.08,48.9488,4669.176
8,97.23,61.99,58.25,163.29,44.06,161.28,287.448,77.11,755.57,31.15,56.835,61.1,48.92,4670.209
9,97.3,61.77,58.295,162.845,44.02,161.505,287.7866,77.16,755.615,31.08,56.93,61.085,48.82,4671.427
10,97.24,61.81,58.34,162.7,44.07,162.19,288.14,77.03,756.23,31.1375,56.92,61.12,48.77,4671.472
11,97.3699,61.84,58.385,162.76,44.12,162.385,287.322,77.29,756.52,31.26,56.8999,61.08,48.78,4674.506
12,97.35,61.85,58.38,162.5407,44.11,162.235,287.346,77.11,756.38,31.21,56.895,61.1,48.71,4672.546
13,97.27,61.93,58.36,162.425,44.1,162.14,287.465,76.95,755.81,31.21,56.84,61.06,48.83,4672.679
14,97.32,62.06,58.455,162.7,44.13,162.3,287.73,76.85,756.54,31.22,56.84,61.11,48.93,4673.773
15,97.46,62.06,58.53,162.82,44.17,162.35,287.97,77.04,756.67,31.23,56.825,61.13,48.99,4676.43
