,Temperature_Comedor_Sensor,5:Weather_Temperature,6:CO2_Comedor_Sensor,7:CO2_Habitacion_Sensor,8:Humedad_Comedor_Sensor,9:Humedad_Habitacion_Sensor,10:Lighting_Comedor_Sensor,11:Lighting_Habitacion_Sensor,13:Meteo_Exterior_Crepusculo,15:Meteo_Exterior_Sol_Oest,16:Meteo_Exterior_Sol_Est,17:Meteo_Exterior_Sol_Sud,22:Temperature_Exterior_Sensor,24:Day_Of_Week,Temperature_Habitacion_Sensor
0,18.1875,0.0,216.56,221.92,39.9125,42.415,81.665,113.52,623.36,9690.24,12604.2,95436.8,18.115,2.0,17.8275
1,18.4633,6.8,219.947,220.363,39.9267,42.2453,81.7413,113.605,623.211,11022.0,10787.2,95436.8,18.4147,2.0,18.1207
2,18.7673,17.0,219.403,218.933,39.772,42.2267,81.424,113.6,622.656,13960.5,9669.63,95398.6,18.8533,2.0,18.4367
3,19.0727,18.0,218.613,217.045,39.776,42.0987,81.5013,113.344,622.571,18511.2,9648.13,95360.3,19.2907,2.0,18.7513
4,19.3721,20.0,217.714,216.08,39.7757,42.0686,81.4657,113.034,622.4,26349.0,9208.32,95354.9,19.74,2.0,19.0414
5,19.6407,20.0,218.389,216.011,39.8107,42.0347,81.2427,113.6,622.4,36511.7,8694.78,95354.9,20.166,2.0,19.2773
6,19.912,20.0,218.155,215.829,39.8613,41.9947,81.36,112.981,622.4,49288.5,8501.25,95354.9,20.566,2.0,19.5367
7,20.164,20.0,216.661,215.296,39.824,41.9947,81.024,111.259,621.803,62253.7,8687.62,95174.7,20.8427,2.0,19.7307
8,20.412,20.0,217.461,214.549,39.9587,42.1253,81.104,83.3547,620.651,71453.4,8888.32,91848.7,21.204,2.0,19.9693
9,20.64,20.0,215.349,213.909,39.94,42.0427,81.1813,83.36,620.309,80076.8,9046.02,87217.5,21.5227,2.0,20.1407
10,20.8453,20.0,213.888,213.312,39.9813,42.1787,61.0693,83.6107,619.755,86682.3,9182.21,81720.7,21.756,2.0,20.3267
11,21.0333,20.0,215.413,213.739,40.3587,42.7067,51.2373,59.952,619.712,88648.4,9347.07,75380.1,21.984,2.0,20.4713
12,21.2333,20.0,216.021,222.528,40.9107,41.5147,43.3733,52.824,619.328,91406.3,9712.64,68515.2,22.108,2.0,20.9093
13,21.4293,19.6667,216.256,219.68,41.1987,40.956,36.2653,45.6747,619.243,90472.4,9963.52,60604.4,22.1373,2.0,21.4253
14,21.488,19.0,213.173,219.285,41.88,40.6347,34.476,40.16,619.157,88391.7,9655.3,52794.7,22.08,2.0,21.8467
15,21.524,18.6667,211.093,217.589,43.2213,40.8413,31.1267,32.248,618.944,89134.4,8651.78,44743.3,21.9373,2.0,22.1573
16,21.584,18.2,211.157,215.136,43.3653,40.8867,21.442,23.44,618.645,88462.7,7906.3,36479.0,21.7067,2.0,22.404
17,21.612,18.0,209.419,214.24,42.744,40.3867,20.822,23.44,618.56,85333.3,7433.22,28270.6,21.4667,2.0,22.7307
18,21.664,18.0,209.408,213.632,42.216,39.9227,20.8233,23.44,618.56,84587.9,7175.17,21476.7,21.1773,2.0,22.9373
19,21.6853,18.0,209.547,215.029,41.976,39.6133,21.2633,22.244,618.517,78588.6,6831.1,16318.5,20.9373,2.0,23.2
20,21.788,18.0,212.715,217.067,41.52,39.084,20.4807,23.44,617.92,74555.4,6515.71,12792.5,20.7107,2.0,23.436
21,21.832,18.7333,212.405,216.661,41.3253,38.3013,20.742,22.784,617.792,65830.9,5899.26,10106.2,20.4627,2.0,23.668000000000003
22,21.808,19.0,212.064,216.672,40.8667,37.7867,20.84,23.5853,617.109,40424.4,4243.46,6537.22,20.2047,2.0,23.851999999999997
23,21.768,18.6667,211.211,216.299,40.9813,37.712,20.9207,23.2253,615.957,3024.9,2229.25,2042.88,19.976,2.0,24.0213
24,21.7133,18.0,211.051,216.768,41.4107,37.748,19.4407,23.2427,615.36,2207.74,1576.96,1512.45,19.756,2.0,24.1413
25,21.66,18.0,210.763,217.088,41.992,37.8373,11.5887,21.4213,614.592,1017.86,222.208,293.888,19.5273,2.0,24.268
26,21.596,18.0,210.571,215.616,43.1973,38.2173,11.5073,13.362,585.984,0.0,0.0,0.0,19.3013,2.0,24.38
27,21.5307,17.8667,209.92,216.107,43.8213,39.356,11.5073,13.1027,150.851,0.0,0.0,0.0,19.0413,2.0,24.0707
28,21.4493,17.0,209.792,215.477,44.3893,40.1587,11.5073,13.6067,4.60667,0.0,0.0,0.0,18.768,2.0,23.588
29,21.3747,17.0,210.059,214.987,44.68,40.752,11.4427,13.0213,0.782,0.0,0.0,0.0,18.4967,2.0,23.2867
30,21.276,16.2667,210.069,215.115,44.64,41.2507,11.426,13.5413,0.65,0.0,0.0,0.0,18.23,2.0,23.031999999999996
31,21.1987,15.6667,209.909,216.0,44.8213,41.616,11.3113,12.7773,0.65,0.0,0.0,0.0,18.0053,2.0,22.7747
32,21.0933,15.6,210.656,214.901,44.7493,42.0027,11.67,13.3787,0.65,0.0,0.0,0.0,17.7807,2.0,22.5533
33,21.0,15.0,210.667,214.549,44.5867,42.4373,11.524,13.0213,0.65,0.0,0.0,0.0,17.576,2.0,22.351999999999997
34,20.9053,15.0,209.877,213.888,44.3227,42.6267,11.6053,13.0213,0.65,0.0,0.0,0.0,17.3707,2.0,22.1227
35,20.816,15.0,210.315,213.675,44.4693,42.7493,11.7847,13.2153,0.65,0.0,0.0,0.0,17.1607,2.0,21.9347
36,20.72,15.0,209.429,214.123,44.0507,42.808,11.4427,13.2653,0.65,0.0,0.0,0.0,16.9407,2.0,21.7133
37,20.628,15.0,209.216,214.304,43.6827,42.8533,11.5887,12.5813,0.65,0.0,0.0,0.0,16.6853,2.0,21.5373
38,20.5253,14.6,210.539,215.275,43.8027,42.856,11.524,13.1827,0.65,0.0,0.0,0.0,16.416,2.0,21.348000000000003
39,20.43,14.0667,211.04,216.832,43.624,42.9227,11.5887,12.8587,0.694,0.0,0.0,0.0,16.22,2.0,21.148000000000003
40,20.3147,12.9333,211.317,217.867,43.136,42.9413,11.524,12.8587,0.65,0.0,0.0,0.0,16.0547,2.0,20.9813
41,20.2133,12.0,212.384,218.891,43.2,43.016,11.6053,12.94,0.65,0.0,0.0,0.0,15.876,2.0,20.8107
42,20.114,12.0,213.163,219.68,42.8533,43.0853,11.524,13.1833,0.65,0.0,0.0,0.0,15.7213,2.0,20.66
43,20.0053,11.6,213.472,219.744,42.7333,43.1307,11.7847,13.1027,0.65,0.0,0.0,0.0,15.5673,2.0,20.4753
44,19.9007,10.1333,214.827,219.627,42.6853,43.1813,11.6053,13.184,0.65,0.0,0.0,0.0,15.4147,2.0,20.3147
45,19.7953,10.3333,214.336,219.797,42.1973,43.24,11.524,12.94,0.65,0.0,0.0,0.0,15.26,2.0,20.164
46,19.6773,11.0,215.136,221.461,41.9947,43.2427,11.524,14.4027,0.65,0.0,0.0,0.0,15.066,2.0,19.9967
47,19.5727,11.0,216.384,221.931,41.7573,43.248,11.6053,13.428,0.65,0.0,0.0,0.0,14.864,2.0,19.846
48,19.442,10.2667,216.971,223.499,41.3467,43.2293,11.524,13.184,0.65,0.0,0.0,0.0,14.6387,2.0,19.6773
49,19.3327,10.0,217.835,223.381,41.432,43.1573,11.6053,13.0207,0.65,0.0,0.0,0.0,14.4433,2.06667,19.526
50,19.238,9.46667,219.115,223.637,41.0427,43.16,11.6053,13.5413,0.65,0.0,0.0,0.0,14.2667,3.0,19.3733
51,19.0933,9.0,219.2,225.131,41.0133,43.152,11.524,13.1027,0.738,0.0,0.0,0.0,13.9887,3.0,19.2087
52,18.962,9.0,221.493,227.509,41.152,43.1573,11.524,13.2653,0.65,0.0,0.0,0.0,13.7673,3.0,19.0527
53,18.8533,9.0,222.229,226.208,41.152,43.24,11.5073,12.4353,0.65,0.0,0.0,0.0,13.6213,3.0,18.8973
54,18.7267,9.0,222.155,226.091,41.0427,43.2613,11.6867,13.6387,0.65,0.0,0.0,0.0,13.522,3.0,18.734
55,18.6073,9.0,222.741,225.301,40.9627,43.2187,11.524,13.2,0.65,0.0,0.0,0.0,13.3787,3.0,18.5833
56,18.5007,9.0,221.515,225.237,40.708,43.1653,11.7847,13.428,0.65,0.0,0.0,0.0,13.1973,3.0,18.4167
57,18.36,8.86667,222.304,226.56,40.6213,43.16,11.7033,13.1993,0.65,0.0,0.0,0.0,12.9067,3.0,18.2727
58,18.2387,8.0,222.411,227.211,40.712,43.16,11.6867,13.5093,0.65,0.0,0.0,0.0,12.6573,3.0,18.0973
59,18.09,8.0,222.08,225.6,40.6547,43.16,11.7847,13.184,0.65,0.0,0.0,0.0,12.5453,3.0,17.9533
60,17.9553,8.4,222.432,225.355,40.672,43.176,11.4427,13.8013,0.694,0.0,0.0,0.0,12.398,3.0,17.8173
61,17.8333,7.8,221.12,222.795,40.676,43.1653,11.768,13.428,0.65,0.0,0.0,0.0,12.29,3.0,17.654
62,17.7047,7.0,220.853,220.747,40.488,43.104,11.524,13.3467,0.65,0.0,0.0,0.0,12.176,3.0,17.5153
63,17.5733,7.0,218.784,216.928,40.3333,42.872,11.7847,13.3467,0.65,0.0,0.0,0.0,12.1367,3.0,17.3267
64,17.4713,7.0,216.373,217.216,40.4413,42.8507,11.6053,13.2653,0.65,0.0,0.0,0.0,12.072,3.0,17.1553
65,17.3667,7.0,216.043,215.957,40.4253,42.8933,11.9473,13.428,0.65,0.0,0.0,0.0,11.9873,3.0,17.0253
66,17.268,7.0,214.187,215.392,40.372,42.856,11.622,13.428,0.65,0.0,0.0,0.0,11.9167,3.0,16.894000000000002
67,17.126,7.0,213.003,213.781,40.3133,42.752,11.7847,13.1027,0.65,0.0,0.0,0.0,11.8633,3.0,16.7433
68,16.9933,7.0,212.619,213.419,40.312,42.648,11.6053,12.7607,0.65,0.0,0.0,0.0,11.836,3.0,16.608
69,16.904,6.66667,211.168,212.672,40.3413,42.672,11.6053,13.2653,0.65,0.0,0.0,0.0,11.7567,3.0,16.4307
70,16.83,6.0,211.317,212.992,40.376,42.776,11.622,13.428,0.65,0.0,0.0,0.0,11.6907,3.0,16.2933
71,16.7333,6.13333,211.2,213.856,40.372,42.8667,11.866,13.3467,0.782,0.0,0.0,0.0,11.5713,3.0,16.174
72,16.61,6.8,210.304,214.005,40.4253,42.9387,11.768,13.3467,2.54133,0.0,0.0,0.0,11.3687,3.0,16.035999999999998
73,16.504,7.0,210.571,214.229,40.48,42.9787,11.524,13.672,66.166,0.0,0.0,0.0,11.2627,3.0,15.9227
74,16.3927,6.06667,211.072,214.197,40.4373,43.016,11.6053,13.8507,499.723,0.0,0.0,0.0,11.1727,3.0,15.8607
75,16.282,6.0,211.093,214.496,40.448,43.0747,11.6053,19.6253,611.84,150.528,2042.88,738.304,11.1,3.0,15.74
76,16.178,6.0,211.467,217.077,40.44,43.0853,20.0447,23.44,612.651,4107.26,22017.0,7059.8,11.03,3.0,15.6427
77,16.1087,6.0,213.557,219.68,40.4507,43.0507,21.328,23.44,614.507,7877.63,43632.0,16936.3,11.0,3.0,15.5307
78,16.0233,6.0,215.221,218.187,40.348,42.904,21.4893,23.5507,616.085,9734.14,54998.4,26204.8,11.09,3.0,15.4753
79,15.99,6.33333,215.093,217.739,40.508,42.84,21.5073,23.44,617.408,11285.8,62906.4,35655.7,11.2253,3.0,15.3773
80,15.96,7.0,215.424,216.928,40.556,42.064,21.3453,26.528,618.773,12533.8,69208.7,44455.3,11.4613,3.0,15.6793
81,15.97,7.66667,215.509,218.464,40.6867,41.116,21.166,38.3507,619.413,13487.4,72149.7,51937.3,11.778,3.0,16.2273
82,15.9967,9.0,215.488,218.475,40.7867,40.5907,21.246,49.1547,620.139,14361.3,74227.7,59392.0,12.1447,3.0,16.6473
83,16.038,9.2,215.872,219.392,40.868,40.2613,27.3667,65.44,620.821,15451.5,75502.9,67114.3,12.57,3.0,17.0253
84,16.1227,9.73333,215.211,219.531,40.9867,39.98,32.492,83.0133,621.547,17179.3,75882.5,73408.5,13.0093,3.0,17.3987
85,16.246,10.0,216.181,220.523,40.9,39.62,41.516,107.493,622.357,18683.9,76455.9,79055.5,13.4953,3.0,17.7927
86,16.4007,11.6,215.413,220.779,40.6547,39.2147,41.4173,112.56,622.656,17724.8,78654.1,84863.7,14.0053,3.0,18.2633
87,16.6693,13.6667,216.811,233.909,40.2733,38.5987,49.7333,128.923,623.083,15824.9,75707.7,89205.4,14.52,3.0,18.712
88,16.9007,15.0,218.272,230.624,40.172,37.8773,51.9147,140.64,623.211,14361.9,72237.1,93743.8,15.106,3.0,19.2667
89,17.1213,15.6667,219.808,228.32,40.1813,37.096,51.5707,142.944,624.32,13043.0,67125.2,95660.7,15.6,3.0,19.8067
90,17.3767,17.0,221.44,228.448,40.22,36.3373,53.9013,143.2,624.32,11896.1,58480.0,95649.8,16.0653,3.0,20.3413
91,17.7033,17.6667,225.109,262.859,40.3733,36.7587,81.6827,128.155,624.32,11179.3,48507.6,95584.3,16.586,3.0,20.8453
92,18.096,19.0,232.331,396.096,40.4653,39.972,81.4827,113.429,623.979,10685.4,36554.1,95518.7,17.142,3.0,21.451999999999998
93,18.4513,19.0,238.752,436.309,40.832,40.688,81.7413,114.24,623.467,10157.1,25960.4,95475.0,17.636,3.0,21.788
94,18.76,19.0,243.904,448.469,41.0307,41.2693,81.6613,112.64,623.04,9640.96,19033.4,95425.9,18.03,3.0,21.836
95,19.122,19.0,267.189,301.28,41.836,39.4267,81.4213,142.56,623.04,9411.58,15601.0,95431.3,18.3747,3.0,21.6173
96,19.546,19.0,283.349,265.952,42.432,40.624,81.424,141.68,622.656,9777.15,13444.4,95382.2,18.6873,3.0,21.424
97,20.0367,19.0,322.869,310.432,43.0747,41.4853,81.4827,139.797,622.4,11366.1,11158.2,95354.9,18.9767,3.0,21.6
98,20.4673,19.7333,357.781,384.448,42.1147,41.824,81.6613,123.637,622.144,14368.8,10135.6,95311.2,19.248,3.0,21.8587
99,20.832,19.4667,396.843,472.277,42.1467,42.1573,81.4427,116.672,622.229,18976.8,10092.5,95344.0,19.5893,3.0,22.0573
100,21.216,19.0,445.248,475.051,42.4773,42.6587,81.3227,112.496,622.4,26528.4,9640.96,95354.9,19.9793,3.0,22.1907
101,21.6253,19.0,445.803,472.363,44.2933,43.472,81.2613,112.496,622.101,37169.8,9017.34,95278.4,20.274,3.0,22.34
102,21.8947,19.0,428.928,438.592,43.0907,43.312,81.3413,112.411,621.76,49610.8,8759.3,95300.3,20.5307,3.0,22.4707
103,22.1773,19.1333,436.117,445.824,43.2027,43.472,80.9227,112.581,621.461,62794.4,8902.66,95163.7,20.88,3.0,22.62
104,22.3373,19.7333,401.237,421.611,43.0427,43.6587,81.1013,94.976,620.48,72485.5,8967.17,91799.6,21.2107,3.0,22.624000000000002
105,22.4733,20.0,378.453,356.352,42.8373,43.6027,81.0827,82.88,620.48,81002.5,9053.18,86911.7,21.5027,3.0,22.691999999999997
106,22.612,20.0,352.171,306.848,43.0427,43.3333,64.8453,82.8,620.352,88124.1,9218.05,81589.6,21.844,3.0,22.7347
107,22.7813,20.0,308.576,297.813,43.7227,43.2533,51.416,62.1467,619.84,91045.9,9447.42,75524.8,22.196,3.0,22.78
108,22.912,20.0,292.971,276.523,43.672,43.1067,50.6347,52.5893,619.84,93498.0,9784.32,68381.4,22.3693,3.0,22.816
109,22.992,20.0,277.387,260.256,43.4987,43.0213,41.9733,45.0453,619.328,93066.6,9992.19,60907.5,22.32,3.0,22.8213
110,23.088,20.0,263.808,248.853,43.064,42.8987,38.6867,39.6987,619.2,91258.9,9612.29,52974.9,22.136,3.0,22.808000000000003
111,23.148,20.0,243.435,243.765,42.0827,42.624,31.0453,32.0533,618.816,92160.0,8673.28,44761.1,21.8853,3.0,22.776
112,23.164,20.0,232.693,237.589,41.124,42.224,23.004,22.604,618.603,91930.6,7985.15,36319.2,21.5827,3.0,22.7347
113,23.132,19.8667,224.021,233.12,40.4133,41.952,20.8053,23.388,618.56,88861.4,7533.57,27955.2,21.2467,3.0,22.6907
114,23.128,19.0,219.52,229.899,39.9333,41.664,20.742,22.9467,618.56,88479.1,7347.2,21349.0,20.9627,3.0,22.608
115,23.0627,19.0,216.501,226.869,39.2667,41.5227,20.9027,23.1093,618.091,82580.8,7081.98,16311.6,20.6947,3.0,22.5613
116,22.996,19.0,216.619,221.515,38.8173,41.48,20.6607,22.9813,617.92,78711.5,6773.76,12907.9,20.4427,3.0,22.484
117,22.9333,19.0,213.557,219.349,38.384,41.0613,20.562,23.144,617.323,70421.2,6207.49,10277.9,20.1167,3.0,22.3867
118,22.8213,19.0,211.445,217.483,37.8173,40.8947,20.822,22.604,616.811,48251.2,4652.03,7182.34,19.8167,3.0,22.2987
119,22.716,18.8,210.795,215.936,37.912,40.776,20.9213,22.9467,615.573,2788.35,2386.94,1978.37,19.5533,3.0,22.1787
120,22.5893,18.2667,209.877,214.325,39.0733,40.9387,20.6607,22.7027,614.464,2085.89,1734.66,1526.78,19.3293,3.0,22.064
121,22.484,18.0,209.483,212.544,40.848,41.44,11.328,22.0213,613.973,1103.87,473.088,451.584,19.1287,3.0,21.951999999999998
122,22.3813,18.0,210.315,213.035,42.32,42.048,11.328,13.46,585.813,0.0,0.0,0.0,18.9267,3.0,21.8613
123,22.2627,17.3333,209.984,211.371,43.6133,42.7947,11.622,12.8587,111.133,0.0,0.0,0.0,18.7113,3.0,21.74
124,22.156,16.0,210.101,210.581,44.5493,43.52,11.23,13.1993,3.772,0.0,0.0,0.0,18.4533,3.0,21.624000000000002
125,22.044,16.0,210.304,210.507,45.2853,44.056,11.426,12.94,0.738,0.0,0.0,0.0,18.2053,3.0,21.496
126,21.92,16.0,209.835,210.187,45.816,44.496,11.6053,13.004,0.65,0.0,0.0,0.0,17.9927,3.0,21.3867
127,21.82,16.0,210.581,210.805,46.2747,44.944,11.328,13.3787,0.65,0.0,0.0,0.0,17.7647,3.0,21.2507
128,21.6973,14.5333,209.835,211.136,46.184,45.056,11.6867,13.2813,0.65,0.0,0.0,0.0,17.5673,3.0,21.1293
129,21.5627,14.0,209.728,210.496,46.9147,45.6667,11.3447,13.004,0.65,0.0,0.0,0.0,17.3913,3.0,21.028000000000002
130,21.4453,14.0,210.101,211.723,47.2987,45.8693,11.426,13.0213,0.65,0.0,0.0,0.0,17.2,3.0,20.896
131,21.304,14.0,210.016,211.019,47.3067,46.0667,11.6867,13.1833,0.65,0.0,0.0,0.0,16.996,3.0,20.816
132,21.18,14.0,210.4,211.616,45.8533,45.4533,11.328,12.94,0.65,0.0,0.0,0.0,16.8393,3.0,20.6813
133,21.04,12.5333,210.507,212.48,45.2,45.488,11.524,13.2967,0.65,0.0,0.0,0.0,16.684,3.0,20.572
134,20.8987,12.0,211.072,214.091,44.824,45.5253,11.6867,13.184,0.65,0.0,0.0,0.0,16.514,3.0,20.4173
135,20.7747,12.0,211.264,213.749,44.8347,45.6133,11.426,12.5167,0.65,0.0,0.0,0.0,16.3467,3.0,20.308
136,20.652,12.0,212.085,214.261,45.8827,46.232,11.6867,13.3627,0.65,0.0,0.0,0.0,16.166,3.0,20.1407
137,20.532,12.0,212.384,214.229,46.352,46.4693,11.6053,12.8587,0.65,0.0,0.0,0.0,16.0053,3.0,19.9987
138,20.4067,12.0,211.733,213.739,46.5333,46.752,11.426,13.6067,0.65,0.0,0.0,0.0,15.8253,3.0,19.9033
139,20.264,12.0,212.235,214.496,45.9653,46.5893,11.6053,13.1027,0.65,0.0,0.0,0.0,15.6493,3.0,19.7833
140,20.136,11.4667,212.064,214.357,45.736,46.8933,11.426,13.184,0.65,0.0,0.0,0.0,15.4293,3.0,19.658
141,20.0227,11.0,212.32,214.432,44.936,46.7413,11.524,13.0213,0.65,0.0,0.0,0.0,15.0953,3.0,19.52
142,19.866,10.0667,212.651,215.979,44.2427,46.4053,11.6867,12.842,0.65,0.0,0.0,0.0,14.9067,3.0,19.4027
143,19.7607,9.66667,212.96,215.787,43.3253,45.7573,11.6053,13.444,0.65,0.0,0.0,0.0,14.7893,3.0,19.3573
144,19.8147,9.0,213.205,215.125,41.4853,45.0,11.7033,13.0207,0.65,0.0,0.0,0.0,14.66,3.0,19.5787
145,19.8147,9.0,212.683,216.309,41.104,44.64,11.4427,13.2653,0.65,0.0,0.0,0.0,14.4187,3.06667,19.672
146,19.7553,9.0,212.907,217.44,40.976,44.256,11.4427,12.9393,0.65,0.0,0.0,0.0,14.208,4.0,19.7
147,19.6867,9.0,213.845,217.568,40.896,43.9893,11.6867,13.3467,0.65,0.0,0.0,0.0,13.9453,4.0,19.7033
148,19.5833,9.0,214.667,218.891,40.816,43.752,11.6053,12.94,0.65,0.0,0.0,0.0,13.6507,4.0,19.684
149,19.482,8.66667,215.915,220.672,40.7413,43.5173,11.524,13.8173,0.65,0.0,0.0,0.0,13.3473,4.0,19.648
150,19.3353,8.0,216.821,219.328,40.7107,43.2747,11.7033,13.704,0.65,0.0,0.0,0.0,13.1267,4.0,19.55
151,19.2267,8.0,216.715,217.259,40.66,43.2133,11.6053,13.3467,1.354,0.0,0.0,0.0,12.918,4.0,19.4333
152,19.1367,8.53333,215.851,215.157,40.596,43.272,11.7033,13.3467,1.926,0.0,0.0,0.0,12.76,4.0,19.382
153,19.05,9.0,214.56,214.048,40.5893,43.424,11.524,13.2653,1.926,0.0,0.0,0.0,12.668,4.0,19.3153
154,18.9727,8.06667,213.312,213.045,40.5733,43.5573,11.524,12.452,1.794,0.0,0.0,0.0,12.6267,4.0,19.3
155,18.8867,8.0,212.075,212.021,40.592,43.5893,11.524,14.3213,1.618,0.0,0.0,0.0,12.6133,4.0,19.2733
156,18.8027,7.86667,212.224,213.429,40.64,43.5947,11.6867,13.7533,1.618,0.0,0.0,0.0,12.6033,4.0,19.2267
157,18.7287,7.33333,211.701,213.589,40.656,43.712,11.7847,13.2653,1.838,0.0,0.0,0.0,12.5907,4.0,19.1367
158,18.6713,8.0,211.659,213.685,40.68,44.0027,11.6053,13.5093,1.838,0.0,0.0,0.0,12.5907,4.0,19.13
159,18.6047,7.6,210.923,213.493,40.712,44.0053,11.6867,13.5907,1.662,0.0,0.0,0.0,12.5933,4.0,19.1133
160,18.5513,6.0,210.987,214.496,40.748,44.1227,11.7847,13.5907,1.442,0.0,0.0,0.0,12.59,4.0,19.0867
161,18.5067,6.06667,211.968,213.867,40.848,44.2213,11.4427,13.1673,1.31,0.0,0.0,0.0,12.5873,4.0,19.06
162,18.4533,6.8,212.064,214.741,40.92,44.3787,11.6867,13.5907,1.31,0.0,0.0,0.0,12.5967,4.0,19.048
163,18.4007,6.53333,212.576,214.4,41.0053,44.592,11.6867,12.842,1.31,0.0,0.0,0.0,12.6067,4.0,19.004
164,18.3567,6.0,212.245,214.208,41.048,44.7627,11.768,13.3467,1.31,0.0,0.0,0.0,12.6367,4.0,19.0
165,18.33,5.46667,211.904,213.856,41.1387,45.0133,11.6867,13.672,1.354,0.0,0.0,0.0,12.668,4.0,19.0
166,18.2827,5.0,211.883,212.789,41.2027,45.0293,11.72,13.7533,1.31,0.0,0.0,0.0,12.638,4.0,18.99
167,18.2267,5.53333,211.008,212.512,41.232,45.1093,11.5887,13.672,1.178,0.0,0.0,0.0,12.522,4.0,18.9447
168,18.1393,6.0,211.211,212.075,41.288,44.8453,11.7033,13.428,2.49733,0.0,0.0,0.0,12.3907,4.0,18.9207
169,18.068,5.66667,211.584,214.101,41.392,44.9573,11.4427,11.7033,81.974,0.0,0.0,0.0,12.2227,4.0,18.8607
170,18.0233,5.0,211.584,215.264,41.408,45.048,11.622,12.1747,521.365,0.0,0.0,0.0,12.0147,4.0,18.7953
171,17.956,5.0,212.149,216.555,41.4213,45.0213,11.524,20.1,611.2,250.88,2100.22,852.992,11.7967,4.0,18.7267
172,17.8847,4.86667,211.936,217.984,41.4347,44.9733,21.0847,21.3267,612.395,4609.02,27496.1,8249.34,11.5727,4.0,18.672
173,17.83,4.0,213.707,221.28,41.4213,44.8293,20.9853,23.0627,613.888,8350.72,46123.7,17544.5,11.4327,4.0,18.6067
174,17.7513,4.0,216.117,223.584,41.4053,44.584,21.3927,23.44,615.552,10099.4,57300.3,26880.7,11.3953,4.0,18.54
175,17.7287,4.0,217.141,225.344,41.4933,44.4933,21.2467,23.44,617.067,11739.1,66830.3,37765.1,11.4167,4.0,18.5
176,17.7133,5.46667,217.813,225.152,41.5413,44.352,21.5067,26.7387,618.005,12785.0,69779.5,44739.2,11.508,4.0,18.496
177,17.7133,6.0,218.72,223.115,41.528,44.144,21.1487,38.1893,618.645,13839.7,73542.3,52985.9,11.6473,4.0,18.52
178,17.708,6.53333,218.763,219.723,41.6453,43.9013,22.548,48.6293,619.072,14814.5,76114.6,60964.9,11.7813,4.0,18.4907
179,17.596,7.0,218.4,221.269,42.0,44.4027,31.208,67.4533,619.413,15773.7,76567.9,67777.9,11.93,4.0,18.1873
180,17.5847,8.33333,218.624,221.365,42.088,44.856,38.248,83.36,619.499,17444.9,76895.6,73719.8,12.142,4.0,18.0307
181,17.622,9.4,218.347,221.291,42.2347,45.0053,41.3373,101.317,620.053,18720.1,76996.6,78736.0,12.3787,4.0,18.04
182,17.704,12.0,218.528,220.48,42.3227,45.0053,46.144,112.837,620.565,17802.6,78946.3,84314.8,12.644,4.0,18.035999999999998
183,17.82,12.0,218.987,219.925,42.3813,45.0507,50.7707,110.917,621.12,16547.8,74918.6,85955.9,12.988,4.0,18.0753
184,17.918,12.0,218.197,217.376,42.3973,45.104,50.952,104.853,621.035,15938.9,69296.1,85090.3,13.3487,4.0,18.166
185,18.0507,12.5333,217.301,216.427,42.5067,45.4587,56.6067,99.504,620.224,16104.8,55211.3,71426.0,13.6793,4.0,18.204
186,18.222,13.0,217.408,215.243,42.5867,45.6427,75.1173,119.173,621.675,15063.7,59460.3,89893.5,14.006,4.0,18.316
187,18.3893,13.5333,216.555,214.443,42.4907,45.512,81.4827,115.237,622.357,13868.4,50675.7,95360.3,14.3727,4.0,18.4647
188,18.58,14.0,215.989,214.219,42.464,45.3813,81.3227,121.429,622.144,13251.2,39370.8,95316.7,14.7233,4.0,18.6193
189,18.7587,14.0,215.093,213.312,42.416,45.3013,81.76,129.253,622.4,12836.2,29567.7,95354.9,15.002,4.0,18.7947
190,18.962,14.9333,214.827,213.6,42.456,45.1173,81.2427,139.237,622.443,12305.1,22515.7,95344.0,15.326,4.0,18.9613
191,19.164,15.0,214.261,214.539,42.48,44.9867,81.4053,128.757,622.357,12133.0,18776.7,95354.9,15.6967,4.0,19.1713
