,Temperature_Comedor_Sensor,22:Temperature_Exterior_Sensor,5:Weather_Temperature,9:Humedad_Habitacion_Sensor,23:Humedad_Exterior_Sensor,8:Humedad_Comedor_Sensor,7:CO2_Habitacion_Sensor,18:Meteo_Exterior_Piranometro,24:Day_Of_Week,Temperature_Habitacion_Sensor
0,18.1875,18.115,0.0,42.415,48.375,39.9125,221.92,758.88,2.0,17.8275
1,18.4633,18.4147,6.8,42.2453,47.808,39.9267,220.363,762.069,2.0,18.1207
2,18.7673,18.8533,17.0,42.2267,47.432,39.772,218.933,766.251,2.0,18.4367
3,19.0727,19.2907,18.0,42.0987,47.024,39.776,217.045,766.037,2.0,18.7513
4,19.3721,19.74,20.0,42.0686,45.4743,39.7757,216.08,762.743,2.0,19.0414
5,19.6407,20.166,20.0,42.0347,45.5467,39.8107,216.011,752.683,2.0,19.2773
6,19.912,20.566,20.0,41.9947,44.968,39.8613,215.829,740.949,2.0,19.5367
7,20.164,20.8427,20.0,41.9947,45.1813,39.824,215.296,721.109,2.0,19.7307
8,20.412,21.204,20.0,42.1253,45.416,39.9587,214.549,699.392,2.0,19.9693
9,20.64,21.5227,20.0,42.0427,45.0213,39.94,213.909,677.675,2.0,20.1407
10,20.8453,21.756,20.0,42.1787,44.36,39.9813,213.312,648.427,2.0,20.3267
11,21.0333,21.984,20.0,42.7067,44.7947,40.3587,213.739,615.68,2.0,20.4713
12,21.2333,22.108,20.0,41.5147,43.984,40.9107,222.528,582.869,2.0,20.9093
13,21.4293,22.1373,19.6667,40.956,44.5467,41.1987,219.68,544.533,2.0,21.4253
14,21.488,22.08,19.0,40.6347,44.7813,41.88,219.285,503.744,2.0,21.8467
15,21.524,21.9373,18.6667,40.8413,45.6773,43.2213,217.589,460.523,2.0,22.1573
16,21.584,21.7067,18.2,40.8867,45.5173,43.3653,215.136,415.744,2.0,22.404
17,21.612,21.4667,18.0,40.3867,45.2373,42.744,214.24,368.917,2.0,22.7307
18,21.664,21.1773,18.0,39.9227,45.0747,42.216,213.632,320.448,2.0,22.9373
19,21.6853,20.9373,18.0,39.6133,45.072,41.976,215.029,271.723,2.0,23.2
20,21.788,20.7107,18.0,39.084,44.128,41.52,217.067,222.443,2.0,23.436
21,21.832,20.4627,18.7333,38.3013,43.2747,41.3253,216.661,173.835,2.0,23.668
22,21.808,20.2047,19.0,37.7867,43.6107,40.8667,216.672,101.244,2.0,23.852
23,21.768,19.976,18.6667,37.712,45.8293,40.9813,216.299,24.6653,2.0,24.0213
24,21.7133,19.756,18.0,37.748,47.0693,41.4107,216.768,15.57,2.0,24.1413
25,21.66,19.5273,18.0,37.8373,49.5467,41.992,217.088,5.00933,2.0,24.268
26,21.596,19.3013,18.0,38.2173,52.2027,43.1973,215.616,-2.93933,2.0,24.38
27,21.5307,19.0413,17.8667,39.356,53.8053,43.8213,216.107,-3.904,2.0,24.0707
