,Pred_Ent
0,0.08093324
1,0.08527061
2,0.0854811
3,0.09684038
4,0.089656144
5,0.090241365
6,0.09454732
7,0.10445654
8,0.107077405
9,0.10851255
10,0.108978
11,0.11841798
12,0.123986065
13,0.12838867
14,0.13166462
15,0.1316059
16,0.13204145
17,0.13152567
18,0.12935665
19,0.13220653
20,0.13093194
21,0.13279608
22,0.13355756
23,0.1407786
24,0.14591472
25,0.13813162
26,0.14088415
27,0.13879079
28,0.1362552
29,0.13514023
30,0.13109136
31,0.121627584
32,0.12355232
33,0.12672777
34,0.12373072
35,0.116600424
36,0.121184565
37,0.123693906
38,0.122726485
39,0.1208096
40,0.119302265
41,0.12561817
42,0.11872167
43,0.12110084
44,0.11654595
45,0.11465256
46,0.119846255
47,0.12646565
48,0.12723249
49,0.124225736
50,0.125577
51,0.124389395
52,0.1259243
53,0.12949267
54,0.12493734
55,0.11697265
56,0.11161247
57,0.1140363
58,0.11497358
59,0.115221046
60,0.11475228
61,0.11338033
62,0.112462655
63,0.11413271
64,0.11224036
65,0.11308279
66,0.109480135
67,0.10990325
68,0.112633914
69,0.111908145
70,0.11072956
71,0.112793125
72,0.10882829
73,0.10617174
74,0.10371959
75,0.100628905
76,0.09173642
77,0.050615743
78,0.030142426
79,0.043449014
80,0.047451094
81,0.03857495
82,0.015653431
83,0.017636389
84,0.017950505
85,0.020059615
86,0.024091482
87,0.02089727
88,0.02397643
89,0.019769758
90,0.01919952
91,0.014801711
92,0.016505271
93,0.012511104
94,0.009702161
95,0.0031473339
96,0.0072201043
97,0.015676111
98,0.021073475
99,0.016730934
100,0.018990159
101,0.022982866
102,0.025582105
103,0.018953294
104,0.019070193
105,0.024062574
106,0.033782527
107,0.033295497
108,0.034162164
109,0.03522344
110,0.03208475
111,0.03861527
112,0.039552018
113,0.039745286
114,0.040582106
115,0.04020278
116,0.036611885
117,0.036512345
118,0.046350285
119,0.04200749
120,0.039191842
121,0.042564154
122,0.0395035
123,0.037165254
124,0.040325522
125,0.040168032
126,0.039878815
127,0.03976439
128,0.04123071
129,0.038410813
130,0.03620498
131,0.04199341
132,0.042030483
133,0.05604522
134,0.06403101
135,0.060311496
136,0.059675366
137,0.05478555
138,0.055821463
139,0.06075616
140,0.060760602
141,0.060064554
142,0.063668214
143,0.06630838
144,0.06545022
145,0.06505176
146,0.062029526
147,0.063499644
148,0.06619592
149,0.06710888
150,0.06821487
151,0.065284744
152,0.062155023
153,0.06078382
154,0.05953686
155,0.059930384
156,0.059186205
157,0.058474153
158,0.057831183
159,0.058330774
160,0.06069915
161,0.06287639
162,0.06426874
163,0.07174131
164,0.08412896
165,0.086081244
166,0.08784285
167,0.0866277
168,0.08478304
169,0.08633524
170,0.08335168
171,0.07857474
172,0.07801622
173,0.079554155
174,0.07677304
175,0.074758805
176,0.07723668
177,0.0765939
178,0.07661183
179,0.07604365
180,0.07356
181,0.073886074
182,0.07333352
183,0.071069986
184,0.071919724
185,0.06826857
186,0.07233853
187,0.07359862
188,0.07244615
189,0.07280521
190,0.07188
191,0.07837761
192,0.07877517
193,0.077736415
194,0.07462796
195,0.07556151
196,0.07554007
197,0.07389897
198,0.07531787
199,0.077768035
200,0.07290358
201,0.07337759
202,0.07171048
203,0.072753415
204,0.072693005
205,0.07128439
206,0.071768336
207,0.07231355
208,0.072214015
209,0.070178255
210,0.069287814
211,0.07099405
212,0.07218172
213,0.07023694
214,0.06748748
215,0.06567594
216,0.066946246
217,0.06614196
218,0.06855064
219,0.068484984
220,0.0680428
221,0.06781367
222,0.06644606
223,0.057823762
224,0.050518602
225,0.036429644
226,0.03682019
227,0.0322991
228,0.028563023
229,0.031031355
230,0.029790014
231,0.032739148
232,0.0338649
233,0.032859936
234,0.0323779
235,0.030066147
236,0.028507173
237,0.03168647
238,0.031321406
239,0.034951523
240,0.03628321
241,0.036005005
242,0.04028973
243,0.043065175
244,0.04324563
245,0.041618317
246,0.041238144
247,0.041836902
248,0.040324748
249,0.043100476
250,0.043596
251,0.04195878
252,0.04132469
253,0.039389998
254,0.040142372
255,0.039478675
256,0.038133547
257,0.037510052
258,0.037206233
259,0.041141763
260,0.04297185
261,0.040366456
262,0.040933907
263,0.04110925
264,0.045115873
265,0.047474504
266,0.04662615
267,0.044295073
268,0.039293602
269,0.03179209
270,0.03281355
271,0.032163158
272,0.02754578
273,0.02492638
274,0.025213301
275,0.02314116
276,0.027243912
277,0.026301488
278,0.028614074
279,0.028447762
280,0.026606664
281,0.032795057
282,0.030346587
283,0.034860224
284,0.032873064
285,0.046164915
286,0.05244519
287,0.054038644
288,0.061017066
289,0.06797935
290,0.0762296
291,0.07506895
292,0.07116483
293,0.08249478
294,0.085288756
295,0.081762515
296,0.08079579
297,0.08059513
298,0.08302511
299,0.08517846
300,0.08864003
301,0.08343651
302,0.0837251
303,0.08567225
304,0.0865181
305,0.08974626
306,0.09236829
307,0.08479789
308,0.08558803
309,0.08121274
310,0.07891977
311,0.0786998
312,0.079129174
313,0.076201536
314,0.074481376
315,0.07503875
316,0.07606608
317,0.07867047
318,0.078248024
319,0.08014953
320,0.08118148
321,0.077228844
322,0.071564324
323,0.07364643
324,0.079532355
325,0.08084362
326,0.082366586
327,0.08256518
328,0.0815625
329,0.08170233
330,0.079497345
331,0.08551313
332,0.08596273
333,0.08628948
334,0.0862608
335,0.08604996
336,0.08120183
337,0.080474325
338,0.08362605
339,0.07508829
340,0.07400419
341,0.07296802
342,0.06659307
343,0.06546725
344,0.06818377
345,0.070548564
346,0.07147498
347,0.07045094
348,0.07631953
349,0.07466572
350,0.07783288
351,0.077203065
352,0.07923587
353,0.079007536
354,0.07516604
355,0.07697695
356,0.07511914
357,0.078816995
358,0.07728331
359,0.08469724
360,0.08256156
361,0.08372179
362,0.088131726
363,0.0865193
364,0.08903878
365,0.08533463
366,0.08188353
367,0.08422374
368,0.08912125
369,0.09163954
370,0.09047131
371,0.09411381
372,0.09077563
373,0.084936865
374,0.085421965
375,0.0818404
376,0.081604384
377,0.08219242
378,0.08584758
379,0.08595679
380,0.08995178
381,0.08977351
382,0.086838
383,0.23519024
384,0.23041844
385,0.22274093
386,0.22142565
387,0.2194872
388,0.21002169
389,0.21904266
390,0.2208334
391,0.22235514
392,0.22746924
393,0.21356836
394,0.20279521
395,0.20554967
396,0.19987571
397,0.1898653
398,0.19662067
399,0.1965557
400,0.20029442
401,0.19871019
402,0.20273426
403,0.2055205
404,0.20746021
405,0.21895443
406,0.21933621
407,0.22222227
408,0.22726536
409,0.23431471
410,0.23581204
411,0.23240103
412,0.23054282
413,0.22254738
414,0.22635198
415,0.23260714
416,0.23036338
417,0.23127654
418,0.23206691
419,0.23406303
420,0.22444783
421,0.22241046
422,0.22070545
423,0.21571913
424,0.21952207
425,0.21764362
426,0.21391717
427,0.21583182
428,0.21653832
429,0.21911503
430,0.21730688
431,0.21123417
432,0.20721841
433,0.20271055
434,0.20175247
435,0.19608422
436,0.1953701
437,0.19970632
438,0.19471705
439,0.19277535
440,0.193941
441,0.19565749
442,0.19684924
443,0.1933435
444,0.19640234
445,0.19273973
446,0.19348751
447,0.18684265
