,Pred_Ent
0,0.08225459
1,0.08649117
2,0.0863834
3,0.097916566
4,0.09060685
5,0.091248855
6,0.09578925
7,0.105467215
8,0.108546905
9,0.10983424
10,0.11013131
11,0.119673595
12,0.12549825
13,0.1296956
14,0.13331035
15,0.13299516
16,0.13354552
17,0.13282305
18,0.13045987
19,0.13314693
20,0.13190071
21,0.13365391
22,0.13479134
23,0.14230368
24,0.14692292
25,0.13919188
26,0.14198838
27,0.14004025
28,0.13715473
29,0.13628417
30,0.13206758
31,0.1220439
32,0.124320194
33,0.1277502
34,0.12447856
35,0.11751063
36,0.1221254
37,0.1244625
38,0.1234735
39,0.12178572
40,0.12058937
41,0.12694168
42,0.119473904
43,0.12257107
44,0.11760339
45,0.11537637
46,0.12086778
47,0.12770772
48,0.12879474
49,0.12515658
50,0.12701645
51,0.12556624
52,0.12705828
53,0.13059108
54,0.12598968
55,0.117820814
56,0.1124429
57,0.1148188
58,0.11549112
59,0.11619923
60,0.116259366
61,0.114242524
62,0.11315605
63,0.11533405
64,0.1129472
65,0.114158496
66,0.110537775
67,0.11078723
68,0.11376641
69,0.11287916
70,0.11134555
71,0.113721356
72,0.1098834
73,0.10672723
74,0.104729205
75,0.10121325
76,0.09201904
77,0.049070623
78,0.02822871
79,0.042327393
80,0.046209592
81,0.037366375
82,0.014423444
83,0.01675678
84,0.01721889
85,0.019069485
86,0.023701582
87,0.020192435
88,0.024112249
89,0.019840943
90,0.018621916
91,0.0141053675
92,0.016314644
93,0.011917109
94,0.008889509
95,0.0015775546
96,0.00670437
97,0.015414978
98,0.021502657
99,0.01629414
100,0.01904981
101,0.02331845
102,0.025276197
103,0.018749544
104,0.018799199
105,0.023962723
106,0.034192685
107,0.033368304
108,0.03462969
109,0.035563406
110,0.03233648
111,0.03931776
112,0.040118035
113,0.039681368
114,0.040912416
115,0.040645596
116,0.03709961
117,0.03638014
118,0.046852138
119,0.042075563
120,0.039409425
121,0.042914364
122,0.039421607
123,0.037494045
124,0.04049107
125,0.04032549
126,0.040116206
127,0.039911054
128,0.041499894
129,0.038592726
130,0.03626192
131,0.042849895
132,0.042037874
133,0.05640904
134,0.065229274
135,0.061213996
136,0.061116006
137,0.055380147
138,0.056114703
139,0.06127801
140,0.061241295
141,0.06072515
142,0.06417672
143,0.06656398
144,0.066073716
145,0.06585473
146,0.06284483
147,0.063918136
148,0.06681658
149,0.06758545
150,0.06878193
151,0.066083714
152,0.062684834
153,0.061328936
154,0.059700433
155,0.060291115
156,0.059326887
157,0.0586253
158,0.058308244
159,0.05892731
160,0.060943283
161,0.06362853
162,0.06505486
163,0.0728926
164,0.08531308
165,0.08682774
166,0.08894125
167,0.08748618
168,0.08584081
169,0.08730606
170,0.084251195
171,0.07899313
172,0.07825075
173,0.080095924
174,0.07729958
175,0.075023636
176,0.07786661
177,0.07690933
178,0.07692006
179,0.07644656
180,0.07388103
181,0.07442221
182,0.07379207
183,0.07162012
184,0.07253049
185,0.06919749
186,0.07334992
187,0.07379472
188,0.072836876
189,0.073622555
190,0.07254885
191,0.0794106
192,0.07969287
193,0.07846858
194,0.07567268
195,0.07612139
196,0.07629575
197,0.074793525
198,0.07592784
199,0.07826039
200,0.07386113
201,0.07395605
202,0.07247799
203,0.07324684
204,0.073887154
205,0.07173993
206,0.07219225
207,0.073149696
208,0.07269846
209,0.07060456
210,0.070189565
211,0.07202883
212,0.07285477
213,0.070909455
214,0.06790231
215,0.065959506
216,0.0671917
217,0.066685155
218,0.06914139
219,0.069234245
220,0.06847469
221,0.06835337
222,0.06684551
223,0.058136884
224,0.049822465
225,0.035949882
226,0.03655494
227,0.031441085
228,0.027552456
229,0.030462554
230,0.029300818
231,0.03265696
232,0.034038357
233,0.03296157
234,0.0323368
235,0.030087313
236,0.028235162
237,0.0318664
238,0.03104822
239,0.034859538
240,0.036413845
241,0.036460266
242,0.040799446
243,0.043581765
244,0.043981954
245,0.04217126
246,0.041690577
247,0.04237922
248,0.04014334
249,0.043269474
250,0.04394732
251,0.04227842
252,0.04200871
253,0.03927572
254,0.040330295
255,0.039626177
256,0.03798472
257,0.037551515
258,0.03767964
259,0.04135279
260,0.043029834
261,0.04069407
262,0.04104812
263,0.041111294
264,0.045313265
265,0.04778173
266,0.04722606
267,0.044361286
268,0.03944664
269,0.031561043
270,0.03264037
271,0.031416833
272,0.027003558
273,0.024642978
274,0.024886096
275,0.023004575
276,0.02670532
277,0.02607247
278,0.02862287
279,0.028460024
280,0.026810234
281,0.0335571
282,0.030471718
283,0.035297327
284,0.032850504
285,0.047481064
286,0.053467903
287,0.054984245
288,0.062381055
289,0.069221914
290,0.077161156
291,0.07614692
292,0.0720997
293,0.083858326
294,0.0866009
295,0.0823987
296,0.081434704
297,0.0816111
298,0.08379683
299,0.08662154
300,0.089690596
301,0.08436632
302,0.08444857
303,0.086370885
304,0.08740634
305,0.090538695
306,0.093591005
307,0.08531829
308,0.086240046
309,0.08170062
310,0.079404525
311,0.07914288
312,0.080042556
313,0.07648729
314,0.07494722
315,0.075599045
316,0.07660456
317,0.07918431
318,0.07915595
319,0.081022575
320,0.0818055
321,0.07820968
322,0.07200957
323,0.07400344
324,0.07989394
325,0.08133161
326,0.08318967
327,0.083388135
328,0.0824417
329,0.0826056
330,0.08054581
331,0.08621524
332,0.08651696
333,0.08722168
334,0.08695653
335,0.0867204
336,0.08182533
337,0.08076079
338,0.08417524
339,0.075210065
340,0.07399467
341,0.072742805
342,0.066974714
343,0.065573886
344,0.06852689
345,0.070685476
346,0.071992904
347,0.071110435
348,0.07707416
349,0.075162895
350,0.07901195
351,0.078186244
352,0.08014378
353,0.07965992
354,0.07594842
355,0.07736512
356,0.07554996
357,0.07939472
358,0.07804449
359,0.08565783
360,0.08333042
361,0.08463655
362,0.08903405
363,0.08764454
364,0.09028803
365,0.08610596
