,Pred_Ent
0,0.6567317
1,0.6703867
2,0.68342745
3,0.69391215
4,0.7155071
5,0.74956983
6,0.7868695
7,0.8177495
8,0.83854455
9,0.85559297
10,0.8679345
11,0.88116205
12,0.896106
13,0.91142315
14,0.92464125
15,0.9360722
16,0.9445711
17,0.9520018
18,0.9593035
19,0.9484919
20,0.916548
21,0.88043547
22,0.8497388
23,0.8268416
24,0.81141245
25,0.79998815
26,0.7874736
27,0.77372605
28,0.7584591
29,0.7447251
30,0.7314648
31,0.7179165
32,0.7054028
33,0.6934208
34,0.6824568
35,0.67077774
36,0.659023
37,0.64777905
38,0.6361701
39,0.6249687
40,0.61337703
41,0.6019936
42,0.5908823
43,0.57937974
44,0.5679952
45,0.55668795
46,0.54505146
47,0.53381264
48,0.52215415
49,0.5111861
50,0.4994306
51,0.48818955
52,0.47795376
53,0.46728718
54,0.45700288
55,0.4449156
56,0.43197626
57,0.42065805
58,0.4108975
59,0.4014438
60,0.39219612
61,0.381024
62,0.36995754
63,0.36009392
64,0.35072765
65,0.3423174
66,0.33625412
67,0.32962033
68,0.32330877
69,0.31685874
70,0.3131395
71,0.31028685
72,0.32454643
73,0.36277765
74,0.40993443
75,0.4532261
76,0.4879944
77,0.51648206
78,0.5445574
79,0.57428473
80,0.611476
81,0.65214735
82,0.69219404
83,0.72933155
84,0.7684237
85,0.79840624
86,0.8095245
87,0.79623276
88,0.7701468
89,0.7579942
90,0.7661642
91,0.78627175
92,0.806641
93,0.8223918
94,0.8320561
95,0.8399572
96,0.8433893
97,0.8470805
98,0.8499786
99,0.8520352
100,0.8538568
101,0.85415703
102,0.8525786
103,0.84910816
104,0.8440431
105,0.83898747
106,0.8325
107,0.8268439
108,0.8208771
109,0.8134827
110,0.8055244
111,0.79689485
112,0.7880175
113,0.7793063
114,0.77268374
115,0.7652295
116,0.75697356
117,0.7476384
118,0.7383986
119,0.7286291
120,0.7192405
121,0.7109562
122,0.70228636
123,0.6954948
124,0.68778247
125,0.67991257
126,0.6700228
127,0.66033506
128,0.64911616
129,0.6378098
130,0.6287783
131,0.62070644
132,0.6124217
133,0.603565
134,0.5947435
135,0.5893521
136,0.5977412
137,0.6109313
138,0.6213811
139,0.6256089
140,0.62390643
141,0.61857903
142,0.6103533
143,0.6008834
144,0.5941715
145,0.5888504
146,0.5867154
147,0.58626217
148,0.5851479
149,0.5807455
150,0.57727575
151,0.5750508
152,0.5737441
153,0.5725157
154,0.57176536
155,0.56968474
156,0.56817216
157,0.5677623
158,0.5678299
159,0.56615937
160,0.5638028
161,0.55940396
162,0.5533959
163,0.54695356
164,0.5419703
165,0.53832835
166,0.5358416
167,0.5352951
168,0.53781235
169,0.5430584
170,0.54668
171,0.53537744
172,0.5185324
173,0.5082071
174,0.5052109
175,0.5089112
176,0.5164765
177,0.5249371
178,0.53367984
179,0.5436169
180,0.555852
181,0.5695604
182,0.58374256
183,0.59894836
184,0.61267674
185,0.62566835
186,0.63865185
187,0.6517235
188,0.6617551
189,0.6723954
190,0.6828491
191,0.6918906
192,0.6990952
193,0.7040911
194,0.70671105
195,0.70792156
196,0.709514
197,0.71142924
198,0.7103188
199,0.7090071
200,0.7082593
201,0.7075858
202,0.7055676
203,0.70353156
204,0.6994457
205,0.6938029
206,0.68766373
207,0.6814914
208,0.6744036
209,0.66689986
210,0.660299
211,0.65250444
212,0.6437976
213,0.6349525
214,0.6273857
215,0.6201791
216,0.6127872
217,0.6044089
218,0.5970331
219,0.5899973
220,0.582348
221,0.57471853
222,0.5657633
223,0.5577172
224,0.55031514
225,0.5432249
226,0.5361033
227,0.52716625
228,0.51822275
229,0.5098152
230,0.50013405
231,0.4916931
232,0.48342818
233,0.47592705
234,0.46678966
235,0.45819187
236,0.45064822
237,0.4433015
238,0.43485278
239,0.42590085
240,0.4157225
241,0.40517798
242,0.39526668
243,0.38602215
244,0.37627482
245,0.3681007
246,0.3592572
247,0.35062224
248,0.34305722
249,0.33596462
250,0.3284128
251,0.31979135
252,0.3108454
253,0.30235913
254,0.29260623
255,0.2843593
256,0.27611965
257,0.26694173
258,0.25837108
259,0.25002083
260,0.24310857
261,0.23747285
262,0.23492914
263,0.23436515
264,0.23566742
265,0.23786336
266,0.24197753
267,0.2486057
268,0.2575745
269,0.26851377
270,0.2823002
271,0.2989673
272,0.3164048
273,0.3343712
274,0.35232142
275,0.3714634
276,0.3918363
277,0.41410118
278,0.43625304
279,0.45828125
280,0.47890413
281,0.49810907
282,0.51760703
283,0.534123
284,0.550031
285,0.56411314
286,0.57619715
287,0.58847386
288,0.6005411
289,0.6104036
290,0.61953557
291,0.6276976
292,0.6345137
293,0.63935226
294,0.64067954
295,0.6407344
296,0.64135903
297,0.64191717
298,0.64208865
299,0.639822
300,0.637255
301,0.63353854
302,0.6276458
303,0.6230077
304,0.61835486
305,0.6129156
306,0.6082909
307,0.6022016
308,0.5963842
309,0.5910672
310,0.5870098
311,0.5813439
312,0.57644534
313,0.57127976
314,0.5647538
315,0.55848324
316,0.552399
317,0.5459818
318,0.5387208
319,0.5311423
320,0.52524394
321,0.5191592
322,0.5114138
323,0.50488466
324,0.49912083
325,0.49316084
326,0.48490772
327,0.47839457
328,0.47203353
329,0.46515977
330,0.45806766
331,0.45069844
332,0.44524446
333,0.43899882
334,0.4321525
335,0.4254842
336,0.41786453
337,0.41011682
338,0.4017019
339,0.39369673
340,0.38658735
341,0.3793334
342,0.37235257
343,0.36531064
344,0.3572322
345,0.348893
346,0.34133694
347,0.33470342
348,0.32842705
349,0.32250986
350,0.31651455
351,0.30953518
352,0.30148786
353,0.2946288
354,0.2884146
355,0.28184772
356,0.27664882
357,0.2737658
358,0.2723575
359,0.27330488
360,0.27524376
361,0.27957368
362,0.28525013
363,0.293078
364,0.30384746
365,0.31912285
366,0.3369548
367,0.35711923
368,0.37793717
369,0.40020022
370,0.42421997
371,0.44927087
372,0.47567102
373,0.5027893
374,0.5289834
375,0.55601084
376,0.5821013
377,0.6076244
378,0.6324237
379,0.6560536
380,0.67760587
381,0.69784796
382,0.7171148
383,0.7346383
384,0.7494494
385,0.76625353
386,0.7821873
387,0.7963244
388,0.80915415
389,0.81904817
390,0.82639396
391,0.8302169
392,0.83400625
393,0.8371208
394,0.8392639
395,0.8406966
396,0.84024245
397,0.8392243
398,0.83715326
399,0.83523184
400,0.83292663
401,0.83101904
402,0.8290681
403,0.826104
404,0.82257813
405,0.8170465
406,0.81164795
407,0.80604535
408,0.8024348
409,0.7985259
410,0.79281807
411,0.7866494
412,0.7786515
413,0.7699353
414,0.7613736
415,0.75410795
416,0.74744
417,0.7404966
418,0.73313206
419,0.7262186
420,0.71869844
421,0.710522
422,0.70309776
423,0.6953578
424,0.6870099
425,0.6791
426,0.670682
427,0.6630875
428,0.65629053
429,0.6491476
430,0.6429169
431,0.6361745
432,0.6313022
433,0.6277383
434,0.62193906
435,0.6176003
436,0.6123464
437,0.6055935
438,0.5993461
439,0.59358466
440,0.58779633
441,0.5806696
442,0.5734766
443,0.5650344
444,0.5570791
445,0.5496849
446,0.5414605
447,0.5347627
448,0.528197
449,0.5193974
450,0.5106502
451,0.5033467
452,0.49765733
453,0.49381742
454,0.4908261
455,0.49016485
456,0.4914622
457,0.4948361
458,0.50091106
459,0.5082717
460,0.5166541
461,0.530443
462,0.5469058
463,0.5626622
464,0.5793569
465,0.5968587
466,0.61409605
467,0.6323145
468,0.6521891
469,0.67348677
470,0.6957524
471,0.7162603
472,0.73445517
473,0.7519436
474,0.77070206
475,0.7894791
476,0.80721927
477,0.8220726
478,0.83444244
479,0.8458544
480,0.85681957
481,0.8670242
482,0.87564576
483,0.8835279
484,0.8895554
485,0.89453626
486,0.89819264
487,0.8994519
488,0.8999135
489,0.89956385
490,0.89786077
491,0.895278
492,0.89283746
493,0.88940305
494,0.88399726
495,0.87892246
496,0.87302005
497,0.86632556
498,0.8605777
499,0.853254
500,0.8464875
501,0.8394367
502,0.8328684
503,0.82533485
504,0.8190122
505,0.8118984
506,0.8052707
507,0.799312
508,0.79267204
509,0.78581226
510,0.7790846
511,0.7713034
512,0.764608
513,0.7569726
514,0.74914527
515,0.73994166
516,0.73128223
517,0.7222874
518,0.7142352
519,0.70456076
520,0.69488233
521,0.68707865
522,0.67815715
523,0.6689926
524,0.65983725
525,0.6496181
526,0.63943344
527,0.6307598
528,0.62228054
529,0.614345
530,0.60279816
531,0.5922874
532,0.58270985
533,0.5740014
534,0.5635488
535,0.5538277
536,0.5445368
537,0.5346985
538,0.52514255
539,0.5145012
540,0.5041492
541,0.49516705
542,0.48666444
543,0.47809303
544,0.46881795
545,0.45725396
546,0.44737542
547,0.4377295
548,0.42897597
549,0.4219241
550,0.41634005
551,0.4137221
552,0.41205266
553,0.4139131
554,0.41666985
555,0.41953215
556,0.42251948
557,0.42566308
558,0.42988718
559,0.43607098
560,0.44454023
561,0.45729652
562,0.47227764
563,0.4927756
564,0.5152566
565,0.5392362
566,0.55942225
567,0.57713974
568,0.58985174
569,0.60172796
570,0.6131542
