,Pred_Ent
0,0.6615417
1,0.6701967
2,0.6806104
3,0.6896301
4,0.7240231
5,0.7707312
6,0.8069965
7,0.82695043
8,0.838097
9,0.8581666
10,0.8722418
11,0.8901013
12,0.9074146
13,0.92421645
14,0.93652993
15,0.94676113
16,0.9530442
17,0.96013427
18,0.96727526
19,0.9348233
20,0.8797019
21,0.8472716
22,0.83273864
23,0.82061595
24,0.80825037
25,0.7955615
26,0.7794385
27,0.7663055
28,0.7509046
29,0.73871845
30,0.72604823
31,0.7116675
32,0.69977427
33,0.6882596
34,0.67819935
35,0.66494936
36,0.65302384
37,0.6427047
38,0.63109237
39,0.62030196
40,0.60803777
41,0.5970258
42,0.5863399
43,0.57441586
44,0.5629469
45,0.5519763
46,0.5403915
47,0.5296615
48,0.51765525
49,0.50732464
50,0.49466634
51,0.48422238
52,0.47525322
53,0.46378455
54,0.453718
55,0.43975824
56,0.42654222
57,0.41776583
58,0.40971318
59,0.399417
60,0.38951078
61,0.37581936
62,0.36513832
63,0.35753193
64,0.34852633
65,0.3406821
66,0.3375607
67,0.3297289
68,0.32208148
69,0.3136036
70,0.31023034
71,0.30435878
72,0.33268905
73,0.38923788
74,0.432689
75,0.4609365
76,0.48425046
77,0.5110913
78,0.5472139
79,0.5829638
80,0.62608814
81,0.66859514
82,0.706505
83,0.7349115
84,0.7747722
85,0.7954367
86,0.78957397
87,0.7593081
88,0.7333425
89,0.7492494
90,0.7801903
91,0.8024435
92,0.8129362
93,0.82034236
94,0.82733417
95,0.8368659
96,0.8376173
97,0.84144026
98,0.8448641
99,0.8485563
100,0.85122114
101,0.8509991
102,0.848593
103,0.8447383
104,0.840076
105,0.8357384
106,0.82883006
107,0.82453066
108,0.8188589
109,0.81100655
110,0.80376124
111,0.7942848
112,0.784984
113,0.7764606
114,0.7701726
115,0.7613382
116,0.7521752
117,0.74220806
118,0.73409194
119,0.7241376
120,0.7150161
121,0.70823175
122,0.69906545
123,0.6937518
124,0.68435717
125,0.6759123
126,0.6640971
127,0.6557222
128,0.64340675
129,0.63245636
130,0.62653977
131,0.61923015
132,0.6101728
133,0.5993726
134,0.5906454
135,0.58916444
136,0.6124283
137,0.626956
138,0.6283686
139,0.62423116
140,0.6191474
141,0.6144712
142,0.6054204
143,0.59448045
144,0.59034556
145,0.5870693
146,0.58768946
147,0.5873185
148,0.58383924
149,0.57559586
150,0.57456356
151,0.5750589
152,0.57399696
153,0.57190496
154,0.5708159
155,0.5672968
156,0.56684506
157,0.5677213
158,0.56753826
159,0.56339836
160,0.56050295
161,0.55545914
162,0.5496888
163,0.54394966
164,0.5398771
165,0.53537625
166,0.53045094
167,0.52803403
168,0.5294458
169,0.533662
170,0.5324245
171,0.50436443
172,0.48637715
173,0.4927262
174,0.50034374
175,0.5076341
176,0.51679313
177,0.5203989
178,0.52865314
179,0.54149365
180,0.5545034
181,0.5685119
182,0.5809803
183,0.5966603
184,0.6106729
185,0.62312454
186,0.63649255
187,0.64890987
188,0.655696
189,0.6681721
190,0.6797202
191,0.6881132
192,0.6938275
193,0.69659257
194,0.6989793
195,0.7007797
196,0.7053504
197,0.70735174
198,0.7029723
199,0.7015685
200,0.7031083
201,0.703335
202,0.7000986
203,0.6984627
204,0.6933432
205,0.688082
206,0.6842547
207,0.67830306
208,0.6704338
209,0.6626952
210,0.656237
211,0.64812464
212,0.6391558
213,0.6307457
214,0.6254372
215,0.619083
216,0.61071473
217,0.6010515
218,0.59506637
219,0.58884406
220,0.5802839
221,0.5723351
222,0.56187993
223,0.5554641
224,0.54914784
225,0.5418066
226,0.53385913
227,0.5229335
228,0.51464725
229,0.50727534
230,0.49647608
231,0.4892411
232,0.48141834
233,0.47481516
234,0.46336174
235,0.45555106
236,0.4493191
237,0.44209084
238,0.43212265
239,0.42238173
240,0.4116563
241,0.40160897
242,0.39306733
243,0.3844108
244,0.37382102
245,0.36736056
246,0.35777095
247,0.34901968
248,0.34241435
249,0.33551443
250,0.3267679
251,0.3166354
252,0.30784327
253,0.30028233
254,0.28953475
255,0.2828342
256,0.27445582
257,0.26452664
258,0.25758573
259,0.24971418
260,0.24323463
261,0.23674756
262,0.23433104
263,0.23068506
264,0.22888465
265,0.22755022
266,0.23121127
267,0.24045424
268,0.25083357
269,0.26235616
270,0.27757868
271,0.2965336
272,0.3137577
273,0.3329879
274,0.3517989
275,0.37221456
276,0.39354038
277,0.41676995
278,0.43736953
279,0.4579852
280,0.47705394
281,0.4948839
282,0.513463
283,0.5278288
284,0.54459643
285,0.5584275
286,0.5701577
287,0.5840251
288,0.5970376
289,0.6044285
290,0.6134464
291,0.6226836
292,0.6294769
293,0.6340658
294,0.6336191
295,0.6341978
296,0.6380232
297,0.6401749
298,0.64019436
299,0.63553387
300,0.6338846
301,0.6307893
302,0.6246818
303,0.6218775
304,0.61749417
305,0.61064494
306,0.60586345
307,0.5993012
308,0.594417
309,0.59050006
310,0.588279
311,0.58066195
312,0.57656515
313,0.5717775
314,0.5639527
315,0.5587408
316,0.5533515
317,0.5466624
318,0.538549
319,0.53113604
320,0.527252
321,0.5209326
322,0.510918
323,0.5056537
324,0.50110525
325,0.4948867
326,0.48380074
327,0.47944197
328,0.47373527
329,0.46668127
330,0.45923823
331,0.4514072
332,0.4484113
333,0.44121066
334,0.43330455
335,0.4265568
336,0.41846654
337,0.41098043
338,0.40210637
339,0.394878
340,0.38871387
341,0.38141102
342,0.3744224
343,0.36723801
344,0.35826585
345,0.35010388
346,0.34388256
347,0.3381309
348,0.3317258
349,0.32544285
350,0.31932744
351,0.31132892
352,0.30256835
353,0.29811183
354,0.29345995
355,0.28570935
356,0.280318
357,0.27750325
358,0.27423114
359,0.27304086
360,0.271308
361,0.27397683
362,0.27858722
363,0.28773013
364,0.3001914
365,0.31714836
366,0.33451888
367,0.35522085
368,0.37618843
369,0.3997759
370,0.42487243
371,0.4496809
372,0.47660032
373,0.50322646
374,0.52834654
375,0.5556894
376,0.5809124
377,0.6061338
378,0.63039386
379,0.6535828
380,0.67441523
381,0.6949664
382,0.715305
383,0.7328878
384,0.74536645
385,0.76456976
386,0.78092974
387,0.79435027
388,0.805824
389,0.8151433
390,0.8228173
391,0.8252751
392,0.8321677
393,0.8363442
394,0.83853096
395,0.840361
396,0.83843875
397,0.8393097
398,0.83783334
399,0.8366506
400,0.8340764
401,0.8333075
402,0.829966
403,0.82634765
404,0.8235945
405,0.816607
406,0.81250125
407,0.80733436
408,0.8053477
409,0.8003089
410,0.79166156
411,0.7847146
412,0.77514976
413,0.76628965
414,0.75834423
415,0.7528792
416,0.7465867
417,0.73926085
418,0.7312169
419,0.72503954
420,0.71734715
421,0.7085776
422,0.7021182
423,0.69428235
424,0.68614334
425,0.67954546
426,0.67082185
427,0.66414416
428,0.65833586
429,0.6504909
430,0.64483595
431,0.6374325
432,0.6344155
433,0.6318288
434,0.62277895
435,0.61984384
436,0.61398613
437,0.6057022
438,0.6003094
439,0.5954836
440,0.5892748
441,0.5804971
442,0.57360286
443,0.5639328
444,0.5572962
445,0.5508219
446,0.5412122
447,0.5361849
448,0.5299251
449,0.51919556
450,0.5116522
451,0.50622445
452,0.500625
453,0.49560142
454,0.4896792
455,0.48685834
456,0.48598367
457,0.48802477
458,0.49435395
459,0.50193363
460,0.5105055
461,0.5279772
462,0.5454241
463,0.5615866
464,0.57814425
465,0.5955157
466,0.6129666
467,0.631622
468,0.65307456
469,0.67454904
470,0.69703126
471,0.7155632
472,0.7337906
473,0.7497532
474,0.7713406
475,0.7899114
476,0.80653524
477,0.81929266
478,0.8302993
479,0.8432501
480,0.8551156
481,0.8647894
482,0.87320876
483,0.8810823
484,0.8855039
485,0.8921569
486,0.89542526
487,0.89618176
488,0.8981737
489,0.8983906
490,0.89661354
491,0.89389646
492,0.89289784
493,0.88930833
494,0.8839388
495,0.8795909
496,0.87305313
497,0.8660856
498,0.86005443
499,0.85155344
500,0.84627855
501,0.8397277
502,0.8340485
503,0.82559323
504,0.82039845
505,0.8122939
506,0.8059595
507,0.8007252
508,0.7926714
509,0.78530324
510,0.7787661
511,0.76977295
512,0.7644027
513,0.7561323
514,0.7481127
515,0.7377538
516,0.73065454
517,0.72197527
518,0.7152314
519,0.7037762
520,0.6939077
521,0.6875701
522,0.67796975
523,0.66839343
524,0.65913963
525,0.6480322
526,0.63812447
527,0.63179904
528,0.6231207
529,0.614968
530,0.5990109
531,0.5904723
532,0.5832021
533,0.57546127
534,0.5620319
535,0.5528854
536,0.5448594
537,0.53459245
538,0.52547777
539,0.51310676
540,0.5035317
541,0.4966945
542,0.48870018
543,0.47902277
544,0.46877328
545,0.45570406
546,0.44937316
547,0.44117683
548,0.4315973
549,0.42454445
550,0.41707867
551,0.41593218
552,0.41482815
553,0.4151959
554,0.4131979
555,0.41466957
556,0.42203796
557,0.42842653
558,0.42986503
559,0.43146074
560,0.4406335
561,0.45253646
562,0.47285894
563,0.49343798
564,0.51468146
565,0.53884554
566,0.5595938
567,0.5769704
568,0.58592516
569,0.595614
570,0.6098699
571,0.6256664
572,0.63396835
573,0.6390782
574,0.64757097
575,0.6596316
576,0.6685485
577,0.67643976
578,0.6817957
579,0.68716383
580,0.6900414
581,0.68954414
582,0.692467
583,0.6933661
584,0.6893658
585,0.6859673
586,0.68283135
587,0.6780349
588,0.6751094
589,0.67052424
590,0.6626839
591,0.65439063
592,0.6479774
593,0.64226156
594,0.63618547
595,0.62973356
596,0.622929
597,0.61689335
598,0.60735273
599,0.5956543
600,0.5891281
601,0.58427167
602,0.57664955
603,0.56601113
604,0.55636764
605,0.54639983
606,0.5368772
607,0.5261807
608,0.51966035
609,0.5127602
610,0.5052465
611,0.49376896
612,0.4857304
613,0.4799994
614,0.47346646
615,0.46269962
616,0.4562617
617,0.45182437
618,0.444574
619,0.43579614
620,0.43160453
621,0.42535284
622,0.41834182
623,0.41348636
624,0.40863213
625,0.4039781
626,0.39751413
627,0.3873998
628,0.38064358
629,0.3732651
630,0.36542287
631,0.3593503
632,0.35603648
633,0.35312626
634,0.34543958
635,0.33915335
636,0.33237806
637,0.32605094
638,0.31655425
639,0.30993053
640,0.303234
641,0.29447943
642,0.28312054
643,0.27280435
644,0.26079366
645,0.25256065
646,0.2464146
647,0.24274841
648,0.23765142
649,0.23295419
650,0.22674581
651,0.2193357
652,0.21671112
653,0.21371956
654,0.21356665
655,0.2089576
656,0.20691748
657,0.20530847
658,0.20414117
659,0.20045024
660,0.1980882
661,0.19814944
662,0.19596142
663,0.19421425
664,0.19366856
665,0.18769033
666,0.1830393
667,0.18567242
668,0.18812178
669,0.18389878
670,0.18246233
671,0.18215542
672,0.18237707
673,0.18236463
674,0.1804058
675,0.17853288
676,0.17680945
677,0.17585866
678,0.17095736
679,0.1677689
680,0.16608438
681,0.16654678
682,0.16429266
683,0.15873976
684,0.1572347
685,0.15581693
686,0.15288469
687,0.14854969
688,0.14659849
689,0.14224783
690,0.13725318
691,0.13099729
692,0.122364044
693,0.11799246
694,0.11215739
695,0.10717979
696,0.10494827
697,0.1040217
698,0.09686563
699,0.08902241
700,0.08473691
701,0.081631154
702,0.08079666
703,0.07930687
704,0.079644576
705,0.07672407
706,0.07369813
707,0.0708935
708,0.067485765
709,0.06479754
710,0.058826648
711,0.05623575
712,0.05488354
713,0.056363557
714,0.056703415
715,0.054382876
716,0.053557992
717,0.054493833
718,0.053522684
719,0.055784978
720,0.05921116
721,0.059090022
722,0.057547703
723,0.058523614
724,0.061615314
725,0.060710836
726,0.05921067
727,0.057322215
728,0.056105692
729,0.05519285
730,0.05680845
731,0.05382889
732,0.052273497
733,0.053671513
734,0.053423047
735,0.05232761
736,0.050494157
737,0.047341254
738,0.046366595
739,0.044652704
740,0.043998588
741,0.040644147
742,0.040539704
743,0.038912386
744,0.03737598
745,0.036353827
746,0.036527596
747,0.037419725
748,0.037964784
749,0.040639505
750,0.05003216
751,0.06416955
752,0.07574847
753,0.08484377
754,0.09424662
755,0.110388994
756,0.13013995
757,0.15271749
758,0.17754464
759,0.20051599
760,0.22722323
761,0.33146292
762,0.381686
763,0.37713644
764,0.4034082
765,0.40299016
766,0.39828107
767,0.4021927
768,0.411658
769,0.42011952
770,0.42911154
771,0.43316904
772,0.43836325
773,0.44260925
774,0.4608428
775,0.48303008
776,0.49311274
777,0.4892236
778,0.46380812
779,0.44830844
780,0.44034222
781,0.43780786
782,0.43290144
783,0.42596146
784,0.41722983
785,0.40578958
786,0.39889452
787,0.39036375
788,0.38323757
789,0.3793336
790,0.37286016
791,0.36383533
792,0.35442567
793,0.3463167
794,0.33877146
795,0.32932723
796,0.31824857
797,0.31015903
798,0.30156386
799,0.29365996
800,0.2849159
801,0.278185
802,0.26959807
803,0.25571793
804,0.24396728
805,0.23271936
806,0.22379485
807,0.21292867
808,0.20298599
809,0.1954919
810,0.18689738
811,0.17985965
812,0.17112024
813,0.16337217
814,0.15686445
815,0.1518142
816,0.14333105
817,0.13599779
818,0.12709424
819,0.1199487
820,0.11022365
821,0.10283767
822,0.09533101
823,0.087300286
824,0.080054775
825,0.07104133
826,0.06316882
827,0.055800255
828,0.04926571
829,0.040306263
830,0.03314373
831,0.026181286
832,0.01679684
833,0.009021748
834,0.0019756593
835,-0.0033380054
836,-0.0062315613
837,-0.0054153614
838,-0.0031952597
839,0.000585258
840,0.005411558
841,0.012559395
842,0.023861535
843,0.039652053
844,0.058930136
845,0.0775049
846,0.09582882
847,0.11724484
848,0.13936797
849,0.16516271
850,0.1898386
851,0.21722324
852,0.24380572
853,0.26915154
854,0.29411554
855,0.3180003
856,0.34046704
857,0.36272588
858,0.38065585
859,0.40548655
860,0.4269476
861,0.44722643
862,0.45632243
863,0.46372554
864,0.47082585
865,0.48105192
866,0.48912486
867,0.49488983
868,0.5007097
869,0.50516397
870,0.5106434
871,0.51353383
872,0.5140352
873,0.523628
874,0.5278194
875,0.5229174
876,0.5180323
877,0.5144579
878,0.5101098
879,0.50700766
880,0.50501645
881,0.50093365
882,0.4947096
883,0.4879605
884,0.48238686
885,0.47714895
886,0.46917918
887,0.46457496
888,0.46009484
889,0.45453185
890,0.44926322
891,0.43994856
892,0.43450275
893,0.42862174
894,0.42243704
895,0.4167785
896,0.40899637
897,0.40110058
898,0.39384225
899,0.38568166
900,0.3773381
901,0.37105238
902,0.36436197
903,0.35744807
904,0.350421
905,0.34274602
906,0.33634275
907,0.32886642
908,0.32093003
909,0.31305948
910,0.3060724
911,0.29710808
912,0.28914392
913,0.28169757
914,0.2766613
915,0.272511
916,0.2654002
917,0.25732195
918,0.24993837
919,0.24566393
920,0.23895527
921,0.23189259
922,0.22316074
923,0.21554896
924,0.21008514
925,0.20194781
926,0.1963003
927,0.18857592
928,0.18041211
929,0.17464688
930,0.16898304
931,0.16513248
932,0.16122915
933,0.15711372
934,0.15686177
935,0.15921132
936,0.16068332
937,0.16474335
938,0.17118959
939,0.18296522
940,0.19919425
941,0.20897509
942,0.22292644
943,0.24483636
944,0.26694018
945,0.28897995
946,0.3105687
947,0.33589658
948,0.36122447
949,0.38253543
950,0.4024705
951,0.42386028
952,0.44280395
953,0.46319738
954,0.48191753
955,0.4990947
956,0.5163497
957,0.52902055
958,0.540218
959,0.5522505
960,0.565148
961,0.5740867
962,0.5798338
963,0.5884484
964,0.5977325
965,0.6027677
966,0.6038617
967,0.60509247
968,0.60538703
969,0.60886866
970,0.60949445
971,0.608758
972,0.60517716
973,0.60480773
974,0.60144216
975,0.597287
976,0.59029335
977,0.58749175
978,0.58154434
979,0.57712203
980,0.5726834
981,0.5640256
982,0.56064737
983,0.5564714
984,0.5494667
985,0.5470852
986,0.54208297
987,0.53598064
988,0.52855027
989,0.5211544
990,0.51938176
991,0.51383454
992,0.5085922
993,0.50274515
994,0.49457142
995,0.48815483
996,0.4813099
997,0.47535142
998,0.4677312
999,0.46280113
1000,0.45745316
1001,0.45286012
1002,0.44511408
1003,0.43972737
1004,0.4331856
1005,0.4264566
1006,0.41715813
1007,0.41236508
1008,0.40596545
1009,0.3990449
1010,0.39157793
1011,0.3866806
1012,0.37883112
1013,0.37026945
1014,0.3624618
1015,0.35456613
1016,0.34833997
1017,0.3419836
1018,0.33297506
1019,0.32896522
1020,0.32187036
1021,0.31451082
1022,0.30631423
1023,0.29552785
1024,0.28968844
1025,0.28301585
1026,0.2751813
1027,0.27007988
1028,0.2662146
1029,0.26394442
1030,0.26139385
1031,0.26139653
1032,0.25870073
1033,0.26224425
1034,0.26673833
1035,0.27527976
1036,0.29001942
1037,0.30412388
1038,0.31938392
1039,0.33856457
1040,0.35873413
1041,0.3778953
1042,0.3979953
1043,0.41917336
1044,0.44029513
1045,0.4624003
1046,0.48415008
1047,0.50407004
1048,0.52314144
1049,0.54174364
1050,0.54782206
1051,0.5486492
1052,0.55978066
1053,0.573199
1054,0.5846368
1055,0.59751266
1056,0.59899974
1057,0.5950139
1058,0.59537464
1059,0.5998982
1060,0.60247964
1061,0.6058244
1062,0.61172396
1063,0.6142682
1064,0.6083773
1065,0.60892737
1066,0.61043674
1067,0.6114475
1068,0.61020195
1069,0.6039605
1070,0.5999294
1071,0.5990321
1072,0.59588814
1073,0.5915824
1074,0.5873555
1075,0.5796347
1076,0.57376736
1077,0.56930363
1078,0.5645188
1079,0.5593396
1080,0.55284005
1081,0.54842556
1082,0.5421497
1083,0.53509974
1084,0.53277147
1085,0.5273774
1086,0.5204019
1087,0.5128986
1088,0.5036914
1089,0.49951667
1090,0.4937069
1091,0.4836482
1092,0.48002306
1093,0.47577477
1094,0.4694609
1095,0.4621733
1096,0.45496675
1097,0.44643462
1098,0.4411724
1099,0.43558547
1100,0.42959586
1101,0.42226082
1102,0.41442814
1103,0.40701002
1104,0.39977115
1105,0.39095128
1106,0.38284433
1107,0.3754119
1108,0.36806393
1109,0.35987872
1110,0.35497853
1111,0.34792337
1112,0.3403405
1113,0.3309269
1114,0.32451382
1115,0.31987593
1116,0.31350863
1117,0.3033245
1118,0.2965663
1119,0.2877372
1120,0.282415
1121,0.27380744
1122,0.2692239
1123,0.26602075
1124,0.25990903
1125,0.25893298
1126,0.2562965
1127,0.2540424
1128,0.25279108
1129,0.25770593
1130,0.26604146
1131,0.27737388
1132,0.2918933
1133,0.30742657
1134,0.32576618
1135,0.34434316
1136,0.3652478
1137,0.3881859
1138,0.41136423
1139,0.43500048
1140,0.4567722
1141,0.47981405
1142,0.5047609
1143,0.5257228
1144,0.5508744
1145,0.56980276
1146,0.5899804
1147,0.60695136
1148,0.6231864
1149,0.63791245
1150,0.6524084
1151,0.6647132
1152,0.6752896
1153,0.6878196
1154,0.69621813
1155,0.7004171
1156,0.7080172
1157,0.7113466
1158,0.7145674
1159,0.71866214
1160,0.721114
1161,0.72065073
1162,0.720439
1163,0.7204873
1164,0.7174446
1165,0.71315926
1166,0.7108815
1167,0.70679265
1168,0.7007888
1169,0.69485676
1170,0.69032735
1171,0.6831991
1172,0.6781714
1173,0.66818446
1174,0.6618504
1175,0.6561529
1176,0.6465299
1177,0.64068174
1178,0.63453233
1179,0.6261335
1180,0.62095
1181,0.61508775
1182,0.6047374
1183,0.5989452
1184,0.58978546
1185,0.5826572
1186,0.57453454
1187,0.5609082
1188,0.5512665
1189,0.54305476
1190,0.53521585
1191,0.52751446
1192,0.5188018
1193,0.50691974
1194,0.49857387
1195,0.48950294
1196,0.47924778
1197,0.4722073
1198,0.4626319
1199,0.45279267
1200,0.4467436
1201,0.43719667
1202,0.4263095
1203,0.41886714
1204,0.41217926
1205,0.40218452
1206,0.39195898
1207,0.38155958
1208,0.37205917
1209,0.36651063
1210,0.36031643
1211,0.3541837
1212,0.34646422
1213,0.33873603
1214,0.32904458
1215,0.32489562
1216,0.31858522
1217,0.31001037
1218,0.29976308
1219,0.2918657
1220,0.2873204
1221,0.28543112
1222,0.28044224
1223,0.27895445
1224,0.27871498
1225,0.28262034
1226,0.29128683
1227,0.3028632
1228,0.31700653
1229,0.33182347
1230,0.34789565
1231,0.3669403
1232,0.38827598
1233,0.41048625
1234,0.43476266
1235,0.4683576
1236,0.50245893
1237,0.532759
1238,0.557814
1239,0.5863836
1240,0.6140506
1241,0.64211357
1242,0.66826046
1243,0.6912992
1244,0.71127105
1245,0.72768575
1246,0.7430301
1247,0.7548981
1248,0.7664907
1249,0.77459943
1250,0.78569674
1251,0.7926296
1252,0.7986265
1253,0.8035531
1254,0.80665314
1255,0.8084354
1256,0.80818075
1257,0.8077724
1258,0.8080514
1259,0.80516917
1260,0.8018541
1261,0.79782647
1262,0.7914806
1263,0.7854999
1264,0.77997535
1265,0.772714
1266,0.7642364
1267,0.7563355
1268,0.750062
1269,0.741569
1270,0.7355234
1271,0.7296687
1272,0.7223868
1273,0.71546346
1274,0.7081549
1275,0.6997707
1276,0.6947111
1277,0.68616676
1278,0.67985713
1279,0.6725079
1280,0.6621226
1281,0.6523375
1282,0.64468426
1283,0.6370386
1284,0.6262681
1285,0.6189825
1286,0.6071603
1287,0.5990804
1288,0.59216493
1289,0.5828763
1290,0.5754702
1291,0.5651187
1292,0.5555215
1293,0.54819375
1294,0.54042983
1295,0.53117263
1296,0.5241832
1297,0.51623535
1298,0.5069235
1299,0.498861
1300,0.49062252
1301,0.47911984
1302,0.4716941
1303,0.46456066
1304,0.45519108
1305,0.44845915
1306,0.44114155
1307,0.4330651
1308,0.4240769
1309,0.41411293
1310,0.40571675
1311,0.39775014
1312,0.38692158
1313,0.37699276
1314,0.36992976
1315,0.36834887
1316,0.3632731
1317,0.35756347
1318,0.35648167
1319,0.3562627
1320,0.35390213
1321,0.35681233
1322,0.36159718
1323,0.371947
1324,0.3822497
1325,0.3976842
1326,0.414112
1327,0.43202692
1328,0.4505929
1329,0.4713271
1330,0.48840255
1331,0.5076416
1332,0.5266654
1333,0.5463666
1334,0.5688344
1335,0.58927953
1336,0.6114351
1337,0.62580305
1338,0.64291936
1339,0.6583656
1340,0.66734076
1341,0.6801544
1342,0.6891751
1343,0.69741064
1344,0.70748377
1345,0.71236825
1346,0.7169614
1347,0.72578895
1348,0.73140055
1349,0.73262006
1350,0.7322995
1351,0.7347431
1352,0.7365716
1353,0.73555756
1354,0.7332471
1355,0.7298427
1356,0.72248405
1357,0.71179247
1358,0.70546407
1359,0.69833386
1360,0.68834156
1361,0.6816326
1362,0.6738991
1363,0.6631009
1364,0.6519412
1365,0.6391111
1366,0.62631845
1367,0.618604
1368,0.6096931
1369,0.5966642
1370,0.5877439
1371,0.5796645
1372,0.5681868
1373,0.5589056
1374,0.5502929
1375,0.54385483
1376,0.53533876
1377,0.5227966
1378,0.51385754
1379,0.5035123
1380,0.49303338
1381,0.48368832
1382,0.4741267
1383,0.4622734
1384,0.45523325
1385,0.4469311
1386,0.4343346
1387,0.42738205
1388,0.41895604
1389,0.40578145
1390,0.3988927
1391,0.3913637
1392,0.3800455
1393,0.36851823
1394,0.36175182
1395,0.35183704
1396,0.34229594
1397,0.33315504
1398,0.32613224
1399,0.31898502
1400,0.31129584
1401,0.30651408
1402,0.2978591
1403,0.28717357
1404,0.27989724
1405,0.27302128
1406,0.26801562
1407,0.26130447
1408,0.25256258
1409,0.24659488
1410,0.2384901
1411,0.23655342
1412,0.23361334
1413,0.23572893
1414,0.23581988
1415,0.23847245
1416,0.24289492
1417,0.2513388
1418,0.2630692
1419,0.2790362
1420,0.29887232
1421,0.31927598
1422,0.3412025
1423,0.36831886
1424,0.39401174
1425,0.4188841
1426,0.44373274
1427,0.46837232
1428,0.49161154
1429,0.514901
1430,0.5409687
1431,0.5673236
1432,0.5869471
1433,0.60686463
1434,0.621178
1435,0.63718945
1436,0.6520327
1437,0.66299105
1438,0.6735674
1439,0.68964267
1440,0.7049578
1441,0.73154753
1442,0.7649465
1443,0.78543717
1444,0.78484917
1445,0.7753249
1446,0.77090245
1447,0.7723113
1448,0.77745956
1449,0.7887944
1450,0.7924811
1451,0.79149014
1452,0.78798467
1453,0.78556836
1454,0.7832356
1455,0.77599657
1456,0.77167636
1457,0.766605
1458,0.76249707
1459,0.7559063
1460,0.7505988
1461,0.74228066
1462,0.7364127
1463,0.7300452
1464,0.72226334
1465,0.7171324
1466,0.711539
1467,0.70546615
1468,0.69908184
1469,0.6930315
1470,0.68704444
1471,0.67971545
1472,0.6716429
1473,0.6613834
1474,0.65392786
1475,0.64292955
1476,0.6359754
1477,0.6286186
1478,0.61677635
1479,0.60527617
1480,0.5985727
1481,0.5916173
1482,0.5839009
1483,0.5725187
1484,0.5627511
1485,0.5545673
1486,0.5447476
1487,0.5354291
1488,0.5293602
1489,0.51832384
1490,0.50953835
1491,0.5014955
1492,0.49588117
1493,0.48684084
1494,0.4789829
1495,0.47114688
1496,0.4656337
1497,0.45724487
1498,0.45029727
1499,0.44266084
1500,0.4338675
1501,0.42314306
1502,0.41569725
1503,0.40569234
1504,0.39884838
1505,0.39272812
1506,0.38850895
1507,0.37863612
1508,0.3730251
1509,0.37253648
1510,0.3713401
1511,0.36948273
1512,0.36942303
1513,0.37075162
1514,0.37802652
1515,0.38960758
1516,0.40302557
1517,0.41890183
1518,0.4356889
1519,0.45667812
1520,0.47756666
1521,0.4995759
1522,0.51917833
1523,0.5452069
1524,0.5688064
1525,0.5908196
1526,0.61381334
1527,0.6303377
1528,0.65279573
1529,0.6725131
1530,0.69441074
1531,0.7108716
1532,0.7272912
1533,0.74174476
1534,0.75346506
1535,0.77009994
1536,0.78372973
1537,0.79558104
1538,0.80545515
