,Pred_Ent
0,0.063812986
1,0.0780869
2,0.097201586
3,0.09922302
4,0.09533173
5,0.09192142
6,0.09810527
7,0.102043256
8,0.10099277
9,0.10266319
10,0.1069583
11,0.110553056
12,0.11866546
13,0.12487702
14,0.13182488
15,0.13255501
16,0.12984908
17,0.12673292
18,0.12987085
19,0.13666578
20,0.132397
21,0.13583633
22,0.13404307
23,0.1398892
24,0.13787837
25,0.13602611
26,0.1401543
27,0.13792379
28,0.13355102
29,0.13437217
30,0.12652752
31,0.12120575
32,0.12660474
33,0.12662172
34,0.121549785
35,0.112717986
36,0.11851007
37,0.1189298
38,0.119954005
39,0.12479733
40,0.121460125
41,0.12032552
42,0.11622183
43,0.11318569
44,0.11238174
45,0.11237869
46,0.11743744
47,0.12252849
48,0.121903926
49,0.12037523
50,0.1236925
51,0.12292971
52,0.12528336
53,0.12969996
54,0.12352157
55,0.11354546
56,0.11011599
57,0.11219065
58,0.115274355
59,0.1157542
60,0.113841996
61,0.11114845
62,0.10749833
63,0.108749315
64,0.109409675
65,0.109487385
66,0.10509887
67,0.107089594
68,0.10732639
69,0.10785666
70,0.10622196
71,0.11108707
72,0.10863362
73,0.102194235
74,0.10060896
75,0.09104484
76,0.07329492
77,0.03982951
78,0.02733966
79,0.04136656
80,0.039812613
81,0.024661768
82,0.013010349
83,0.012563817
84,0.014004212
85,0.016980242
86,0.015914459
87,0.01776347
88,0.019846965
89,0.014621247
90,0.012464888
91,0.010374326
92,0.010144755
93,0.006022103
94,0.0019011609
95,0.00077398866
96,0.0058186166
97,0.011358488
98,0.012381826
99,0.013885267
100,0.01775026
101,0.019191392
102,0.017947942
103,0.012069855
104,0.015424635
105,0.02028494
106,0.028508123
107,0.02626051
108,0.0288671
109,0.029428001
110,0.031036187
111,0.033938337
112,0.03611475
113,0.03570534
114,0.03229386
115,0.031793486
116,0.031380255
117,0.034966696
118,0.03856733
119,0.035514604
120,0.03788923
121,0.03968947
122,0.036689375
123,0.0335836
124,0.03294378
125,0.03430571
126,0.034269635
127,0.036226075
128,0.034825463
129,0.034342643
130,0.03246225
131,0.036608595
132,0.04022983
133,0.052196372
134,0.05802392
135,0.054189492
136,0.053412754
137,0.051061545
138,0.052904014
139,0.053751413
140,0.055918206
141,0.05883107
142,0.059133675
143,0.062427577
144,0.060477268
145,0.059603002
146,0.059037153
147,0.05998868
148,0.061509293
149,0.06422041
150,0.06169493
151,0.06026819
152,0.057015214
153,0.058554877
154,0.05763809
155,0.056486968
156,0.05452979
157,0.05097385
158,0.05263706
159,0.055289205
160,0.057896126
161,0.05835036
162,0.06503695
163,0.07615888
164,0.08435492
165,0.08851595
166,0.08623862
167,0.0814493
168,0.08038998
169,0.08283295
170,0.07919535
171,0.0769683
172,0.07425159
173,0.07300712
174,0.071436495
175,0.07163802
176,0.073091716
177,0.07279688
178,0.07118742
179,0.071475536
180,0.06955482
181,0.06964739
182,0.06744355
183,0.06802669
184,0.068086565
185,0.067654744
186,0.06993461
187,0.07151787
188,0.07191154
189,0.07135376
190,0.07257208
191,0.07583323
192,0.07708426
193,0.075657785
194,0.07462081
195,0.07886203
196,0.075232446
197,0.07858294
198,0.074284166
199,0.073974416
200,0.067744955
201,0.06856169
202,0.06630653
203,0.06966132
204,0.06733307
205,0.068547055
206,0.07063587
207,0.0703986
208,0.069192335
209,0.06872153
210,0.07113685
211,0.070133746
212,0.06812489
213,0.06617299
214,0.06400086
215,0.063246205
216,0.06309995
217,0.0668536
218,0.06717804
219,0.06746663
220,0.068182945
221,0.066932514
222,0.06313372
223,0.052483987
224,0.042527344
225,0.032921087
226,0.033052485
227,0.0274956
228,0.026469667
229,0.027124625
230,0.028582152
231,0.030874375
232,0.029937182
233,0.029870782
234,0.029717732
235,0.027219981
236,0.02823772
237,0.030139264
238,0.028719548
239,0.03270639
240,0.033967007
241,0.03887896
242,0.040863704
243,0.04181738
244,0.04217964
245,0.04095048
246,0.040284824
247,0.040105518
248,0.04224987
249,0.044410545
250,0.044798914
251,0.042125326
252,0.040444043
253,0.03711732
254,0.037046824
255,0.03678557
256,0.03642867
257,0.034119066
258,0.03678179
259,0.03926632
260,0.039105166
261,0.0369124
262,0.03741091
263,0.03897729
264,0.04203553
265,0.045436267
266,0.047363814
267,0.04435729
268,0.034198303
269,0.029883388
270,0.029605035
271,0.028944526
272,0.024234619
273,0.024542008
274,0.025258541
275,0.023189932
276,0.026686858
277,0.026103094
278,0.026558504
279,0.027306061
280,0.026757881
281,0.029976215
282,0.030402083
283,0.03304177
284,0.034309674
285,0.052528802
286,0.056463543
287,0.053438563
288,0.06469159
289,0.068682194
290,0.08020927
291,0.07618289
292,0.07734859
293,0.08670977
294,0.08855273
295,0.08385469
296,0.080855146
297,0.07911539
298,0.082406
299,0.08785553
300,0.087410405
301,0.085145086
302,0.08690436
303,0.086331174
304,0.0876331
305,0.094829336
306,0.08800784
307,0.084775835
308,0.08343309
309,0.07828832
310,0.07664302
311,0.080069765
312,0.07956375
313,0.07457395
314,0.07346095
315,0.07358074
316,0.07670911
317,0.077047914
318,0.07833511
319,0.08039677
320,0.077895194
321,0.07237165
322,0.06960021
323,0.07461347
324,0.0791232
325,0.07942425
326,0.08011523
327,0.08160329
328,0.07871437
329,0.07970369
330,0.08109015
331,0.08472316
332,0.08290905
333,0.08364816
334,0.08425322
335,0.079952404
336,0.077076465
337,0.07799503
338,0.07733241
339,0.071828365
340,0.07209106
341,0.06485762
342,0.06252979
343,0.06500751
344,0.06831141
345,0.0728841
346,0.06914525
