,Pred_Ent
0,0.882558
1,0.8979334
2,0.91531706
3,0.9274265
4,0.94039005
5,0.9487073
6,0.95750755
7,0.96305525
8,0.9587801
9,0.9455875
10,0.9275808
11,0.90725446
12,0.885485
13,0.86185884
14,0.8402077
15,0.8159286
16,0.79374546
17,0.770663
18,0.7488385
19,0.72702706
20,0.70576674
21,0.68830407
22,0.6752681
23,0.66669935
24,0.6599559
25,0.65644056
26,0.651265
27,0.63823867
28,0.6221708
29,0.61000127
30,0.59834963
31,0.58709836
32,0.5758046
33,0.56403095
34,0.55250776
35,0.5401584
36,0.52854455
37,0.5163422
38,0.50438094
39,0.49226052
40,0.4806311
41,0.47011858
42,0.45851055
43,0.44790322
44,0.4361667
45,0.42379427
46,0.41280654
47,0.40227535
48,0.39221677
49,0.3825401
50,0.3715323
51,0.36118022
52,0.3518068
53,0.34227931
54,0.33369902
55,0.32752177
56,0.32094008
57,0.31380215
58,0.30857617
59,0.30598173
60,0.30251887
61,0.31168818
62,0.34277976
63,0.38680673
64,0.4360844
65,0.48475268
66,0.5261791
67,0.5559483
68,0.57605386
69,0.6031714
70,0.6426217
71,0.6876454
72,0.7251806
73,0.772566
74,0.7968571
75,0.8126359
76,0.8142602
77,0.81001365
78,0.8073058
79,0.8074621
80,0.80984354
81,0.81248724
82,0.81647503
83,0.82057405
84,0.8267604
85,0.8293115
86,0.8333607
87,0.83485836
88,0.83762264
89,0.8389892
90,0.84022003
91,0.84014
92,0.83995235
93,0.83982456
94,0.8361691
95,0.83069897
96,0.8240987
97,0.8182761
98,0.8115274
99,0.8048674
100,0.79684174
101,0.78855723
102,0.7800699
103,0.77169853
104,0.7630974
105,0.7544038
106,0.7454894
107,0.73682857
108,0.7277726
109,0.7187169
110,0.71026987
111,0.7014084
112,0.69393915
113,0.68560123
114,0.67782646
115,0.66882014
116,0.65990865
117,0.64983314
118,0.6391318
119,0.62980336
120,0.620355
121,0.611441
122,0.60169417
123,0.5924075
124,0.58546096
125,0.5887188
126,0.5954214
127,0.6031943
128,0.61106664
129,0.6193083
130,0.62397283
131,0.6284311
132,0.6243551
133,0.62056315
134,0.6110464
135,0.60550165
136,0.59628993
137,0.5873404
138,0.57953805
139,0.57234836
140,0.56688446
141,0.56231797
142,0.5595229
143,0.5573311
144,0.55764794
145,0.5594101
146,0.5616026
147,0.5639908
148,0.56485564
149,0.565141
150,0.56058055
151,0.5535127
152,0.54791063
153,0.53977054
154,0.5356766
155,0.53133315
156,0.52658474
157,0.5212884
158,0.5203319
159,0.5195376
160,0.5114351
161,0.50128895
162,0.49435094
163,0.48891145
164,0.48757634
165,0.4904254
166,0.49575263
167,0.5043945
168,0.51985407
169,0.53701395
170,0.5559923
171,0.57473904
172,0.59574366
173,0.61416006
174,0.6294651
175,0.6449047
176,0.6606645
177,0.6753574
178,0.68379
179,0.6730813
180,0.67871445
181,0.6862242
182,0.69221324
183,0.6968314
184,0.69987756
185,0.70275855
186,0.7041171
187,0.7034243
188,0.70232046
189,0.70088154
190,0.6990613
191,0.6964203
192,0.69365555
193,0.68991184
194,0.68561435
195,0.6811582
196,0.67573595
197,0.66966015
198,0.6629951
199,0.65605086
200,0.6485307
201,0.6403551
202,0.6318063
203,0.6238342
204,0.6161013
205,0.6080866
206,0.5997762
207,0.59232
208,0.58515733
209,0.57756364
210,0.5704574
211,0.56213516
212,0.55458856
213,0.54744357
214,0.54027027
215,0.5330012
216,0.52439946
217,0.5160777
218,0.5076469
219,0.49802732
220,0.48923767
221,0.4806324
222,0.47258103
223,0.4633259
224,0.4545975
225,0.44699365
226,0.43935364
227,0.43105242
228,0.42248675
229,0.41291696
230,0.40337604
231,0.39411268
232,0.38454697
233,0.37434784
234,0.36483663
235,0.3551624
236,0.34599522
237,0.337534
238,0.32974926
239,0.32216087
240,0.3143314
241,0.3064496
242,0.29874757
243,0.29066607
244,0.2834425
245,0.27556738
246,0.26657292
247,0.25874567
248,0.24983415
249,0.24141593
250,0.23482029
251,0.23013015
252,0.22567321
253,0.22437035
254,0.2226908
255,0.2246129
256,0.231379
257,0.24181218
258,0.25545552
259,0.27241892
260,0.29335415
261,0.31515566
262,0.33335134
263,0.3524522
264,0.3648835
265,0.37760308
266,0.4019055
267,0.4267051
268,0.45239788
269,0.4741581
270,0.49515826
271,0.51538914
272,0.5312927
273,0.5496601
274,0.5629258
275,0.57636786
276,0.58910924
277,0.6007849
278,0.609287
279,0.61853874
280,0.625934
281,0.6324601
282,0.63727564
283,0.63956314
284,0.641103
285,0.6420787
286,0.6421027
287,0.6412435
288,0.6385889
289,0.635843
290,0.6318697
291,0.62692297
292,0.6219576
293,0.6162334
294,0.60985094
295,0.6035287
296,0.59677607
297,0.5901439
298,0.5839102
299,0.5786189
300,0.5728762
301,0.56798434
302,0.56303585
303,0.5574717
304,0.55267036
305,0.5475448
306,0.54216367
307,0.5355811
308,0.529206
309,0.52315766
310,0.5164166
311,0.5091159
312,0.5021991
313,0.49542448
314,0.4889917
315,0.48108718
316,0.4748918
317,0.4686665
318,0.46223906
319,0.45552117
320,0.44881344
321,0.4432134
322,0.43667266
323,0.43045595
324,0.4240228
325,0.4167004
326,0.40916643
327,0.40128967
328,0.39371166
329,0.38578546
330,0.37769583
331,0.37059626
332,0.36334807
333,0.35501218
334,0.3465091
335,0.33942053
336,0.33228213
337,0.32544985
338,0.31910276
339,0.31336325
340,0.3079063
341,0.30085066
342,0.2951713
343,0.29003608
344,0.28305528
345,0.27648336
346,0.2727702
347,0.27039632
348,0.26915982
349,0.26805377
350,0.26990396
351,0.2740555
352,0.2808945
353,0.292511
354,0.31002548
355,0.33055693
356,0.3528846
357,0.3753305
358,0.39634508
359,0.41306487
360,0.43178105
361,0.46065322
362,0.4905304
363,0.5196996
364,0.5498781
365,0.5758981
366,0.60356903
367,0.6280476
368,0.6525872
369,0.6740287
370,0.6956294
371,0.7153711
372,0.7333759
373,0.7479561
374,0.76583284
375,0.779025
376,0.7932878
377,0.80428857
378,0.81492364
379,0.82298154
380,0.8287477
381,0.83440185
382,0.8376932
383,0.8402735
384,0.84133005
385,0.84098333
386,0.840318
387,0.83840024
388,0.8361397
389,0.8331233
390,0.83025146
391,0.82653487
392,0.8226799
393,0.8187717
394,0.81400526
395,0.8092863
396,0.80431813
397,0.7998848
398,0.7952013
399,0.78955156
400,0.7838986
401,0.77722126
402,0.7698414
403,0.7621811
404,0.7545261
405,0.74704725
406,0.7394764
407,0.73193604
408,0.72474366
409,0.7173607
410,0.70962125
411,0.702447
412,0.69486964
413,0.68737996
414,0.6801154
415,0.6726052
416,0.6653317
417,0.6581393
418,0.65067697
419,0.6437908
420,0.6365156
421,0.63073456
422,0.6260497
423,0.620358
424,0.6161345
425,0.61131495
426,0.6057502
427,0.6006844
428,0.59521115
429,0.58931184
430,0.5827241
431,0.5756504
432,0.56730044
433,0.55928427
434,0.5508116
435,0.5418358
436,0.5338977
437,0.5259075
438,0.5172021
439,0.5091664
440,0.5012365
441,0.49346787
442,0.48835054
443,0.48318285
444,0.47882038
445,0.476029
446,0.47579214
447,0.4789965
448,0.48564836
449,0.49520043
450,0.51385134
451,0.53432435
452,0.5604623
453,0.5861907
454,0.60743034
455,0.6314865
456,0.6496932
457,0.66069126
458,0.6734834
459,0.68736887
460,0.70136654
461,0.7194067
462,0.73646444
463,0.75848997
464,0.7758065
465,0.795026
466,0.8093618
467,0.8238747
468,0.83630055
469,0.84814566
470,0.8579538
471,0.8669527
472,0.8744995
473,0.88031566
474,0.88595074
475,0.8895069
476,0.8921152
477,0.8936762
478,0.8942531
479,0.8936019
480,0.89193743
481,0.88990635
482,0.886789
483,0.8829892
484,0.87859464
485,0.87337774
486,0.8673774
487,0.86116207
488,0.85400885
489,0.84714663
490,0.83998847
491,0.83292985
492,0.8255863
493,0.81873935
494,0.8114752
495,0.80460954
496,0.79823655
497,0.79139894
498,0.78474104
499,0.7781854
500,0.7711592
501,0.7646035
502,0.75755155
503,0.75042456
504,0.74222696
505,0.7341502
506,0.7256368
507,0.7173029
508,0.7080708
509,0.69854593
510,0.6896075
511,0.6801684
512,0.6706665
513,0.66112983
514,0.65115565
515,0.6408476
516,0.6317511
517,0.6226216
518,0.6136925
519,0.6029823
520,0.5928026
521,0.5832625
522,0.57354873
523,0.56314
524,0.5527894
525,0.54340196
526,0.5326352
527,0.52305275
528,0.5124976
529,0.5017955
530,0.49218896
531,0.48303196
532,0.47360426
533,0.46430576
534,0.45431072
535,0.44535172
536,0.4358498
537,0.4251084
538,0.41756153
539,0.4102132
540,0.40545952
541,0.4016013
542,0.40055883
543,0.40089896
544,0.40344247
545,0.409704
546,0.4200757
547,0.429166
548,0.44084522
549,0.4565764
550,0.4725531
551,0.49149007
552,0.5108756
553,0.5269917
554,0.5488862
555,0.5633568
556,0.57338065
557,0.5815226
558,0.59026915
559,0.6037416
560,0.6185163
561,0.62949085
562,0.63939345
563,0.6482416
564,0.6574343
565,0.66459966
566,0.6719155
567,0.67725885
568,0.68246084
569,0.68580323
570,0.687781
571,0.68957543
572,0.6899366
573,0.6886581
574,0.6866186
575,0.6836406
576,0.67947346
577,0.6750462
578,0.6699011
579,0.66387075
580,0.65684956
581,0.6494779
582,0.6419264
583,0.63438016
584,0.6268317
585,0.61933374
586,0.61225647
587,0.60459316
588,0.5959469
589,0.58797306
590,0.58044714
591,0.57262063
592,0.56424993
593,0.5556801
594,0.5463753
595,0.53693086
596,0.52668476
597,0.51710093
598,0.50803846
599,0.49951023
600,0.4903644
601,0.48184675
602,0.474281
603,0.46695873
604,0.45910606
605,0.45172438
606,0.44513312
607,0.43897912
608,0.4330189
609,0.42780766
610,0.42199618
611,0.41587397
612,0.41067606
613,0.40544954
614,0.40068933
615,0.39545497
616,0.389645
617,0.3834916
618,0.37638566
619,0.36774197
620,0.36051843
621,0.3543531
622,0.34884596
623,0.34170905
624,0.33653197
625,0.3310134
626,0.32447138
627,0.31663737
628,0.3104199
629,0.30291244
630,0.29467553
631,0.28609243
632,0.27658916
633,0.26567382
634,0.25448397
635,0.24335288
636,0.23507372
637,0.2268621
638,0.21994202
639,0.21454087
640,0.21032968
641,0.20857348
642,0.20576115
643,0.20604478
644,0.2054176
645,0.20610723
646,0.20584673
647,0.20802587
648,0.20919083
649,0.20872813
650,0.20686671
651,0.20462376
652,0.19988523
653,0.19719796
654,0.19293553
655,0.18946071
656,0.18641876
657,0.18459235
658,0.18021859
659,0.1754876
660,0.17400376
661,0.17169611
662,0.17210658
663,0.16877301
664,0.16786192
665,0.16626187
666,0.16509664
667,0.16130513
668,0.15849334
669,0.15672445
670,0.15410368
671,0.15188125
672,0.1494056
673,0.1446844
674,0.14125665
675,0.13994916
676,0.13775395
677,0.13402925
678,0.13144977
679,0.12829122
680,0.124733984
681,0.12012625
682,0.115317956
683,0.110256754
684,0.10533957
685,0.10116768
686,0.097238414
687,0.093246356
688,0.08917903
689,0.08554758
690,0.08197083
691,0.07896994
692,0.0765313
693,0.07469755
694,0.07282256
695,0.07104459
696,0.06934351
697,0.0673634
698,0.065374546
699,0.062952116
700,0.060761027
701,0.058854237
702,0.057357263
703,0.056142505
704,0.054984592
705,0.054001585
706,0.05319282
707,0.05248684
708,0.05214168
709,0.05208484
710,0.052042283
711,0.05197242
712,0.052033972
713,0.05226058
714,0.052350264
715,0.05235615
716,0.05222846
717,0.05202765
718,0.051767852
719,0.051665694
720,0.051321782
721,0.050971206
722,0.050744437
723,0.050489787
724,0.05024253
725,0.0499149
726,0.04947148
727,0.049071483
728,0.04859054
729,0.048113875
730,0.047526438
731,0.04707465
732,0.04658064
733,0.046093646
734,0.045655746
735,0.04530032
736,0.04503491
737,0.044817515
738,0.044751737
739,0.045062657
740,0.0459884
741,0.04752957
742,0.049885426
743,0.053580433
744,0.06091363
745,0.075939864
746,0.101636745
747,0.13484634
748,0.1685802
749,0.20725234
750,0.3221422
751,0.35345846
752,0.3758261
753,0.41668117
754,0.4284822
755,0.43869403
756,0.44373584
757,0.44986796
758,0.4526636
759,0.45664254
760,0.45709026
761,0.45895016
762,0.4582504
763,0.46757743
764,0.47720295
765,0.48517674
766,0.4883796
767,0.483789
768,0.47851968
769,0.4712289
770,0.4625899
771,0.45390034
772,0.44367614
773,0.4335732
774,0.42249393
775,0.41178024
776,0.400211
777,0.38899076
778,0.37895554
779,0.3699673
780,0.36109075
781,0.35269415
782,0.34476048
783,0.33816683
784,0.3319577
785,0.32335776
786,0.31062612
787,0.30060473
788,0.2911954
789,0.28216687
790,0.27336168
791,0.26430044
792,0.2533577
793,0.2420633
794,0.23138027
795,0.22040336
796,0.20995273
797,0.20079125
798,0.19203486
799,0.18336955
800,0.17590585
801,0.16894847
802,0.16259827
803,0.15621795
804,0.15037136
805,0.1451309
806,0.1396546
807,0.13390234
808,0.12794931
809,0.121724494
810,0.11476298
811,0.106552206
812,0.09891921
813,0.09161135
814,0.084618494
815,0.07807034
816,0.07225843
817,0.06716979
818,0.062298898
819,0.05805696
820,0.054266952
821,0.050781064
822,0.0478606
823,0.045407575
824,0.043404296
825,0.041962277
826,0.041003376
827,0.040334858
828,0.03989947
829,0.039645538
830,0.039545774
831,0.03962544
832,0.039930113
833,0.040600225
834,0.041906286
835,0.044674437
836,0.052448057
837,0.074002005
838,0.1095029
839,0.14976713
840,0.19259578
841,0.2301178
842,0.26461935
843,0.29634255
844,0.32477516
845,0.35042635
846,0.37480074
847,0.3938949
848,0.42143562
849,0.4382087
850,0.46004316
851,0.4696239
852,0.48146656
853,0.48872787
854,0.49789467
855,0.50340587
856,0.50843525
857,0.5124788
858,0.5153671
859,0.51850295
860,0.51980776
861,0.5202535
862,0.52366245
863,0.5245914
864,0.5235314
865,0.52114636
866,0.5175402
867,0.512609
868,0.50733197
869,0.501982
870,0.4961089
871,0.48967668
872,0.48310572
873,0.47667012
874,0.4702905
875,0.46328035
876,0.45695394
877,0.45108333
878,0.4455586
879,0.44037545
880,0.43403333
881,0.42947957
882,0.42443287
883,0.4179787
884,0.41212255
885,0.4055267
886,0.3983026
887,0.39136025
888,0.38406265
889,0.3757687
890,0.3678933
891,0.3603321
892,0.3531783
893,0.34617642
894,0.33882734
895,0.33255905
896,0.3259814
897,0.31915158
898,0.31217214
899,0.30466232
900,0.29744887
901,0.28987128
902,0.28235224
903,0.2758605
904,0.2697934
905,0.263665
906,0.2575071
907,0.25084084
908,0.24513729
909,0.23990722
910,0.23436563
911,0.22810057
912,0.2217613
913,0.21552625
914,0.2091663
915,0.2027348
916,0.19550203
917,0.18773474
918,0.1811714
919,0.17328055
920,0.16596915
921,0.16024393
922,0.15706451
923,0.1553706
924,0.15415247
925,0.15401278
926,0.1560178
927,0.1614729
928,0.16887434
929,0.18034057
930,0.1910785
931,0.20450993
932,0.22109036
933,0.23536195
934,0.2581785
935,0.28723764
936,0.32013977
937,0.34982127
938,0.37555695
939,0.40058148
940,0.42533293
941,0.4460332
942,0.46893963
943,0.48754817
944,0.50593185
945,0.52288395
946,0.53611565
947,0.5489826
948,0.5604542
949,0.5718007
950,0.58021
951,0.5873661
952,0.5947633
953,0.60134876
954,0.6061375
955,0.6091307
956,0.6110614
957,0.6113947
958,0.6119819
959,0.611
960,0.60963386
961,0.60676897
962,0.6040927
963,0.6003541
964,0.596124
965,0.590781
966,0.58551717
967,0.5795786
968,0.5736896
969,0.56784976
970,0.5608191
971,0.55489004
972,0.54910535
973,0.54310536
974,0.5380705
975,0.53310347
976,0.5279621
977,0.52297795
978,0.51724094
979,0.51297766
980,0.50774485
981,0.5035948
982,0.49860832
983,0.49279603
984,0.4863809
985,0.48038295
986,0.4735037
987,0.4665453
988,0.46011272
989,0.45323944
990,0.44805825
991,0.4418301
992,0.43593544
993,0.43064898
994,0.42444393
995,0.4172968
996,0.41080323
997,0.404292
998,0.3984049
999,0.39151087
1000,0.38550764
1001,0.378563
1002,0.37056333
1003,0.36289388
1004,0.3545387
1005,0.34694335
1006,0.3393612
1007,0.33187026
1008,0.3257284
1009,0.31935614
1010,0.31248567
1011,0.3059902
1012,0.29765126
1013,0.2900922
1014,0.28233573
1015,0.27506095
1016,0.26729983
1017,0.26166642
1018,0.2589534
1019,0.25780174
1020,0.25683528
1021,0.25623167
1022,0.25875565
1023,0.2629714
1024,0.27165177
1025,0.28495613
1026,0.2992707
1027,0.32077882
1028,0.34065914
1029,0.3610375
1030,0.37782404
1031,0.38880846
1032,0.40476444
1033,0.4245227
1034,0.45016727
1035,0.47540262
1036,0.49838454
1037,0.520364
1038,0.5409645
1039,0.55235827
1040,0.56126004
1041,0.57187545
1042,0.5806604
1043,0.5894562
1044,0.5988887
1045,0.60287803
1046,0.6050191
