,Pred_Ent
0,0.8796185
1,0.888815
2,0.8958157
3,0.9014577
4,0.9070309
5,0.9497745
6,0.95385385
7,0.9563757
8,0.95733106
9,0.9577522
10,0.8730968
11,0.8617582
12,0.8511833
13,0.8414107
14,0.83227557
15,0.7841143
16,0.76838684
17,0.75299597
18,0.7385214
19,0.72310746
20,0.7084226
21,0.6922887
22,0.67611754
23,0.66107273
24,0.6460062
25,0.6547325
26,0.6434903
27,0.6323121
28,0.6222345
29,0.612784
30,0.5980039
31,0.5874649
32,0.5770443
33,0.56755906
34,0.5588347
35,0.5413636
36,0.53079677
37,0.5204433
38,0.51101506
39,0.5024296
40,0.48450032
41,0.47358793
42,0.4630381
43,0.45348632
44,0.4448173
45,0.42780095
46,0.41626066
47,0.405156
48,0.39515874
49,0.38613212
50,0.37831563
51,0.36822948
52,0.35898224
53,0.3513417
54,0.3449806
55,0.33970872
56,0.3344116
57,0.33082515
58,0.330229
59,0.331902
60,0.3129105
61,0.31281203
62,0.31463408
63,0.32033455
64,0.32913315
65,0.5117717
66,0.5548473
67,0.5958125
68,0.6369882
69,0.6762613
70,0.6538201
71,0.6888715
72,0.7203826
73,0.7490875
74,0.77632034
75,0.80046624
76,0.81135267
77,0.8195545
78,0.8304631
79,0.83979833
80,0.78806657
81,0.79198134
82,0.7957524
83,0.7979424
84,0.7988823
85,0.83640444
86,0.83647454
87,0.8352358
88,0.8333141
89,0.8313994
90,0.8461789
91,0.845716
92,0.84437674
93,0.8423189
94,0.8400276
95,0.8269746
96,0.8220074
97,0.81658626
98,0.8110929
99,0.80558205
100,0.7938445
101,0.78654903
102,0.7789422
103,0.7716843
104,0.76445603
105,0.7506078
106,0.7415051
107,0.7321276
108,0.7234383
109,0.71470416
110,0.70603853
111,0.6967006
112,0.6871181
113,0.67813027
114,0.66921383
115,0.6643242
116,0.6552796
117,0.6459961
118,0.6371964
119,0.62870955
120,0.6169162
121,0.60826135
122,0.5995838
123,0.5913779
124,0.58364266
125,0.5986927
126,0.5958935
127,0.593357
128,0.59126043
129,0.5894645
130,0.62275654
131,0.6258119
132,0.62810755
133,0.63061583
134,0.63422924
135,0.58773565
136,0.5864246
137,0.58512104
138,0.5838181
139,0.58312035
140,0.57619965
141,0.5743559
142,0.57234985
143,0.57079434
144,0.5700818
145,0.57147205
146,0.57250375
147,0.5734212
148,0.5748068
149,0.5771655
150,0.5632749
151,0.56434685
152,0.5652821
153,0.5668355
154,0.569558
155,0.53669703
156,0.5352282
157,0.5338622
158,0.5334183
159,0.5341879
160,0.5214019
161,0.51962435
162,0.5177342
163,0.51709753
164,0.51801497
165,0.51133704
166,0.5147571
167,0.5190251
168,0.52476823
169,0.53154516
170,0.56769496
171,0.5806469
172,0.5929491
173,0.6058758
174,0.6192785
175,0.63605785
176,0.65060586
177,0.66346544
178,0.67568827
179,0.6876325
180,0.68622714
181,0.6957922
182,0.7039155
183,0.7109514
184,0.71779525
185,0.7034042
186,0.70685875
187,0.7094017
188,0.71088165
189,0.71246254
190,0.7013844
191,0.7006914
192,0.6993363
193,0.69733363
194,0.69540733
195,0.6830847
196,0.67903537
197,0.67446107
198,0.66997665
199,0.66571075
200,0.64552057
201,0.6377456
202,0.62958264
203,0.6219172
204,0.6142894
205,0.60773593
206,0.59922695
207,0.5904463
208,0.5821838
209,0.57399446
210,0.5696558
211,0.561431
212,0.55306095
213,0.54520935
214,0.53766257
215,0.53214407
216,0.5247687
217,0.51746017
218,0.51059
219,0.50427425
220,0.48701274
221,0.47844312
222,0.4700171
223,0.46209842
224,0.45474282
225,0.44768944
226,0.43964782
227,0.43194282
228,0.42496896
229,0.4186334
230,0.40183425
231,0.39270654
232,0.38389724
233,0.37589777
234,0.368589
235,0.3573054
236,0.34826428
237,0.33985975
238,0.33253425
239,0.32592312
240,0.31971446
241,0.312713
242,0.30659983
243,0.3020388
244,0.29865724
245,0.2766255
246,0.26984894
247,0.26405868
248,0.2598362
249,0.25683364
250,0.23944215
251,0.23383567
252,0.22935931
253,0.22665256
254,0.22533637
255,0.23417293
256,0.23753184
257,0.24265511
258,0.25037482
259,0.26013306
260,0.29779354
261,0.31843486
262,0.34025615
263,0.3642921
264,0.38923597
265,0.39097738
266,0.41549382
267,0.43930942
268,0.4632842
269,0.48660475
270,0.4943566
271,0.5128124
272,0.5300432
273,0.5470889
274,0.5628292
275,0.5705899
276,0.582563
277,0.59359854
278,0.6035928
279,0.6128953
280,0.6221067
281,0.629842
282,0.6366473
283,0.64215523
284,0.64742583
285,0.63678837
286,0.63942
287,0.6413095
288,0.6421641
289,0.6430556
290,0.62997794
291,0.62817127
292,0.6257774
293,0.6232202
294,0.6208214
295,0.60227835
296,0.5963005
297,0.58983773
298,0.5837597
299,0.5776035
300,0.5779967
301,0.5721296
302,0.5659378
303,0.5601403
304,0.55444676
305,0.54995733
306,0.54408014
307,0.5379902
308,0.53240156
309,0.52709466
310,0.5176663
311,0.51184213
312,0.50605583
313,0.50055027
314,0.4955655
315,0.48276642
316,0.47626853
317,0.46985942
318,0.46392876
319,0.45863003
320,0.44932774
321,0.4430994
322,0.4371157
323,0.43175834
324,0.42707676
325,0.41688904
326,0.41092873
327,0.4053059
328,0.4004443
329,0.39631295
330,0.37834945
331,0.37161997
332,0.3653802
333,0.35999265
334,0.35525241
335,0.34080338
336,0.33392176
337,0.32761866
338,0.32237902
339,0.31790942
340,0.31111687
341,0.30637404
342,0.30246353
343,0.30000758
344,0.2986354
345,0.2796876
346,0.27586088
347,0.2729513
348,0.27155778
349,0.27128574
350,0.27369094
351,0.2761254
352,0.2798899
353,0.2856736
354,0.29287642
355,0.33662155
356,0.35600477
357,0.37645215
358,0.39874238
359,0.42162508
360,0.44996098
361,0.47722316
362,0.5032
363,0.52870625
364,0.5532874
365,0.5795845
366,0.6030216
367,0.62455463
368,0.64451677
369,0.66332966
370,0.6932697
371,0.70966804
372,0.72434366
373,0.73692477
374,0.74889743
375,0.77683014
376,0.7874973
377,0.7966077
378,0.8034966
379,0.81002593
380,0.82528794
381,0.82995254
382,0.83338654
383,0.8352375
384,0.83700705
385,0.83898455
386,0.8388022
387,0.837822
388,0.8362433
389,0.8346062
390,0.83219975
391,0.82909894
392,0.8253918
393,0.8213836
394,0.81727
395,0.81206244
396,0.8068218
397,0.8010672
398,0.79547095
399,0.7897981
400,0.78618455
401,0.77989984
402,0.77314377
403,0.7667743
404,0.76038444
405,0.74646676
406,0.73942727
407,0.7321534
408,0.72518855
409,0.7184579
410,0.70964926
411,0.7025618
412,0.69523406
413,0.6883397
414,0.6819365
415,0.67110187
416,0.6641913
417,0.65711105
418,0.650481
419,0.6444414
420,0.6364172
421,0.6301269
422,0.6237031
423,0.6177156
424,0.61236745
425,0.613253
426,0.6089789
427,0.60455877
428,0.6005181
429,0.5971864
430,0.58120686
431,0.57660043
432,0.57192665
433,0.5676364
434,0.5641517
435,0.5414525
436,0.5353829
437,0.52938694
438,0.52395374
439,0.5194044
440,0.5053293
441,0.49943635
442,0.49379686
443,0.48899776
444,0.48522562
445,0.48552805
446,0.48373556
447,0.4825309
448,0.48256415
449,0.4838791
450,0.5290577
451,0.54146713
452,0.5542196
453,0.56794655
454,0.5825693
455,0.6171261
456,0.63739246
457,0.65596396
458,0.6735536
459,0.69116074
460,0.71453196
461,0.73250705
