,Pred_Ent
0,0.8761111
1,0.8933847
2,0.9076046
3,0.9162327
4,0.92069465
5,0.9184369
6,0.92837983
7,0.9343414
8,0.93351686
9,0.9290324
10,0.873916
11,0.8659175
12,0.8566814
13,0.84397286
14,0.8297086
15,0.78287375
16,0.76696265
17,0.75188607
18,0.7360951
19,0.7196908
20,0.7127959
21,0.7005371
22,0.6884338
23,0.67592055
24,0.66238195
25,0.6543396
26,0.64520687
27,0.6357656
28,0.6250395
29,0.61450696
30,0.59330493
31,0.583579
32,0.5735101
33,0.5627159
34,0.5516186
35,0.53679025
36,0.52677745
37,0.51664215
38,0.5059787
39,0.49508262
40,0.4826472
41,0.47318208
42,0.46360406
43,0.45364007
44,0.44335353
45,0.42802513
46,0.41927978
47,0.40994343
48,0.40039667
49,0.39066458
50,0.37559092
51,0.3684386
52,0.36051738
53,0.35219446
54,0.34341925
55,0.33569634
56,0.3313005
57,0.32621032
58,0.3209584
59,0.31557944
60,0.32818598
61,0.32691103
62,0.3266856
63,0.3286919
64,0.3323769
65,0.4573778
66,0.49072033
67,0.524342
68,0.5571822
69,0.5892847
70,0.6518988
71,0.69065946
72,0.726537
73,0.75801986
74,0.78631926
75,0.74911463
76,0.7726882
77,0.7886837
78,0.79476255
79,0.79523456
80,0.8105265
81,0.8144124
82,0.8178012
83,0.81939554
84,0.82028353
85,0.8336647
86,0.83746153
87,0.84139293
88,0.8433837
89,0.84412736
90,0.8393644
91,0.8410115
92,0.84192103
93,0.8399459
94,0.8365527
95,0.82794756
96,0.8244422
97,0.8211516
98,0.81618065
99,0.8106994
100,0.79430467
101,0.7858558
102,0.7786866
103,0.77113855
104,0.76384145
105,0.7500931
106,0.7399417
107,0.7311497
108,0.7224596
109,0.7140511
110,0.7161203
111,0.70687795
112,0.6990171
113,0.69167215
114,0.6849089
115,0.66579956
116,0.6564538
117,0.64813465
118,0.6399533
119,0.6321706
120,0.62008744
121,0.61076844
122,0.602217
123,0.5940155
124,0.58609104
125,0.59206504
126,0.588754
127,0.58535695
128,0.58129686
129,0.577086
130,0.6110614
131,0.61744475
132,0.6219433
133,0.6236218
134,0.62402564
135,0.5858239
136,0.58546907
137,0.5840134
138,0.58051807
139,0.57622415
140,0.56077075
141,0.55839807
142,0.555537
143,0.5509233
144,0.54557025
145,0.5515217
146,0.5517463
147,0.5509726
148,0.5479795
149,0.5438601
150,0.5450622
151,0.545993
152,0.5454755
153,0.5428577
154,0.5386762
155,0.5391388
156,0.53665173
157,0.53447104
158,0.5319226
159,0.52947515
160,0.54633725
161,0.5438931
162,0.5435108
163,0.54515177
164,0.54874295
165,0.5327149
166,0.528829
167,0.5287294
168,0.5326399
169,0.5395653
170,0.5649771
171,0.57549053
172,0.5869842
173,0.59911245
174,0.6115145
175,0.6287709
176,0.6425883
177,0.65632427
178,0.6685018
179,0.6802257
180,0.6905318
181,0.7007865
182,0.7105307
183,0.719081
184,0.72699517
185,0.70565706
186,0.7098013
187,0.7137688
188,0.7160316
189,0.71755964
190,0.70171314
191,0.7010913
192,0.70071185
193,0.69921476
194,0.6972053
195,0.68133026
196,0.6778858
197,0.674724
198,0.6706832
199,0.66589934
200,0.64384043
201,0.6365311
202,0.62981236
203,0.6223958
204,0.6147196
205,0.6137565
206,0.6064695
207,0.59986985
208,0.5933276
209,0.5873074
210,0.57375747
211,0.56623524
212,0.5594135
213,0.5528153
214,0.5465996
215,0.5324532
216,0.52535814
217,0.51894504
218,0.5125978
219,0.5064654
220,0.49142337
221,0.48537675
222,0.47909462
223,0.4727339
224,0.4662407
225,0.44830143
226,0.4424587
227,0.43664318
228,0.43026876
229,0.42392105
230,0.40342903
231,0.39753428
232,0.39142376
233,0.3846476
234,0.37788367
235,0.35554034
236,0.34957692
237,0.3429941
238,0.33600596
239,0.32886255
240,0.31384465
241,0.30988038
242,0.30493635
243,0.29941246
244,0.29344308
245,0.27140504
246,0.267988
247,0.26333272
248,0.25773296
249,0.25189352
250,0.24270846
251,0.23876478
252,0.23494004
253,0.23169251
254,0.2289753
255,0.25427887
256,0.2568302
257,0.2613046
258,0.26916224
259,0.2794374
260,0.31312412
261,0.32804143
262,0.34613025
263,0.36915714
264,0.39503857
265,0.3945046
266,0.4206632
267,0.44733223
268,0.47435868
269,0.5010751
270,0.49436566
271,0.5170882
272,0.5378829
273,0.55706316
274,0.57509565
275,0.5781221
276,0.5915707
277,0.6047958
278,0.6162611
279,0.6269831
280,0.6258896
281,0.63444436
282,0.64239514
283,0.6493344
284,0.655443
285,0.6383249
286,0.64197874
287,0.645164
288,0.64685863
289,0.6477638
290,0.6300285
291,0.6289156
292,0.62796575
293,0.6258239
294,0.62348133
295,0.6015596
296,0.595774
297,0.5908214
298,0.5856027
299,0.5803372
300,0.5833956
301,0.5782784
302,0.57405025
303,0.5700268
304,0.5664758
305,0.5533396
306,0.54898006
307,0.54499537
308,0.5407651
309,0.53643036
310,0.5171893
311,0.51170915
312,0.5064902
313,0.5012289
314,0.4958995
315,0.4851489
316,0.4804399
317,0.47576797
318,0.47082973
319,0.46610352
320,0.45000815
321,0.4461711
322,0.44204843
323,0.4374655
324,0.43291855
325,0.4158733
326,0.41251567
327,0.4086733
328,0.40439248
329,0.39990354
330,0.373251
331,0.36875892
332,0.36355355
333,0.35765508
334,0.3513528
335,0.33507442
336,0.33092213
337,0.32587412
338,0.3202106
339,0.31397295
340,0.30359998
341,0.30090106
342,0.29736787
343,0.29316527
344,0.28863865
345,0.28392237
346,0.28209937
347,0.2800784
348,0.278934
349,0.27818123
350,0.28967088
351,0.29169282
352,0.2954462
353,0.30179316
354,0.30989522
355,0.3451473
356,0.35829556
357,0.37436023
358,0.3945611
359,0.41762573
360,0.4494664
361,0.47769815
362,0.5060252
363,0.53436863
364,0.5623091
365,0.5775416
366,0.60424066
367,0.62851447
368,0.6506223
369,0.67045605
370,0.69594467
371,0.7147674
372,0.7317764
373,0.7455772
374,0.75813437
375,0.7815031
376,0.7950738
377,0.8067482
378,0.8157002
379,0.8227096
380,0.830301
381,0.8387711
382,0.84601504
383,0.85006595
384,0.8527724
385,0.8449399
386,0.8468173
387,0.84866136
388,0.8484463
389,0.84738034
390,0.8315996
391,0.82744765
392,0.82457554
393,0.82095534
394,0.8170128
395,0.81587666
396,0.8097746
397,0.80513304
398,0.80025756
399,0.7954462
400,0.78460574
401,0.77816075
402,0.7724448
403,0.7660275
404,0.75946635
405,0.746073
406,0.7382199
407,0.73109704
408,0.7233781
409,0.7157831
410,0.71403444
411,0.70691514
412,0.7004202
413,0.69367206
414,0.6870859
415,0.6751177
416,0.6688335
417,0.66279894
418,0.6561678
419,0.64925665
420,0.63672966
421,0.63111156
422,0.62547565
423,0.61901563
424,0.61280996
425,0.6110193
426,0.6074252
427,0.60383177
428,0.59937125
429,0.5947238
430,0.5812122
431,0.577712
432,0.5737427
433,0.56896293
434,0.5638234
435,0.54038936
436,0.5349209
437,0.5293858
438,0.5230703
439,0.5166653
440,0.5108393
441,0.5050276
442,0.49991363
443,0.49486768
444,0.49035
445,0.50595677
446,0.5034718
447,0.502673
448,0.5039073
449,0.50680476
450,0.55421406
451,0.5638462
452,0.57560754
453,0.5899118
454,0.6062395
455,0.6205079
456,0.6369878
457,0.6549922
458,0.6736214
459,0.6925576
460,0.7139206
461,0.7329046
462,0.75057083
463,0.7664402
464,0.7807362
465,0.80500907
466,0.82079256
467,0.83500147
468,0.8459967
469,0.8550927
470,0.8631886
471,0.87364244
472,0.88235414
473,0.8877746
474,0.891144
475,0.892262
476,0.8970316
477,0.90091854
478,0.9013873
479,0.90041846
480,0.897015
481,0.8958811
482,0.8951697
483,0.8926396
484,0.8893606
485,0.8788674
486,0.87381494
487,0.8696782
488,0.86465734
489,0.85972804
490,0.8451613
491,0.83694
492,0.830385
493,0.8238484
494,0.81746006
495,0.8187923
496,0.81073576
497,0.8044013
498,0.79861003
499,0.79358953
500,0.77551943
501,0.7672347
502,0.76036394
503,0.7536424
504,0.7471087
505,0.73460466
506,0.72667575
507,0.7195267
508,0.7121828
509,0.70499635
510,0.68998045
511,0.6823753
512,0.67504805
513,0.66731507
514,0.6594984
515,0.63867384
516,0.6306739
517,0.6227711
518,0.6140973
519,0.6054075
520,0.59095544
521,0.58259976
522,0.5744018
523,0.5657237
524,0.5570956
525,0.54077846
526,0.53197557
527,0.5231863
528,0.5141815
529,0.50531554
