,Pred_Ent
0,0.88704795
1,0.90303624
2,0.9192284
3,0.9322272
4,0.9432018
5,0.950449
6,0.95752347
7,0.964319
8,0.94185495
9,0.8978622
10,0.86313266
11,0.83977914
12,0.8220287
13,0.80821955
14,0.79607284
15,0.7813283
16,0.7678276
17,0.75221795
18,0.73893565
19,0.7257413
20,0.71171117
21,0.6997292
22,0.68827665
23,0.67826945
24,0.66608745
25,0.65452087
26,0.6439802
27,0.6324812
28,0.6215971
29,0.60973895
30,0.5987002
31,0.5879331
32,0.5763549
33,0.56505084
34,0.553902
35,0.5423098
36,0.5313823
37,0.5196497
38,0.5091586
39,0.49694654
40,0.48623908
41,0.47681996
42,0.4658625
43,0.4557777
44,0.44252172
45,0.4291912
46,0.41917711
47,0.41068566
48,0.40106264
49,0.39167646
50,0.37926304
51,0.3683761
52,0.3598127
53,0.35086778
54,0.34315404
55,0.3395128
56,0.33299634
57,0.32610077
58,0.31793827
59,0.31335294
60,0.30742347
61,0.32912016
62,0.3797731
63,0.428578
64,0.46630645
65,0.4949762
66,0.5205485
67,0.5510858
68,0.5829994
69,0.6226486
70,0.6637291
71,0.7035765
72,0.7396443
73,0.78098977
74,0.80552524
75,0.8036376
76,0.77577025
77,0.745162
78,0.7460365
79,0.7686271
80,0.7932196
81,0.8097596
82,0.8217909
83,0.83044815
84,0.83967245
85,0.8395165
86,0.8410772
87,0.842815
88,0.8455207
89,0.8481449
90,0.84860986
91,0.8470007
92,0.84365803
93,0.83941954
94,0.8351285
95,0.8284696
96,0.8238727
97,0.818268
98,0.81091005
99,0.80370426
100,0.7945677
101,0.7853383
102,0.7765766
103,0.7697613
104,0.7614347
105,0.7527866
106,0.74320257
107,0.7347415
108,0.72495604
109,0.7157411
110,0.7083313
111,0.69940937
112,0.69347703
113,0.6847742
114,0.6765706
115,0.6654499
116,0.6565956
117,0.64479095
118,0.6337468
119,0.6266735
120,0.61933005
121,0.61106956
122,0.6012775
123,0.5923968
124,0.58921653
125,0.60730493
126,0.6232823
127,0.6303029
128,0.63031244
129,0.6262647
130,0.6205722
131,0.6111334
132,0.5998583
133,0.59367126
134,0.5891707
135,0.588877
136,0.5889223
137,0.5868943
138,0.5804494
139,0.57828796
140,0.5776286
141,0.5766407
142,0.57521665
143,0.57450086
144,0.5718083
145,0.5710312
146,0.57146114
147,0.5714995
148,0.5685736
149,0.56593686
150,0.561133
151,0.55534434
152,0.54934865
153,0.54454505
154,0.5397917
155,0.5349426
156,0.53199613
157,0.5323768
158,0.53579634
159,0.5359346
160,0.5143988
161,0.49493253
162,0.49120525
163,0.49434948
164,0.5020098
165,0.5132499
166,0.5202819
167,0.52935696
168,0.5414718
169,0.55461144
170,0.56883657
171,0.5822162
172,0.5977843
173,0.6120606
174,0.6248557
175,0.6380663
176,0.65042853
177,0.65802646
178,0.6691235
179,0.6798341
180,0.6884613
181,0.6947614
182,0.6980652
183,0.7002475
184,0.7015555
185,0.70515114
186,0.7073543
187,0.70451283
188,0.7029589
189,0.7034221
190,0.7034539
191,0.70106184
192,0.6995165
193,0.6949816
194,0.689773
195,0.6853474
196,0.6793747
197,0.6718062
198,0.6640121
199,0.6570463
200,0.64893776
201,0.6401088
202,0.6315499
203,0.6254359
204,0.6190045
205,0.6111696
206,0.6019623
207,0.5952643
208,0.58868384
209,0.5806272
210,0.5729254
211,0.56307715
212,0.55599236
213,0.5494336
214,0.54259074
215,0.5352932
216,0.5252529
217,0.51660585
218,0.50872666
219,0.49845117
220,0.49073875
221,0.48279604
222,0.47619337
223,0.46607336
224,0.45802927
225,0.451373
226,0.4443666
227,0.43532777
228,0.4258352
229,0.41511846
230,0.4045809
231,0.39536744
232,0.38650212
233,0.37632576
234,0.36925113
235,0.36014718
236,0.35161895
237,0.34490964
238,0.33816466
239,0.3301944
240,0.32081878
241,0.31181133
242,0.3036431
243,0.2932547
244,0.28579676
245,0.27750754
246,0.26799262
247,0.26058546
248,0.25274652
249,0.24597205
250,0.23937434
251,0.23620555
252,0.23290955
253,0.23131078
254,0.23014954
255,0.23275329
256,0.24050346
257,0.25089064
258,0.26284906
259,0.2778053
260,0.29607192
261,0.31387976
262,0.3333148
263,0.35252675
264,0.37281054
265,0.3941835
266,0.41748405
267,0.439151
268,0.46045107
269,0.48000258
270,0.49792683
271,0.51592994
272,0.5304592
273,0.54636616
274,0.5600223
275,0.571772
276,0.5848442
277,0.59745544
278,0.6056995
279,0.614484
280,0.6232042
281,0.6300969
282,0.63504314
283,0.6354728
284,0.63572645
285,0.6382486
286,0.64005744
287,0.6405294
288,0.6370025
289,0.63491553
290,0.63151646
291,0.6256948
292,0.6221434
293,0.6176267
294,0.61126375
295,0.6062004
296,0.5997639
297,0.59456044
298,0.59031904
299,0.58779603
300,0.5813367
301,0.5770406
302,0.57211006
303,0.5647449
304,0.5590353
305,0.55330634
306,0.5467481
307,0.53893244
308,0.5313574
309,0.52660257
310,0.52053165
311,0.51158214
312,0.5056804
313,0.5006223
314,0.49471232
315,0.4848492
316,0.4794969
317,0.47349072
318,0.46675807
319,0.45957446
320,0.45185915
321,0.44788536
322,0.44127306
323,0.4339351
324,0.42708898
325,0.41908446
326,0.4113838
327,0.40253925
328,0.39489135
329,0.3883063
330,0.38114935
331,0.37427762
332,0.36716148
333,0.35846868
334,0.35001078
335,0.34317803
336,0.33717427
337,0.33101773
338,0.3250387
339,0.31913418
340,0.3116075
341,0.30298978
342,0.2974883
343,0.29258698
344,0.2855986
345,0.28000388
346,0.2765707
347,0.27338007
348,0.27216423
349,0.27090713
350,0.27325672
351,0.2778786
352,0.2868892
353,0.2996283
354,0.31694242
355,0.3355139
