,Pred_Ent
0,0.107284054
1,0.10810021
2,0.11044589
3,0.11239557
4,0.10154017
5,0.10046442
6,0.10291717
7,0.104749076
8,0.11539002
9,0.11585933
10,0.11644298
11,0.118460625
12,0.12040216
13,0.1217316
14,0.123238936
15,0.12640162
16,0.12493222
17,0.12502927
18,0.12866977
19,0.1299665
20,0.13024479
21,0.1309399
22,0.1290226
23,0.13268486
24,0.13535553
25,0.1369245
26,0.13704388
27,0.13675284
28,0.1369067
29,0.123644024
30,0.11697769
31,0.11627081
32,0.122884475
33,0.12534848
34,0.12670973
35,0.12794128
36,0.118253216
37,0.116873726
38,0.12834513
39,0.1260517
40,0.12255176
41,0.12057704
42,0.11885624
43,0.124008
44,0.12441669
45,0.112078324
46,0.1138048
47,0.114397205
48,0.112474814
49,0.1110128
50,0.103952155
51,0.09033617
52,0.09615539
53,0.10100613
54,0.104249686
55,0.1078928
56,0.11132253
57,0.10983609
58,0.11083543
59,0.11718669
60,0.12046635
61,0.120185345
62,0.11921283
63,0.11858363
64,0.122874565
65,0.12799509
66,0.1277076
67,0.13031566
68,0.13133517
69,0.13132657
70,0.13126744
71,0.13128564
72,0.13275743
73,0.1317794
74,0.12905836
75,0.12796035
76,0.12737356
77,0.12654349
78,0.12149903
79,0.120664
80,0.1209864
81,0.12356129
82,0.121614516
83,0.118505225
84,0.115877494
85,0.11919104
86,0.12877429
87,0.13354957
88,0.13356781
89,0.1333588
90,0.13301383
91,0.13264711
92,0.13819906
93,0.14371967
94,0.14659068
95,0.148479
96,0.14814943
97,0.1476612
98,0.14732438
99,0.14512591
100,0.14010487
101,0.13331375
102,0.1347201
103,0.1365731
104,0.13766186
105,0.13853967
106,0.14404874
107,0.13781431
108,0.13948259
109,0.1349779
110,0.13234307
111,0.13135836
112,0.12956002
113,0.12911233
114,0.13477105
115,0.1373458
116,0.13233045
117,0.12879291
118,0.1258192
119,0.12289032
120,0.12207858
121,0.124013186
122,0.12672946
123,0.12994981
124,0.13045488
125,0.13017848
126,0.1302292
127,0.13705678
128,0.12367347
129,0.11947276
130,0.11418563
131,0.11047087
132,0.107919484
133,0.105281815
134,0.10447915
135,0.1017319
136,0.10583219
137,0.098326065
138,0.09610868
139,0.096924715
140,0.09700007
141,0.1045779
142,0.095699035
143,0.093992956
144,0.09652871
145,0.09817395
146,0.099131405
147,0.100507654
148,0.108796746
149,0.10675802
150,0.10340656
151,0.09604519
152,0.09664918
153,0.09939961
154,0.10142012
155,0.10971077
156,0.11637291
157,0.12352902
158,0.13399029
159,0.13554797
160,0.13500077
161,0.1350252
162,0.13415986
163,0.13462856
164,0.14154568
165,0.13838106
166,0.1332309
167,0.12882356
168,0.1242923
169,0.12066382
170,0.12231923
171,0.11850666
172,0.12108623
173,0.120505184
174,0.11825706
175,0.11595714
176,0.12593044
177,0.12778936
178,0.13604651
179,0.13833162
180,0.13697745
181,0.13536762
182,0.13419005
183,0.13115384
184,0.11740562
185,0.112985745
186,0.10938394
187,0.10762281
188,0.10657029
189,0.105681725
190,0.08979767
191,0.08937988
192,0.061966047
193,0.055376284
194,0.043897532
195,0.02835463
196,0.01366058
197,0.036092386
198,0.01766619
199,0.035637647
200,0.04510942
201,0.048985906
202,0.053372636
203,0.058558986
204,0.05358444
205,0.05271638
206,0.028260559
207,0.014589325
208,0.013845265
209,0.01424776
210,0.013991147
211,0.031998977
212,0.043384314
213,0.035279557
214,0.041700855
215,0.049108855
216,0.05525197
217,0.06138072
218,0.06357625
219,0.066539094
220,0.060516268
221,0.044404857
222,0.040594876
223,0.03996353
224,0.038543224
225,0.037282556
226,0.052713335
227,0.05042699
228,0.033147648
229,0.031600893
230,0.03402789
231,0.035315573
232,0.040479228
233,0.048709482
234,0.060115516
235,0.06514212
236,0.063735984
237,0.061209925
238,0.059136964
239,0.057877257
240,0.040956542
241,0.019864872
242,0.019775227
243,0.025595859
244,0.030234829
245,0.035070613
246,0.041591376
247,0.031320706
248,0.033074707
249,0.021369323
250,0.0126719475
251,0.007058263
252,0.0013530552
253,0.011524811
254,0.023743674
255,0.03539303
256,0.032572776
257,0.037467077
258,0.045228645
259,0.052717917
260,0.05419387
261,0.05944752
262,0.058905087
263,0.068657175
264,0.066990755
265,0.06191647
266,0.057640396
267,0.06867285
268,0.06387972
269,0.06445026
270,0.07606042
271,0.081172325
272,0.08350565
273,0.08657907
274,0.075119495
275,0.078442395
276,0.10102677
277,0.105333626
278,0.09902996
279,0.09306892
280,0.08741912
281,0.06958444
282,0.07549364
283,0.08963682
284,0.08748071
285,0.08642019
286,0.08646445
287,0.08645966
288,0.090080716
289,0.07583715
290,0.07744182
291,0.09083363
292,0.0930461
293,0.09245567
294,0.09224341
295,0.08655732
296,0.07838606
297,0.067252725
298,0.065099545
299,0.061990246
300,0.057655312
301,0.053230472
302,0.050252497
303,0.037300095
304,0.034884036
305,0.03363794
306,0.038817674
307,0.04518731
308,0.05173479
309,0.05383592
310,0.07841203
311,0.08251603
312,0.081351034
313,0.08349423
314,0.08604714
315,0.08836227
316,0.08942404
317,0.0907627
318,0.07806099
319,0.085308306
320,0.08525615
321,0.081125624
322,0.07756316
323,0.07207377
324,0.064430945
325,0.06491029
326,0.06734835
327,0.06530406
328,0.062377825
329,0.0599211
330,0.07666761
331,0.08143993
332,0.08584673
333,0.09235578
334,0.09352724
335,0.0933447
336,0.0934268
337,0.09333612
338,0.08581225
339,0.090470076
340,0.08976637
341,0.0912463
342,0.09406433
343,0.096898474
344,0.09951877
345,0.100011684
346,0.10198579
347,0.100789875
348,0.1007198
349,0.101458885
350,0.10181254
351,0.10729951
352,0.10874149
353,0.109996274
354,0.10711709
355,0.10699819
356,0.10767381
357,0.10861343
358,0.10908589
359,0.11610183
360,0.12078132
361,0.12149677
362,0.1216463
363,0.12159359
364,0.12154972
365,0.12108424
366,0.12630537
367,0.12408784
368,0.12196947
369,0.12122308
370,0.12079403
371,0.12027511
372,0.11983332
373,0.12548998
374,0.12720595
375,0.13652839
376,0.13827607
377,0.13775727
378,0.13756914
379,0.13898245
380,0.1409164
381,0.14205243
382,0.1374744
383,0.13815153
384,0.14009407
385,0.14181463
386,0.14150275
387,0.13751993
388,0.14394525
389,0.14726695
390,0.14722824
391,0.14719915
392,0.1472021
393,0.1476509
394,0.14568153
395,0.1480261
396,0.14977044
397,0.1501211
398,0.15046203
399,0.15068838
400,0.1530582
401,0.15020788
402,0.15382177
403,0.1525484
404,0.15098718
405,0.15021594
406,0.14911442
407,0.13869077
408,0.14139554
409,0.14921981
410,0.15248781
411,0.15255089
412,0.15265967
413,0.1529064
414,0.1647998
415,0.16665624
416,0.16982663
417,0.17148496
418,0.17228045
419,0.17346254
420,0.17449489
421,0.17264622
422,0.17095971
423,0.16572215
424,0.1668315
425,0.17074925
426,0.17460561
427,0.17805669
428,0.17653076
429,0.17260101
430,0.17092474
431,0.17344838
432,0.17585373
