,Pred_Ent
0,0.08400011
1,0.08388462
2,0.095486045
3,0.087517366
4,0.088020936
5,0.09225551
6,0.102499545
7,0.1049459
8,0.10626028
9,0.10664881
10,0.116581246
11,0.12209335
12,0.12646657
13,0.12950824
14,0.12929982
15,0.12940001
16,0.12862024
17,0.12626107
18,0.12931283
19,0.12793452
20,0.12990467
21,0.13059177
22,0.13831905
23,0.14366367
24,0.13512781
25,0.13817534
26,0.13570333
27,0.13301569
28,0.13209707
29,0.12784527
30,0.11794025
31,0.12024141
32,0.12372245
33,0.12060559
34,0.11332713
35,0.118317135
36,0.12091426
37,0.119775094
38,0.11795093
39,0.11637552
40,0.12307274
41,0.11568557
42,0.11820551
43,0.11349189
44,0.11132308
45,0.11721408
46,0.124158695
47,0.12486903
48,0.12158577
49,0.122906104
50,0.121489204
51,0.123039104
52,0.12687536
53,0.12197474
54,0.113475055
55,0.10810937
56,0.11071901
57,0.11174746
58,0.11215693
59,0.1118659
60,0.11038853
61,0.10938133
62,0.111094415
63,0.10915053
64,0.11003682
65,0.106262006
66,0.106901094
67,0.109832816
68,0.10898671
69,0.107719466
70,0.110074334
71,0.10561803
72,0.10311017
73,0.10051627
74,0.09733384
75,0.08798135
76,0.044754952
77,0.024319807
78,0.038728036
79,0.043351628
80,0.03507147
81,0.011893986
82,0.01439373
83,0.014984876
84,0.017417947
85,0.022195477
86,0.019075638
87,0.02248859
88,0.017879024
89,0.017328542
90,0.012710642
91,0.014309391
92,0.010338252
93,0.0075537395
94,0.0008358769
95,0.005272856
96,0.014392303
97,0.020030528
98,0.01561228
99,0.017913347
100,0.022033911
101,0.024485435
102,0.01723728
103,0.017464485
104,0.022834044
105,0.033049952
106,0.032413654
107,0.033342406
108,0.03423563
109,0.030716818
110,0.037546203
111,0.03826664
112,0.038432702
113,0.039092433
114,0.038515836
115,0.034561682
116,0.034674548
117,0.045046143
118,0.040536355
119,0.037675228
120,0.0413925
121,0.03779522
122,0.035353795
123,0.038865842
124,0.03858322
125,0.038499527
126,0.038353037
127,0.039906614
128,0.036995545
129,0.034591995
130,0.04064368
131,0.040628705
132,0.05554975
133,0.06393414
134,0.05959977
135,0.05877969
136,0.053435244
137,0.054157622
138,0.059181243
139,0.05911027
140,0.058588896
141,0.06254627
142,0.06517333
143,0.06398563
144,0.06345132
145,0.060258
146,0.061706714
147,0.0646734
148,0.06544681
149,0.06667715
150,0.06344414
151,0.06010776
152,0.058695175
153,0.05739778
154,0.057853527
155,0.05711248
156,0.056510665
157,0.055991136
158,0.056494538
159,0.058824047
160,0.061224148
161,0.06264154
162,0.07046104
163,0.083429076
164,0.08502872
165,0.08650845
166,0.08483277
167,0.08269262
168,0.08417972
169,0.08075456
170,0.07574934
171,0.075300545
172,0.077073604
173,0.07417819
174,0.072119415
175,0.075017005
176,0.074328884
177,0.074473605
178,0.074023545
179,0.071326174
180,0.07174166
181,0.07114416
182,0.06862729
183,0.06982888
184,0.066006854
185,0.07035759
186,0.07168093
187,0.070515774
188,0.07095352
189,0.06983805
190,0.0767739
191,0.07698342
192,0.07583839
193,0.072363906
194,0.073339134
195,0.07330461
196,0.07152034
197,0.073002875
198,0.075659424
199,0.07047772
200,0.07105562
201,0.069274165
202,0.0703637
203,0.07027169
204,0.06905462
205,0.0695205
206,0.07027654
207,0.0700513
208,0.06795785
209,0.06706043
210,0.06899732
211,0.07007526
212,0.06797479
213,0.065298334
214,0.06332804
215,0.06462461
216,0.063805714
217,0.06648668
218,0.06649291
219,0.06606783
220,0.0657966
221,0.06436303
222,0.05518041
223,0.047583856
224,0.032794006
225,0.033575565
226,0.029158304
227,0.025653433
228,0.028662413
229,0.027686056
230,0.030981941
231,0.032353625
232,0.031313427
233,0.030850526
234,0.028354166
235,0.02672233
236,0.030094292
237,0.029802596
238,0.033578526
239,0.035119686
240,0.03477189
241,0.03927019
242,0.041890334
243,0.041864097
244,0.04026444
245,0.039641656
246,0.040145226
247,0.03843356
248,0.041311022
249,0.0420044
250,0.04013877
251,0.039378647
252,0.037559345
253,0.03829992
254,0.037455898
255,0.036289763
256,0.035507753
257,0.035079077
258,0.039508432
259,0.04134208
260,0.038619332
261,0.039305463
262,0.03939067
263,0.043630637
264,0.045971543
265,0.045088403
266,0.042591047
267,0.037324976
268,0.029361557
269,0.03032459
270,0.029955804
271,0.025182702
272,0.022716843
273,0.023163322
274,0.021093853
275,0.025535524
276,0.02449578
277,0.027168952
278,0.026894927
279,0.025031932
280,0.03153061
281,0.028964613
282,0.03351454
283,0.03133199
284,0.045274034
285,0.051848076
286,0.05332977
287,0.06048601
288,0.06768878
289,0.076145194
290,0.07464127
291,0.07059451
292,0.08248418
293,0.0849846
294,0.08138406
295,0.0804293
296,0.08037854
297,0.08291509
298,0.08498499
299,0.08889383
300,0.083630815
301,0.08406254
302,0.085998565
303,0.08669009
304,0.090259366
305,0.09298317
306,0.0853642
307,0.086107574
308,0.08132456
309,0.07896347
310,0.078942716
311,0.079506174
312,0.0766958
313,0.07486646
314,0.075403295
315,0.07648353
316,0.07913412
317,0.07866249
318,0.08055903
319,0.08163217
320,0.077223286
