,Pred_Ent
0,0.09225649
1,0.09375146
2,0.09564364
3,0.09656562
4,0.09932332
5,0.11035812
6,0.11165944
7,0.11307995
8,0.113846004
9,0.115902364
10,0.13295367
11,0.1339922
12,0.13481025
13,0.13524641
14,0.13700922
15,0.13197322
16,0.13299838
17,0.1338898
18,0.1343249
19,0.13607238
20,0.1415982
21,0.14239992
22,0.14303042
23,0.14336637
24,0.14491764
25,0.13315514
26,0.1339736
27,0.13466732
28,0.1349448
29,0.13680774
30,0.120010346
31,0.12089524
32,0.12170811
33,0.12221956
34,0.124305755
35,0.12082349
36,0.12186782
37,0.12288755
38,0.123473555
39,0.12546638
40,0.116395205
41,0.117451
42,0.11853193
43,0.11912899
44,0.121292725
45,0.12639275
46,0.12738192
47,0.12824094
48,0.1287263
49,0.13059266
50,0.12105775
51,0.1218085
52,0.122761086
53,0.12323016
54,0.125162
55,0.11564976
56,0.11682019
57,0.11812608
58,0.11884728
59,0.12088974
60,0.11378962
61,0.114865586
62,0.11616209
63,0.116796285
64,0.11901438
65,0.112042546
66,0.11315237
67,0.11435464
68,0.11509733
69,0.117212534
70,0.102474585
71,0.103751674
72,0.10517155
73,0.10598451
74,0.10837716
75,0.0429146
76,0.04544878
77,0.04859644
78,0.050211072
79,0.053949684
80,0.019117206
81,0.02220869
82,0.026297241
83,0.028506398
84,0.0329974
85,0.020984024
86,0.023802966
87,0.027541757
88,0.029523075
89,0.03411874
90,0.0065609515
91,0.009624153
92,0.013796389
93,0.016123146
94,0.021074712
95,0.02040419
96,0.023405284
97,0.027230233
98,0.029294014
99,0.03376469
100,0.023551285
101,0.026488513
102,0.030262023
103,0.032429814
104,0.036893934
105,0.034733504
106,0.037358195
107,0.04067439
108,0.04251522
109,0.046658814
110,0.041657567
111,0.044192463
112,0.0474495
113,0.049306184
114,0.05331388
115,0.04182735
116,0.044316232
117,0.04755491
118,0.049369425
119,0.053333074
120,0.040929407
121,0.04355356
122,0.04682061
123,0.04857397
124,0.052518785
125,0.038353592
126,0.040828854
127,0.04402134
128,0.045823485
129,0.04977557
130,0.06310311
131,0.06542057
132,0.068042696
133,0.06934458
134,0.072728544
135,0.06114638
136,0.06340724
137,0.06601238
138,0.067478895
139,0.07082933
140,0.066684335
141,0.06881535
142,0.071270704
143,0.07266283
144,0.075829044
145,0.06876007
146,0.07101071
147,0.073296696
148,0.07470867
149,0.07785255
150,0.060629964
151,0.062720895
152,0.06520268
153,0.06668979
154,0.06993045
155,0.0606499
156,0.06303674
157,0.0655995
158,0.0670681
159,0.070350006
160,0.08615273
161,0.088198006
162,0.09017441
163,0.091380686
164,0.09407547
165,0.08515155
166,0.08662382
167,0.08837229
168,0.08923708
169,0.09189615
170,0.07626593
171,0.077899516
172,0.07994291
173,0.08088787
174,0.08373323
175,0.07543713
176,0.0770762
177,0.079024136
178,0.079932794
179,0.08290756
180,0.07026419
181,0.0720457
182,0.07418448
183,0.07522255
184,0.07824066
185,0.07322508
186,0.07514785
187,0.07714859
188,0.07840754
189,0.08139229
190,0.076646775
191,0.078258246
192,0.08017793
193,0.08118877
194,0.08411063
195,0.07530975
196,0.07702488
197,0.078978896
198,0.07982561
199,0.0827488
200,0.072604686
201,0.0743649
202,0.076346695
203,0.077325284
204,0.08044949
205,0.07066113
206,0.07239722
207,0.0745278
208,0.07556981
209,0.0785588
210,0.06748402
211,0.069238186
212,0.07152411
213,0.07282291
214,0.07605681
215,0.06919244
216,0.07121089
217,0.073293775
218,0.074613824
219,0.077663705
220,0.042253077
221,0.04410842
222,0.046763837
223,0.048177034
224,0.051960766
225,0.030446738
226,0.033026308
227,0.03620708
228,0.03795591
229,0.042030066
230,0.0320684
231,0.03482315
232,0.037988037
233,0.039595723
234,0.043706447
235,0.03671339
236,0.039434046
237,0.042780638
238,0.04445246
239,0.048523337
240,0.043642104
241,0.046186715
242,0.049042106
243,0.050761163
244,0.054529905
245,0.044195205
246,0.046614528
247,0.049607903
248,0.051282734
249,0.055049658
250,0.04055378
251,0.04295826
252,0.045915842
253,0.047593594
254,0.0514521
255,0.043028474
256,0.04580465
257,0.048792392
258,0.05046892
259,0.054248005
260,0.047427982
261,0.049975395
262,0.052793384
263,0.054441303
264,0.058110654
265,0.033397466
266,0.035737753
267,0.03890592
268,0.040527105
269,0.04463604
270,0.024503142
271,0.027337193
272,0.030862242
273,0.03289476
274,0.037344515
275,0.028490007
276,0.031303287
277,0.034656852
278,0.036690205
279,0.04099387
280,0.04288119
281,0.045713574
282,0.048875332
283,0.050744355
284,0.05454305
285,0.07466555
286,0.07687232
287,0.07932904
288,0.080510676
289,0.0834669
290,0.08407837
291,0.08582094
292,0.08780384
293,0.08870779
294,0.09147525
295,0.0882483
296,0.090081975
297,0.092224896
298,0.09320445
299,0.09601097
300,0.089340985
301,0.09109625
302,0.0932256
303,0.09430453
304,0.09697017
305,0.080736846
306,0.082242936
307,0.084471285
308,0.08553201
309,0.08846429
310,0.07578045
311,0.07760215
312,0.0802401
313,0.08135164
314,0.08446272
315,0.08177906
316,0.08359134
317,0.08581093
318,0.08693071
319,0.08994606
320,0.080657184
321,0.08270073
322,0.08492118
323,0.08596364
324,0.08903682
325,0.08130422
326,0.082910076
327,0.08506343
328,0.08609584
329,0.08909553
330,0.0872346
331,0.08881703
332,0.09079987
333,0.09184718
334,0.09445229
335,0.075684994
336,0.07737857
337,0.0796743
338,0.08074732
339,0.083851516
340,0.07021585
341,0.07223852
342,0.07480937
343,0.07617584
344,0.07934846
345,0.078229815
346,0.08002174
347,0.082378924
348,0.08339833
349,0.08640343
350,0.07755658
351,0.079372704
352,0.0816111
353,0.08279608
354,0.08577123
355,0.083710924
356,0.085437596
357,0.08766562
358,0.08870679
359,0.09151469
360,0.0876348
361,0.08910361
362,0.09112936
363,0.09213294
364,0.09479557
365,0.09183642
366,0.09347135
367,0.09547469
368,0.096392915
369,0.099039406
370,0.083731025
371,0.085235804
372,0.08724621
373,0.08839044
374,0.09139776
375,0.089444414
376,0.09119806
377,0.09327254
378,0.09433448
379,0.097044736
380,0.23021199
381,0.23151907
382,0.23140442
383,0.23135157
384,0.23170288
385,0.2195863
386,0.21970198
387,0.21920273
388,0.21897045
389,0.21938089
390,0.20589557
391,0.20573711
392,0.20536333
393,0.2051829
394,0.20577729
395,0.19917811
396,0.19953358
397,0.19939138
398,0.19933048
399,0.20000924
400,0.21559098
401,0.2161276
402,0.21585132
403,0.21581608
404,0.21624613
405,0.23563534
406,0.23583853
407,0.23516148
408,0.23485196
409,0.23497114
410,0.23026025
411,0.2303162
412,0.22956333
413,0.22920182
414,0.22942361
415,0.22826922
416,0.22809356
417,0.22717632
418,0.2267955
419,0.22693364
420,0.2181596
421,0.21828404
422,0.21769011
423,0.21733838
424,0.21758737
425,0.2182529
426,0.21842058
427,0.21793856
428,0.21757665
429,0.21787009
430,0.19829674
431,0.19829309
432,0.1978783
433,0.19761685
434,0.19821942
435,0.19417417
436,0.1944404
437,0.19413292
438,0.19396502
439,0.19456607
440,0.19421378
441,0.19443999
442,0.19409558
443,0.19390044
444,0.19456534
445,0.19719762
446,0.1976329
447,0.19744752
448,0.19731392
449,0.19793008
450,0.18499225
451,0.18510106
452,0.18487298
453,0.18474236
454,0.1854989
455,0.18511961
456,0.18560034
457,0.18551597
458,0.18544006
459,0.18620332
460,0.18665615
461,0.18733047
462,0.18742555
463,0.18736334
464,0.18813826
465,0.18420415
466,0.18447389
467,0.18436855
468,0.18418479
469,0.18491465
470,0.18316004
471,0.18358028
472,0.18352392
473,0.18342434
474,0.18419458
475,0.18480183
476,0.18521738
477,0.18525448
478,0.18522127
479,0.1860303
480,0.18678632
481,0.18703604
482,0.18699816
483,0.18698421
484,0.18778929
485,0.18692625
486,0.18741894
487,0.18746707
488,0.18738788
489,0.18814132
490,0.18006986
491,0.18042198
492,0.18061343
493,0.18063058
494,0.1815933
495,0.2006539
496,0.20103452
497,0.20084223
498,0.20067517
499,0.20124215
500,0.19395965
501,0.19414006
502,0.19404742
503,0.19392982
504,0.19461752
505,0.19271559
506,0.19285475
507,0.1927892
508,0.19270892
509,0.19347957
510,0.18075916
511,0.1811778
512,0.18124804
513,0.18108991
514,0.18192834
515,0.18164715
516,0.1821725
517,0.1824148
518,0.1825006
519,0.18346347
520,0.19305407
521,0.1934197
522,0.19347677
523,0.19336276
524,0.19409633
525,0.18713671
526,0.18738693
527,0.18752652
528,0.1874543
529,0.188275
530,0.16832964
531,0.16876215
532,0.16921759
533,0.1692763
534,0.17042787
535,0.16966611
536,0.17014521
537,0.17062262
538,0.17070535
539,0.17185222
540,0.16232458
541,0.1627074
542,0.16318949
543,0.16333267
544,0.16463284
545,0.16429375
546,0.16491134
547,0.16552682
548,0.16567785
549,0.16687804
550,0.16208774
551,0.16270882
552,0.16327557
553,0.16346252
554,0.16478424
555,0.15902399
556,0.15971825
557,0.1603832
558,0.16059127
559,0.1618998
560,0.16276452
561,0.16334288
562,0.16390628
563,0.16400512
564,0.16520362
565,0.16290563
566,0.16345318
567,0.16406105
568,0.16419189
569,0.1653672
570,0.16900948
571,0.16955553
572,0.16994885
573,0.17008208
574,0.17123948
575,0.17020103
576,0.17076288
577,0.17110822
578,0.17120296
579,0.17243211
580,0.16665472
581,0.16714878
582,0.1675782
583,0.16769913
584,0.16887023
585,0.1633259
586,0.1639567
587,0.16446403
588,0.16450496
589,0.16579741
590,0.16458344
591,0.16509557
592,0.1656068
593,0.16572109
594,0.16689491
595,0.16694283
596,0.16770071
597,0.16828485
598,0.16837452
599,0.16952907
600,0.16212285
601,0.16252539
602,0.1630745
603,0.16317874
604,0.16447495
605,0.16651319
606,0.16719943
607,0.16775833
608,0.16794965
609,0.16914636
610,0.16229826
611,0.1627706
612,0.16333312
613,0.16348535
614,0.16480565
615,0.17120993
616,0.17187451
617,0.17243043
618,0.17251757
619,0.17373268
620,0.16698155
621,0.16750276
622,0.16804484
623,0.16815776
624,0.16932172
625,0.16781488
626,0.16836336
627,0.16885854
628,0.16905059
629,0.17029777
630,0.16768235
631,0.16836584
632,0.16889778
633,0.16908482
634,0.17033306
635,0.18756871
636,0.1882272
637,0.18847999
638,0.18849525
639,0.18933308
640,0.17616051
641,0.17654796
642,0.17688166
643,0.17682874
