,Pred_Ent
0,0.08608973
1,0.087550014
2,0.08903146
3,0.08826737
4,0.092437
5,0.09824689
6,0.10196967
7,0.10389508
8,0.11054664
9,0.11535855
10,0.12057267
11,0.12557726
12,0.13254161
13,0.13447507
14,0.13265337
15,0.13236143
16,0.13048327
17,0.12899953
18,0.1303137
19,0.12986785
20,0.13394518
21,0.1362405
22,0.13806142
23,0.14060889
24,0.13738626
25,0.13610451
26,0.13308838
27,0.12944354
28,0.1251071
29,0.12462361
30,0.11878844
31,0.12068099
32,0.11903269
33,0.11727293
34,0.11828536
35,0.11949032
36,0.11913502
37,0.117100164
38,0.11759342
39,0.116661936
40,0.11664901
41,0.115092054
42,0.11672084
43,0.11545254
44,0.11626582
45,0.12068311
46,0.12214404
47,0.122858874
48,0.123427846
49,0.122166894
50,0.123691745
51,0.123134606
52,0.12388574
53,0.11712579
54,0.112060875
55,0.1084421
56,0.108683616
57,0.110392086
58,0.10981374
59,0.107632115
60,0.106796876
61,0.1071265
62,0.10621758
63,0.106184386
64,0.10757792
65,0.107668586
66,0.10543457
67,0.10624979
68,0.10528382
69,0.10419645
70,0.10323387
71,0.1003394
72,0.09757468
73,0.09459676
74,0.0929683
75,0.06908911
76,0.035589613
77,0.020664088
78,0.031879224
79,0.032842696
80,0.017837547
81,0.008518636
82,0.008726537
83,0.0112846345
84,0.014666721
85,0.013594702
86,0.014933035
87,0.015846238
88,0.011783689
89,0.010216564
90,0.009634763
91,0.0072468966
92,0.0035360157
93,0.0023343414
94,0.00087195635
95,0.008333176
96,0.009983733
97,0.011962682
98,0.011858091
99,0.014825463
100,0.01690729
101,0.015685335
102,0.016379014
103,0.020225026
104,0.024905525
105,0.027354605
106,0.027276032
107,0.028804474
108,0.030298702
109,0.03180719
110,0.033991925
111,0.035769977
112,0.034497805
113,0.03458593
114,0.034870304
115,0.035801463
116,0.037674718
117,0.036142446
118,0.033531614
119,0.034558423
120,0.034065068
121,0.034613445
122,0.03504216
123,0.033263884
124,0.03506606
125,0.033836372
126,0.033628516
127,0.032494225
128,0.033539124
129,0.034352325
130,0.040184878
131,0.047865577
132,0.053150102
133,0.05985307
134,0.055001713
135,0.055516236
136,0.05470442
137,0.056316458
138,0.05749645
139,0.05933038
140,0.05967907
141,0.05971306
142,0.060085505
143,0.060576916
144,0.059322715
145,0.06251706
146,0.06314207
147,0.061414637
148,0.061947696
149,0.061575085
150,0.060956195
151,0.057502955
152,0.056785665
153,0.05685877
154,0.055401385
155,0.053706877
156,0.054161273
157,0.051389337
158,0.052137367
159,0.0561373
160,0.058524318
161,0.06635994
162,0.07403875
163,0.08169922
164,0.08429734
165,0.08684017
166,0.082017824
167,0.07973402
168,0.07890872
169,0.078503646
170,0.076531045
171,0.0749559
172,0.07437054
173,0.071651615
174,0.07210063
175,0.06946928
176,0.07024731
177,0.06889006
178,0.0683852
179,0.067524455
180,0.0682922
181,0.06672579
182,0.066515855
183,0.06686622
184,0.065094985
185,0.06726694
186,0.068558164
187,0.070905015
188,0.07119454
189,0.07279248
190,0.072385736
191,0.07445157
192,0.07127295
193,0.07065351
194,0.07090087
195,0.06982698
196,0.07092774
197,0.07080176
198,0.06712895
199,0.06675897
200,0.068418376
201,0.068424456
202,0.06738421
203,0.066165805
204,0.06735858
205,0.06717439
206,0.06693556
207,0.06617195
208,0.065352544
209,0.06508275
210,0.06563784
211,0.06496966
212,0.06303219
213,0.063625805
214,0.06298887
215,0.064795874
216,0.06175328
217,0.062826335
218,0.062204607
219,0.060341172
220,0.06110146
221,0.056868084
222,0.046537958
223,0.039626084
224,0.030774765
225,0.027789004
226,0.023297302
227,0.021558799
228,0.023369871
229,0.024285607
230,0.024386965
231,0.025446765
232,0.026801087
233,0.025704302
234,0.026275702
235,0.025025897
236,0.029455744
237,0.03096652
238,0.03193962
239,0.033471458
240,0.034659334
241,0.036022983
242,0.03877105
243,0.03814184
244,0.036669895
245,0.038634874
246,0.039585426
247,0.037401877
248,0.035910383
249,0.036353268
250,0.035237074
251,0.035942584
252,0.03279821
253,0.033117346
254,0.033642657
255,0.03215695
256,0.032176428
257,0.03244192
258,0.034669764
259,0.03506814
260,0.0354603
261,0.03669218
262,0.03901448
263,0.039909147
264,0.03970795
265,0.038582206
