,Pred_Ent
0,0.8904901
1,0.9008661
2,0.90666795
3,0.915513
4,0.9219458
5,0.9325083
6,0.92584497
7,0.91667837
8,0.9110837
9,0.90421623
10,0.8790963
11,0.85376185
12,0.82752526
13,0.8070729
14,0.78448606
15,0.78735167
16,0.7727556
17,0.75750345
18,0.7386936
19,0.7216057
20,0.7060148
21,0.6968758
22,0.6868024
23,0.6744684
24,0.6634597
25,0.6522609
26,0.64332026
27,0.6344702
28,0.6242472
29,0.61453617
30,0.59781504
31,0.5892918
32,0.58090794
33,0.5716788
34,0.56307834
35,0.54252297
36,0.533513
37,0.52514577
38,0.5160336
39,0.50761455
40,0.48527914
41,0.47605062
42,0.46779054
43,0.45884052
44,0.45039126
45,0.4302898
46,0.42096582
47,0.41274065
48,0.4040455
49,0.3956746
50,0.37915367
51,0.37077928
52,0.36342162
53,0.3559967
54,0.34875995
55,0.33742902
56,0.33202186
57,0.32925028
58,0.3261272
59,0.32366517
60,0.3577981
61,0.37381977
62,0.38953543
63,0.40680718
64,0.42849195
65,0.4850415
66,0.51871383
67,0.55043477
68,0.5844506
69,0.61805123
70,0.67223483
71,0.7049226
72,0.7325672
73,0.7628634
74,0.7902388
75,0.76797706
76,0.7685312
77,0.7677945
78,0.77294457
79,0.7739201
80,0.8035278
81,0.81505954
82,0.8231344
83,0.8259735
84,0.8304009
85,0.82896847
86,0.83834857
87,0.8459363
88,0.8498797
89,0.8537385
90,0.84136987
91,0.84038615
92,0.84032065
93,0.8402988
94,0.8376676
95,0.8256363
96,0.81878847
97,0.81387424
98,0.80920124
99,0.8017798
100,0.790618
101,0.7839934
102,0.77682567
103,0.77026844
104,0.76208884
105,0.7510138
106,0.74612814
107,0.7387732
108,0.7339209
109,0.729395
110,0.70828974
111,0.70227027
112,0.6952553
113,0.6884121
114,0.6822849
115,0.6699066
116,0.6643372
117,0.65749145
118,0.6512447
119,0.64560306
120,0.62554234
121,0.6187327
122,0.6128879
123,0.6069349
124,0.601205
125,0.60618013
126,0.60787684
127,0.6089245
128,0.60841405
129,0.60910434
130,0.61126274
131,0.6051529
132,0.5988951
133,0.5958291
134,0.59166646
135,0.59669775
136,0.59033424
137,0.5831897
138,0.5765845
139,0.56980413
140,0.5793087
141,0.5766832
142,0.5732112
143,0.56984043
144,0.5666383
145,0.57140064
146,0.56913936
147,0.56566656
148,0.5630921
149,0.5601912
150,0.5625997
151,0.55799675
152,0.5523916
153,0.5478888
154,0.5427341
155,0.52876014
156,0.52609754
157,0.5233564
158,0.5240068
159,0.52562135
160,0.5080437
161,0.5067219
162,0.50912714
163,0.51510954
164,0.52092206
165,0.50823337
166,0.51740694
167,0.53015506
168,0.54315674
169,0.55521905
170,0.56024086
171,0.57731456
172,0.5936426
173,0.6094971
174,0.6245754
175,0.6314667
176,0.6450567
177,0.6569669
178,0.67089885
179,0.68207103
180,0.68113774
181,0.68912697
182,0.6949902
183,0.7025906
184,0.7076659
185,0.7043292
186,0.70519483
187,0.7057479
188,0.7065586
189,0.70545477
190,0.69826955
191,0.69591594
192,0.69226027
193,0.69021
194,0.68707025
195,0.6832152
196,0.6796902
197,0.67357934
198,0.6693078
199,0.66509086
200,0.6461433
201,0.63775927
202,0.6282385
203,0.62097704
204,0.61337286
205,0.6092021
206,0.6012657
207,0.5937144
208,0.5863103
209,0.57884777
210,0.5727853
211,0.5671961
212,0.55996263
213,0.5526883
214,0.5463684
215,0.53364444
216,0.5259296
217,0.5186372
218,0.51161414
219,0.50462323
220,0.4920599
221,0.48435286
222,0.47715774
223,0.46990073
224,0.46318704
225,0.44769996
226,0.43891734
227,0.43119645
228,0.42316747
229,0.4157003
230,0.40568113
231,0.39702815
232,0.38905457
233,0.38082284
234,0.37300587
235,0.3587911
236,0.3507181
237,0.34329766
238,0.33560717
239,0.32814753
240,0.31571168
241,0.30799776
242,0.30042267
243,0.29342112
244,0.2860881
245,0.2751183
246,0.26769665
247,0.2601979
248,0.2536956
249,0.24668777
250,0.2362889
251,0.23521385
252,0.2334191
253,0.2349621
254,0.23715468
255,0.2367646
256,0.2456258
257,0.25728545
258,0.27181193
259,0.28708163
260,0.29508287
261,0.31207746
262,0.3326037
263,0.35439777
264,0.37506118
265,0.3975532
266,0.41854626
267,0.43898952
268,0.4590682
269,0.4785871
270,0.4938007
271,0.51145196
272,0.5276787
273,0.54457974
274,0.5596893
275,0.5713662
276,0.5839033
277,0.5940839
278,0.60509527
279,0.6150733
280,0.6225123
281,0.62825507
282,0.63363034
283,0.6382594
284,0.6426832
285,0.63852584
286,0.63752943
287,0.6350272
288,0.63417894
289,0.6328694
290,0.62902945
291,0.62504333
292,0.61916745
293,0.6152767
294,0.61109793
295,0.6075004
296,0.60127544
297,0.5948452
298,0.58913934
299,0.5842926
300,0.5808772
301,0.5753732
302,0.5694683
303,0.5642489
304,0.55871993
305,0.5507945
306,0.5450211
307,0.5370202
308,0.53005785
309,0.5232802
310,0.5172903
311,0.5095501
312,0.5016593
313,0.49429485
314,0.48740238
315,0.48522764
316,0.47918898
317,0.47219533
318,0.4659073
319,0.45968416
320,0.45307988
321,0.44679612
322,0.4398421
323,0.43389738
324,0.42783606
325,0.4190281
326,0.41222525
327,0.4046485
328,0.3980894
329,0.3912651
330,0.3802181
331,0.37286365
332,0.36501813
333,0.35780275
334,0.35052946
335,0.34189057
336,0.33500668
337,0.3272205
338,0.32057798
339,0.31370986
340,0.3085398
341,0.30227038
342,0.29525626
343,0.28964296
344,0.28347802
345,0.2800682
346,0.276117
347,0.2725355
348,0.27164805
349,0.2715602
350,0.27689034
351,0.28297505
352,0.29237315
353,0.30423987
354,0.31757718
355,0.34059536
356,0.36032894
357,0.3823942
358,0.4041801
359,0.4269199
360,0.4607002
361,0.4866597
362,0.5123364
363,0.5356339
364,0.55946296
365,0.58862835
366,0.6129846
367,0.6346118
368,0.65547127
369,0.675883
370,0.69801915
371,0.7160552
372,0.73146373
373,0.74591506
374,0.7598165
375,0.78178096
376,0.7922492
377,0.80240583
378,0.809251
379,0.8160102
380,0.8261713
381,0.8291637
382,0.8315482
383,0.8323579
384,0.8321894
385,0.84146494
386,0.84118813
387,0.83979934
388,0.8375265
389,0.8344102
390,0.8312272
391,0.82857764
392,0.82471293
393,0.8197155
394,0.8154362
395,0.8160757
396,0.81234443
397,0.80725926
398,0.8038841
399,0.80040073
400,0.78580266
401,0.7788456
402,0.77130765
403,0.76497513
404,0.75874436
405,0.7489759
406,0.7415498
407,0.7346191
408,0.7282666
409,0.7218462
410,0.71021324
411,0.7022964
412,0.69490963
413,0.68886834
414,0.68200254
415,0.67523724
416,0.6689033
417,0.6618587
418,0.65646815
419,0.6496731
420,0.64143586
421,0.636585
422,0.6304116
423,0.62548137
424,0.6196956
425,0.6122406
426,0.6070192
427,0.60074705
428,0.5960485
429,0.5907197
430,0.5813059
431,0.5742389
432,0.56589776
433,0.55934966
434,0.552195
435,0.54521585
436,0.5378313
437,0.5292425
438,0.5221354
439,0.5145207
440,0.50828004
441,0.50153476
442,0.49542147
443,0.49130976
444,0.4892056
445,0.49230808
446,0.49762702
447,0.5034354
448,0.51225936
449,0.523218
450,0.53105605
451,0.54793364
452,0.5658011
453,0.5848739
454,0.6039487
455,0.6166236
456,0.634637
457,0.6533418
458,0.6715811
459,0.68951297
460,0.719776
461,0.73864484
462,0.756186
463,0.77252644
464,0.7888391
465,0.8051538
466,0.82099587
467,0.8347073
468,0.84697455
469,0.85945356
470,0.8636146
471,0.87241083
472,0.8811855
473,0.8884078
474,0.89541507
475,0.89041704
476,0.8912559
477,0.8929933
478,0.89264745
479,0.89154035
480,0.8888904
481,0.88780606
482,0.88447213
483,0.8795649
484,0.8743649
485,0.86951274
486,0.8665777
487,0.86084086
488,0.85287344
489,0.84647495
490,0.8430382
491,0.83805317
492,0.8313368
493,0.8239305
494,0.8184156
495,0.8076505
496,0.8021615
497,0.79564244
498,0.78808093
499,0.7822542
500,0.7726256
501,0.76567924
502,0.75802374
503,0.7507657
504,0.7448577
505,0.7352074
506,0.7269574
507,0.718454
508,0.71101224
509,0.70379955
510,0.6901175
511,0.67989796
512,0.6711371
513,0.6625669
514,0.65434957
515,0.63981485
516,0.6306552
517,0.62135303
518,0.6115513
519,0.6038535
520,0.5933781
521,0.5850907
522,0.57552683
523,0.566152
524,0.55871046
525,0.54326105
526,0.5344349
527,0.5243734
528,0.5152742
529,0.50813204
530,0.49244618
531,0.48488164
532,0.47578388
533,0.46732855
534,0.4607255
535,0.44556248
536,0.43736348
537,0.42939818
538,0.4230306
539,0.41724226
540,0.417179
541,0.41793004
542,0.41675332
543,0.41969737
544,0.42616767
545,0.41913038
546,0.42413607
547,0.4303921
548,0.43997914
549,0.45157686
550,0.47177052
551,0.4843674
552,0.4986624
553,0.513437
554,0.5287942
555,0.55084324
556,0.56764907
557,0.58468693
558,0.6028013
559,0.6196418
560,0.621314
561,0.6322629
562,0.6413997
563,0.65141445
564,0.6609154
565,0.66725683
566,0.67550445
567,0.6827283
568,0.68817353
569,0.6927368
570,0.6839689
571,0.68487215
572,0.6865851
573,0.68375075
574,0.68204343
575,0.6808867
576,0.6756469
577,0.6703925
578,0.6645387
579,0.65868
580,0.6606429
581,0.6529202
582,0.64545435
583,0.63646173
584,0.62865174
585,0.6189065
586,0.6099756
587,0.60012937
588,0.5928684
589,0.5854421
590,0.58265746
591,0.5742983
592,0.5654231
593,0.55673945
594,0.54907274
595,0.5392438
596,0.53116345
597,0.52106273
598,0.5112661
599,0.5028277
600,0.49614686
601,0.48889628
602,0.4799009
603,0.47200727
604,0.46538854
605,0.45805937
606,0.45227185
607,0.44503614
608,0.43857315
609,0.43330336
610,0.42388338
611,0.41756147
612,0.40983027
613,0.40387604
614,0.39821142
615,0.39189893
616,0.38573405
617,0.376929
618,0.37203944
619,0.36676127
620,0.35931706
621,0.35335585
622,0.34536046
623,0.33983323
624,0.33446288
625,0.32948893
626,0.3230704
627,0.31466407
628,0.30922785
629,0.30315924
630,0.28798494
631,0.27999213
632,0.26929623
633,0.26109162
634,0.2508892
635,0.24868423
636,0.24464759
637,0.23849212
638,0.23212531
639,0.22449361
640,0.21975599
641,0.21838784
642,0.21605805
643,0.21278
644,0.20935819
645,0.20350337
646,0.20346382
647,0.20151065
648,0.1995382
649,0.19578172
650,0.19413492
651,0.19319427
652,0.19102894
653,0.18843949
654,0.18598936
655,0.18888673
656,0.18837216
657,0.18650435
658,0.18390146
659,0.1825472
660,0.1853382
661,0.18546396
662,0.18446015
663,0.18269849
664,0.18139237
665,0.17670453
666,0.17505178
667,0.17239687
668,0.16902259
669,0.16581075
670,0.16719988
671,0.16481566
672,0.16108747
673,0.15676793
674,0.15254752
675,0.15143621
676,0.14896445
677,0.14508016
678,0.1405049
679,0.13647886
680,0.13144904
681,0.12570314
682,0.11906712
683,0.11194423
684,0.10572924
685,0.104029074
686,0.09950302
687,0.09459242
688,0.090390846
689,0.085994154
690,0.086864755
691,0.08458059
692,0.08183085
693,0.079674736
694,0.07767044
695,0.07099404
696,0.069123685
697,0.06612705
698,0.06501822
699,0.06350798
700,0.062554486
701,0.06134373
702,0.058793075
703,0.057783604
704,0.056824222
705,0.056879982
706,0.05818273
707,0.05778134
708,0.057855338
709,0.05781362
710,0.059972487
711,0.06097258
712,0.05975095
713,0.06080251
714,0.061234485
715,0.060787782
716,0.059611373
717,0.05622331
718,0.054755896
719,0.052873306
720,0.056188285
721,0.05435679
722,0.049481567
723,0.04718314
724,0.043784875
725,0.050918594
726,0.049109027
727,0.046099324
728,0.044958405
729,0.043551117
730,0.041334324
731,0.040734954
732,0.039044723
733,0.04047499
734,0.042928893
735,0.038875088
736,0.041137688
737,0.044183683
738,0.048744235
739,0.05531649
740,0.061538786
741,0.074369155
742,0.08732779
743,0.10026888
744,0.11488116
745,0.1433256
746,0.16977975
747,0.19564916
748,0.2202996
749,0.24572165
750,0.28783005
751,0.32573125
752,0.3597913
753,0.3886413
754,0.4168364
755,0.40590572
756,0.4080976
757,0.4087479
758,0.41468203
759,0.41768885
760,0.44561368
761,0.45218697
762,0.4579158
763,0.45995802
764,0.46313503
765,0.45227957
766,0.4530187
767,0.45245337
768,0.45036855
769,0.44825804
770,0.44332856
771,0.4339252
772,0.42264348
773,0.41243327
774,0.4021664
775,0.39758444
776,0.39328125
777,0.38893813
778,0.382013
779,0.3794815
780,0.35885173
781,0.35314703
782,0.34693456
783,0.34067613
784,0.33466563
785,0.31641018
786,0.30863133
787,0.29889262
788,0.2892122
789,0.2792696
790,0.27062577
791,0.2624392
792,0.25270817
793,0.24331537
794,0.23374334
795,0.22345246
796,0.21560302
797,0.20661862
798,0.1983287
799,0.19024155
800,0.17599258
801,0.16944021
802,0.16217883
803,0.15631962
804,0.15027761
805,0.13841072
806,0.13158423
807,0.124222636
808,0.11874737
809,0.11238247
810,0.10248366
811,0.093978
812,0.08505518
813,0.078451805
814,0.070793614
815,0.06407783
816,0.05651572
817,0.04857564
818,0.042547066
819,0.035726238
820,0.02676389
821,0.020086296
822,0.01271321
823,0.0073616914
824,0.0014810748
825,0.0018943101
826,0.0030414686
827,0.0032428289
828,0.006037767
829,0.009940896
830,0.015428968
831,0.02783154
832,0.041130584
833,0.056827016
834,0.07451942
835,0.093588084
836,0.11666962
837,0.1399981
838,0.16428313
839,0.18711531
840,0.2151454
841,0.24101102
842,0.26577842
843,0.28924116
844,0.31058666
845,0.33901793
846,0.36147135
847,0.38232905
848,0.40234414
849,0.42047313
850,0.437469
851,0.45157248
852,0.46395367
853,0.4760176
854,0.48666131
855,0.48885685
856,0.49282694
857,0.4968819
858,0.49987704
859,0.50369674
860,0.5151298
861,0.5188078
862,0.5213981
863,0.52266777
864,0.5246865
865,0.51228774
866,0.50778073
867,0.50116193
868,0.4976762
869,0.49390167
870,0.49594897
871,0.4895052
872,0.48291188
873,0.47734287
874,0.47320402
875,0.46851707
876,0.46240175
877,0.45560497
878,0.44969708
879,0.44477108
880,0.43911672
881,0.43249986
882,0.42377153
883,0.416026
884,0.40876848
885,0.4077003
886,0.4007165
887,0.39257744
888,0.38517457
889,0.378549
890,0.36988664
891,0.36241576
892,0.35452908
893,0.3472191
894,0.34030348
895,0.33505353
896,0.3278432
897,0.31990805
898,0.3129776
899,0.3062548
900,0.29998332
901,0.29308677
902,0.28546256
903,0.27876025
904,0.27217215
905,0.26364484
906,0.25727212
907,0.25013816
908,0.24390748
909,0.23756628
910,0.2303123
911,0.22328371
912,0.21523847
913,0.20877779
914,0.2016947
915,0.19553581
916,0.1888248
917,0.18095964
918,0.1746938
919,0.16763142
920,0.16493131
921,0.16156188
922,0.15791698
923,0.15664032
924,0.15539141
925,0.16078009
926,0.16761136
927,0.17482065
928,0.18517801
929,0.1964891
930,0.21112591
931,0.22928172
932,0.24700786
933,0.26736766
934,0.2877575
935,0.31530702
936,0.33798406
937,0.36073178
938,0.3824049
939,0.40311992
940,0.4233238
941,0.44377998
942,0.46266487
943,0.4813313
944,0.49859303
945,0.5132686
946,0.5291064
947,0.5420765
948,0.55535775
949,0.56762826
950,0.5717923
951,0.5804128
952,0.5877078
953,0.5943016
954,0.6013658
955,0.6038454
956,0.6057361
957,0.60659444
958,0.60695434
959,0.60792536
960,0.608852
961,0.607424
962,0.6037583
963,0.6003647
964,0.5975149
965,0.5923175
966,0.5861745
967,0.58070594
968,0.57497907
969,0.57113177
970,0.5686481
971,0.5632029
972,0.5575845
973,0.55194575
974,0.5463094
975,0.5417206
976,0.53761804
977,0.53231704
978,0.52643603
979,0.52133965
980,0.51362956
981,0.5091801
982,0.50310665
983,0.49739444
984,0.4921804
985,0.48399442
986,0.47984225
987,0.4735077
988,0.46841925
989,0.46325544
990,0.44971198
991,0.4446844
992,0.43817624
993,0.43255812
994,0.42721808
995,0.4203894
996,0.4147934
997,0.40782595
998,0.4018163
999,0.39558005
1000,0.38491958
1001,0.37875152
1002,0.37120548
1003,0.36443847
1004,0.35732603
1005,0.348575
1006,0.34333047
1007,0.3361498
1008,0.32991964
1009,0.3235014
1010,0.3113687
1011,0.3055706
1012,0.29812503
1013,0.29177308
1014,0.2848696
1015,0.28040212
1016,0.27698895
1017,0.27245942
1018,0.26918578
1019,0.26639342
1020,0.26092952
1021,0.26612177
1022,0.2701441
1023,0.27668762
1024,0.28537777
1025,0.2898494
1026,0.3052712
1027,0.3207146
1028,0.33777797
1029,0.35550222
1030,0.3783456
1031,0.4000236
1032,0.42080262
1033,0.44193596
1034,0.4619247
1035,0.47732568
1036,0.49710768
1037,0.5138464
1038,0.5307378
1039,0.5465023
1040,0.55316466
1041,0.56226945
1042,0.5677353
1043,0.57561463
1044,0.5839562
1045,0.5888096
1046,0.5924705
1047,0.5951711
1048,0.5981565
1049,0.60299957
1050,0.6061091
1051,0.60831
1052,0.60914457
1053,0.60886097
1054,0.6103258
1055,0.6065981
1056,0.60578054
1057,0.6042934
1058,0.6038918
1059,0.60408807
1060,0.597694
1061,0.59190434
1062,0.58816147
1063,0.58517236
1064,0.5840815
1065,0.574964
1066,0.56906617
1067,0.56399536
1068,0.55945206
1069,0.5548206
1070,0.55099833
1071,0.54524386
1072,0.5392958
1073,0.5339402
1074,0.52803814
1075,0.5192845
1076,0.51379025
1077,0.5064587
1078,0.500734
1079,0.4945048
1080,0.48793423
1081,0.48153922
1082,0.4737775
1083,0.46759337
1084,0.46118945
1085,0.4546566
1086,0.44846502
1087,0.44142738
1088,0.43528855
1089,0.4291497
1090,0.4223631
1091,0.41545472
1092,0.40771142
1093,0.40115714
1094,0.39409778
1095,0.3847919
1096,0.37813768
1097,0.37044865
1098,0.36388773
1099,0.35669112
1100,0.3468501
1101,0.34102064
1102,0.33403686
1103,0.32808757
1104,0.32152975
1105,0.31078738
1106,0.30509448
1107,0.29806706
1108,0.29256278
1109,0.28614348
1110,0.27995193
1111,0.27547646
1112,0.27018747
1113,0.2664793
1114,0.263222
1115,0.25329444
1116,0.25587407
1117,0.25716686
1118,0.2615999
1119,0.2678817
1120,0.28048134
1121,0.2962889
1122,0.31207335
1123,0.3300653
1124,0.34954947
1125,0.3675695
1126,0.39089644
1127,0.41351318
1128,0.4373646
1129,0.46044534
1130,0.48034155
1131,0.5046813
1132,0.52586305
1133,0.5462203
1134,0.56627
1135,0.58569115
1136,0.6053268
1137,0.6217995
1138,0.63789904
1139,0.6528741
1140,0.6619663
1141,0.67430186
1142,0.6847712
1143,0.69369626
1144,0.7027459
1145,0.7071175
1146,0.7125839
1147,0.717576
1148,0.7208935
1149,0.72464424
1150,0.71985245
1151,0.71987784
1152,0.71828115
1153,0.71725583
1154,0.715409
1155,0.7100617
1156,0.70637053
1157,0.70088327
1158,0.69634706
1159,0.6917123
1160,0.68547696
1161,0.6792415
1162,0.6713341
1163,0.66558266
1164,0.6593718
1165,0.6508854
1166,0.64428085
1167,0.63704085
1168,0.63107467
1169,0.62409014
1170,0.6132052
1171,0.6069936
1172,0.59944195
1173,0.5927566
1174,0.585682
1175,0.5727724
1176,0.56327105
1177,0.55352116
1178,0.5454281
1179,0.53669095
1180,0.52534425
1181,0.51615286
1182,0.50651026
1183,0.49781445
1184,0.48869088
1185,0.47984666
1186,0.47357187
1187,0.46674973
1188,0.45908427
1189,0.45234603
1190,0.43457055
1191,0.42674235
1192,0.41873607
1193,0.41077092
1194,0.40331474
1195,0.3950929
1196,0.38808107
1197,0.38009888
1198,0.37290213
1199,0.3661427
1200,0.3519929
1201,0.34481266
1202,0.33724052
1203,0.33009923
1204,0.32340467
1205,0.31740826
1206,0.31075758
1207,0.3029598
1208,0.2966448
1209,0.2902239
1210,0.2852277
1211,0.28562805
1212,0.2852788
1213,0.2880744
1214,0.29287043
1215,0.2943122
1216,0.30584672
1217,0.3186198
1218,0.3330233
1219,0.34924138
1220,0.37251544
1221,0.39447474
1222,0.41789612
1223,0.44100574
1224,0.46377838
1225,0.5096285
1226,0.54147196
1227,0.5703523
1228,0.5967544
1229,0.62286556
1230,0.6405322
1231,0.66406745
1232,0.68331873
1233,0.70318764
1234,0.72186977
1235,0.740184
1236,0.7546082
1237,0.7651502
1238,0.77487034
1239,0.7843955
1240,0.7909509
1241,0.79457945
1242,0.7986482
1243,0.80060816
1244,0.8011211
1245,0.8075218
1246,0.805383
1247,0.8036151
1248,0.8022343
1249,0.79845715
1250,0.7960625
1251,0.78835464
1252,0.78170425
1253,0.7746201
1254,0.7658031
1255,0.76139235
1256,0.7523539
1257,0.74303865
1258,0.7351578
1259,0.72736084
1260,0.7279856
1261,0.72131586
1262,0.7144916
1263,0.7078754
1264,0.70175004
1265,0.69368106
1266,0.6863541
1267,0.67923343
1268,0.6711579
1269,0.6639043
1270,0.65089136
1271,0.6409978
1272,0.63194263
1273,0.62339914
1274,0.6152839
1275,0.6114456
1276,0.6041252
1277,0.59663427
1278,0.58893454
1279,0.5817155
1280,0.5643221
1281,0.5572845
1282,0.5495376
1283,0.5418936
1284,0.5349867
1285,0.5198392
1286,0.511882
1287,0.50373286
1288,0.4958669
1289,0.48852664
1290,0.47940397
1291,0.4709423
1292,0.46252695
1293,0.4544829
1294,0.44673082
1295,0.43871617
1296,0.4306914
1297,0.42278102
1298,0.4149522
1299,0.4074408
1300,0.4010858
1301,0.39390954
1302,0.38636887
1303,0.37928948
1304,0.3723364
1305,0.35910004
1306,0.3571021
1307,0.35634357
1308,0.35792947
1309,0.36107057
1310,0.3571847
1311,0.36258632
1312,0.37101322
1313,0.38244742
1314,0.39592206
1315,0.41278964
1316,0.42947847
1317,0.4488256
1318,0.46923584
1319,0.48927537
1320,0.5161027
1321,0.53765154
1322,0.5581504
1323,0.57836515
1324,0.5972349
1325,0.6057981
1326,0.6226822
1327,0.6375867
1328,0.6522041
1329,0.6657596
1330,0.6807397
1331,0.69292784
1332,0.7027667
1333,0.71272904
1334,0.721739
1335,0.7228351
1336,0.7272708
1337,0.7311513
1338,0.7331726
1339,0.7349201
1340,0.73340726
1341,0.7318021
1342,0.7297708
1343,0.72788703
1344,0.72528756
1345,0.72083193
1346,0.71325326
1347,0.7054238
1348,0.7003237
1349,0.69361246
1350,0.68052655
1351,0.67153406
1352,0.6624168
1353,0.65432775
1354,0.6469014
1355,0.62637824
1356,0.61670154
1357,0.60724694
1358,0.5986901
1359,0.5906707
1360,0.5790385
1361,0.5708505
1362,0.56274056
1363,0.5532229
1364,0.54491395
1365,0.53016025
1366,0.5226483
1367,0.5150982
1368,0.5064911
1369,0.4990242
1370,0.48365635
1371,0.4761404
1372,0.4688113
1373,0.4609215
1374,0.45413452
1375,0.4332984
1376,0.425943
1377,0.41833234
1378,0.41075945
1379,0.4044786
1380,0.38744903
1381,0.3796804
1382,0.3719146
1383,0.36427528
1384,0.35757115
1385,0.34199256
1386,0.33370367
1387,0.3255812
1388,0.31792116
1389,0.31089687
1390,0.29928935
1391,0.29130378
1392,0.28326812
1393,0.27636847
1394,0.26942557
1395,0.26747018
1396,0.26085654
1397,0.2539808
1398,0.24850667
1399,0.24282837
1400,0.24294512
1401,0.24133173
1402,0.24039762
1403,0.24213955
1404,0.2442136
1405,0.24980627
1406,0.25882882
1407,0.26989633
1408,0.28319666
1409,0.29852414
1410,0.32568395
1411,0.3484791
1412,0.37211254
1413,0.39588743
1414,0.41910857
1415,0.4485191
1416,0.47472477
1417,0.4995998
1418,0.52376986
1419,0.54652077
1420,0.5637343
1421,0.5837188
1422,0.6011942
1423,0.618629
1424,0.6344694
1425,0.6566076
1426,0.6735998
1427,0.6875529
1428,0.701037
1429,0.7137402
1430,0.73053306
1431,0.74618167
1432,0.75991964
1433,0.7697468
1434,0.78014994
1435,0.7864371
1436,0.7879654
1437,0.7888305
1438,0.79110366
1439,0.7920217
1440,0.7895606
1441,0.785976
1442,0.78191674
1443,0.7772635
1444,0.7723534
1445,0.7690454
1446,0.7616937
1447,0.7539926
1448,0.74630237
1449,0.73876137
1450,0.7446076
1451,0.7391054
1452,0.731302
1453,0.726035
1454,0.721477
1455,0.7119317
1456,0.7048283
1457,0.69788903
1458,0.6909951
1459,0.68467087
1460,0.6791208
1461,0.6713086
1462,0.6638384
1463,0.6565541
1464,0.64958876
1465,0.63982105
1466,0.63004714
1467,0.6212336
1468,0.61307216
1469,0.60446846
1470,0.59562045
1471,0.58811754
1472,0.58119094
1473,0.57311285
1474,0.56534606
1475,0.54755163
1476,0.53941214
1477,0.5317733
1478,0.5236465
1479,0.5158554
1480,0.5027502
1481,0.49550635
1482,0.4884132
1483,0.48091516
1484,0.4738927
1485,0.46094453
1486,0.45333552
1487,0.44578272
1488,0.4385016
1489,0.43150938
1490,0.4222421
1491,0.4133398
1492,0.40468735
1493,0.39680803
1494,0.38904232
1495,0.38724667
1496,0.38121745
1497,0.37701154
1498,0.37444308
1499,0.37333614
1500,0.37013292
1501,0.3735122
1502,0.37980247
1503,0.39012957
1504,0.402615
1505,0.4053564
1506,0.41815445
1507,0.43507323
1508,0.4541901
1509,0.4726263
1510,0.5086887
1511,0.5308073
1512,0.5546785
1513,0.57729495
1514,0.5992469
1515,0.61328197
1516,0.6349693
1517,0.6549194
1518,0.67567337
1519,0.6949222
1520,0.70780855
1521,0.72624147
1522,0.7420292
1523,0.75823075
1524,0.77283156
1525,0.78714526
1526,0.79986084
1527,0.81204545
1528,0.822207
1529,0.83089596
1530,0.82879823
1531,0.8348563
1532,0.8407995
1533,0.8445037
1534,0.84726965
1535,0.84332865
1536,0.8432053
1537,0.84245944
1538,0.84157825
1539,0.83962804
1540,0.83290887
1541,0.8300399
1542,0.8252907
1543,0.8196951
1544,0.81505543
1545,0.8028246
1546,0.7960472
1547,0.7871441
1548,0.77960014
1549,0.77285653
1550,0.7683691
1551,0.7612764
1552,0.75375175
1553,0.7465956
1554,0.7401711
1555,0.7259426
1556,0.71734613
1557,0.70820343
1558,0.69953346
1559,0.69144243
1560,0.6791652
1561,0.66906756
1562,0.6598581
1563,0.6511494
1564,0.64309186
1565,0.63207394
1566,0.6237526
1567,0.6157442
1568,0.6073945
1569,0.6003382
1570,0.5899805
1571,0.5814815
1572,0.5734321
1573,0.5655582
1574,0.55818456
1575,0.55331486
1576,0.5457493
1577,0.5383899
1578,0.53168535
1579,0.52499324
1580,0.51428777
1581,0.5067444
1582,0.49912852
1583,0.49224514
1584,0.4852049
1585,0.4750027
1586,0.46716154
1587,0.4593475
1588,0.45216087
1589,0.44498447
1590,0.43118936
1591,0.42341816
1592,0.41692933
1593,0.41170675
1594,0.407162
1595,0.408265
1596,0.41030988
