,Pred_Ent
0,0.084735006
1,0.084904045
2,0.09626062
3,0.088899255
4,0.08911815
5,0.09319961
6,0.10314824
7,0.10608028
8,0.10768667
9,0.10807422
10,0.11739752
11,0.12321117
12,0.1277684
13,0.13120835
14,0.13080107
15,0.13099933
16,0.13039227
17,0.12804434
18,0.1309025
19,0.12953551
20,0.13178083
21,0.13243662
22,0.14000419
23,0.14523444
24,0.13733307
25,0.1393975
26,0.13761666
27,0.13478771
28,0.13371125
29,0.12966838
30,0.11977939
31,0.12153232
32,0.12492435
33,0.122173905
34,0.11514597
35,0.11944846
36,0.12216522
37,0.12145625
38,0.11958327
39,0.118082754
40,0.12429087
41,0.11738165
42,0.120067745
43,0.115036674
44,0.113223396
45,0.11841737
46,0.12510242
47,0.12617859
48,0.12342461
49,0.124651134
50,0.12310106
51,0.124669395
52,0.12812904
53,0.12379472
54,0.11552766
55,0.10976629
56,0.11214346
57,0.11325647
58,0.11366868
59,0.113283984
60,0.111832395
61,0.11104211
62,0.112827405
63,0.110712826
64,0.111656465
65,0.108212516
66,0.10838367
67,0.11143562
68,0.11058238
69,0.10956007
70,0.11154335
71,0.10744017
72,0.1047771
73,0.10192752
74,0.09897131
75,0.08970259
76,0.047855332
77,0.025723934
78,0.039026424
79,0.044197932
80,0.036144033
81,0.012837425
82,0.014482543
83,0.015009552
84,0.017669678
85,0.02216573
86,0.019406885
87,0.022279367
88,0.018163681
89,0.017617583
90,0.012733862
91,0.014302701
92,0.010456011
93,0.0078079402
94,0.0009083152
95,0.0047550052
96,0.014051676
97,0.019845054
98,0.015477613
99,0.017686978
100,0.021596
101,0.024328664
102,0.017729327
103,0.017258406
104,0.02248399
105,0.03273359
106,0.03257601
107,0.03311318
108,0.034260392
109,0.030714288
110,0.03698419
111,0.03855744
112,0.038422942
113,0.039131314
114,0.038742825
115,0.03523323
116,0.034913898
117,0.045054376
118,0.040847912
119,0.037601486
120,0.041081294
121,0.037897795
122,0.035620958
123,0.038767472
124,0.038636833
125,0.038173333
126,0.03838192
127,0.03949268
128,0.036945894
129,0.034363985
130,0.040381193
131,0.040492266
132,0.054974675
133,0.063339055
134,0.059878632
135,0.058917
136,0.053449884
137,0.05461873
138,0.05926241
139,0.059778035
140,0.058668047
141,0.062234968
142,0.06555499
143,0.064117104
144,0.06384385
145,0.060961634
146,0.06200406
147,0.064892724
148,0.06575902
149,0.06727688
150,0.063933834
151,0.061021224
152,0.059257776
153,0.057922646
154,0.05867742
155,0.05769606
156,0.05688618
157,0.0563754
158,0.057062835
159,0.05947192
160,0.061829776
161,0.06355162
162,0.0710756
163,0.08348228
164,0.08607325
165,0.087406546
166,0.08596562
167,0.08411591
168,0.0852997
169,0.08199282
170,0.07715954
171,0.07678902
172,0.078353256
173,0.07547471
174,0.07325032
175,0.075755894
176,0.0755375
177,0.07559246
178,0.0750325
179,0.072359234
180,0.072590545
181,0.07218422
182,0.06968494
183,0.070589244
184,0.0668568
185,0.07094471
186,0.07256712
187,0.07147652
188,0.07190621
189,0.071081385
190,0.077286825
191,0.07778126
192,0.076919556
193,0.07337569
194,0.07440737
195,0.07412554
196,0.07264842
197,0.0740674
198,0.07674986
199,0.07169324
200,0.0721326
201,0.070664465
202,0.071640044
203,0.071559146
204,0.07000451
205,0.070634946
206,0.071278796
207,0.071177825
208,0.06861159
209,0.06790981
210,0.06949103
211,0.07087703
212,0.06876862
213,0.0661706
214,0.06397642
215,0.06551981
216,0.06440015
217,0.067278355
218,0.06749287
219,0.06705034
220,0.06662716
221,0.06480996
222,0.05620168
223,0.048515975
224,0.034055665
225,0.03419736
226,0.029863909
227,0.026418656
228,0.02842845
229,0.028005406
230,0.031016633
231,0.03229797
232,0.031446725
233,0.030865192
234,0.028616652
235,0.026943564
236,0.030018702
237,0.029633775
238,0.03380522
239,0.035130143
240,0.034604535
241,0.039106205
242,0.041890487
243,0.04230416
244,0.04048291
245,0.039553523
246,0.040183663
247,0.03882499
248,0.04176262
249,0.04238534
250,0.040796757
251,0.039553493
252,0.03770581
253,0.038270697
254,0.037863106
255,0.036581054
256,0.03579408
257,0.035605475
258,0.039820552
259,0.04157792
260,0.038781404
261,0.03945288
262,0.039610013
263,0.04387556
264,0.046471685
265,0.045605153
266,0.04304628
267,0.03750603
268,0.030226558
269,0.030855924
270,0.029992849
271,0.025373042
272,0.022710934
273,0.023025915
274,0.021371469
275,0.025682732
276,0.024886116
277,0.027305275
278,0.02699563
279,0.024841756
280,0.03134118
281,0.029011786
282,0.033260465
283,0.031499162
284,0.044849113
285,0.051906332
286,0.053438857
287,0.060538277
288,0.06805606
289,0.07611549
290,0.0751033
291,0.07076079
292,0.08197102
293,0.08499737
294,0.08130847
295,0.08034776
296,0.08005305
297,0.08255702
298,0.08471498
299,0.08804762
300,0.08322573
301,0.082871825
302,0.08530402
303,0.08600642
304,0.08895652
305,0.09171225
306,0.084430784
307,0.0848804
308,0.08013213
309,0.07767409
310,0.07781926
311,0.078292325
312,0.075401515
313,0.073269546
314,0.07399231
315,0.07481691
316,0.07791202
317,0.07767142
318,0.07930495
319,0.080517575
320,0.076388255
321,0.07065573
322,0.0723667
323,0.078769565
324,0.08024621
325,0.08176696
326,0.08199032
327,0.08098425
328,0.081156805
329,0.07912353
330,0.08485946
331,0.085515425
332,0.0859448
333,0.08577524
334,0.08570622
335,0.08064
336,0.07973333
337,0.083153695
338,0.07440324
339,0.073237225
340,0.072615415
341,0.06591967
342,0.06438495
343,0.06773639
344,0.07018633
345,0.071245894
346,0.07010509
347,0.07637936
348,0.07478587
349,0.078030616
350,0.07749356
351,0.07918398
352,0.079095066
353,0.07526764
354,0.076958776
355,0.07490753
356,0.07876374
357,0.07760985
358,0.0850707
359,0.08277927
360,0.08388865
361,0.08849585
362,0.08699411
363,0.08955504
364,0.085755646
365,0.082064345
366,0.08438364
367,0.08952589
368,0.09237781
369,0.09146623
370,0.094901174
371,0.09163593
372,0.0855293
373,0.08578439
374,0.08197847
375,0.08185035
376,0.08264083
377,0.08647095
378,0.08683658
379,0.09089887
380,0.09085938
381,0.08748336
382,0.2356638
383,0.23695405
384,0.22601393
385,0.22419403
386,0.2214598
387,0.21168578
388,0.22064775
389,0.22279212
390,0.22399075
391,0.22884145
392,0.21475826
393,0.20352161
394,0.20612824
395,0.20050918
396,0.1902911
397,0.1969091
398,0.19701976
399,0.20093076
400,0.19930673
401,0.2032977
402,0.20601189
403,0.20816943
404,0.2193654
405,0.22005236
406,0.22275342
407,0.22776452
408,0.23474209
409,0.23633611
410,0.23274764
411,0.23074348
412,0.22269446
413,0.22624321
414,0.2328262
415,0.23063983
416,0.23172067
417,0.23252687
418,0.23454538
419,0.22466332
420,0.22276694
421,0.22070812
422,0.21617252
423,0.21977687
424,0.21810456
425,0.21441628
426,0.21604155
427,0.21695946
428,0.21945576
429,0.21787024
430,0.2116241
431,0.20763583
432,0.20294523
433,0.20179033
434,0.19625446
435,0.19535252
436,0.20003998
437,0.19500197
438,0.19295064
439,0.1941771
440,0.19576472
441,0.19718553
442,0.1936198
443,0.19639024
444,0.19290744
445,0.19359931
446,0.18689361
447,0.19604725
448,0.19190994
449,0.19950983
450,0.19686405
451,0.19845301
452,0.19028988
453,0.18764146
454,0.18274523
455,0.1891193
456,0.18433438
457,0.1779387
458,0.18750024
459,0.18495908
460,0.18598163
461,0.17781997
462,0.17684548
463,0.184035
464,0.18899953
465,0.19304293
466,0.18872401
467,0.18622732
468,0.1834262
469,0.18370734
470,0.1843965
471,0.18199544
472,0.18097539
473,0.18445714
474,0.18236089
475,0.18073463
476,0.1844854
477,0.17994027
478,0.18379164
479,0.18535168
480,0.18247779
481,0.18164548
482,0.18559173
483,0.19102786
484,0.18451472
485,0.17883214
486,0.18015999
487,0.17826009
488,0.1882506
489,0.18676838
490,0.18866749
491,0.18054613
492,0.17839293
493,0.18058676
494,0.1796464
495,0.18131283
496,0.18511939
497,0.20030232
498,0.20338765
499,0.19862418
500,0.19572793
501,0.20362537
502,0.1981878
503,0.19037028
504,0.19404656
505,0.19699223
506,0.19858815
507,0.19787094
508,0.19108523
509,0.1919032
510,0.19145563
511,0.18099304
512,0.18029958
513,0.18335974
514,0.17970133
515,0.18035467
516,0.18142453
517,0.18020083
518,0.17935613
519,0.1821458
520,0.18721516
521,0.1902813
522,0.19193278
523,0.19151098
524,0.19307739
525,0.19267957
526,0.19076039
527,0.19045828
528,0.18728425
529,0.18609539
530,0.18107624
531,0.17575277
532,0.172502
533,0.16864756
534,0.16743785
535,0.174699
536,0.17365208
537,0.16839421
538,0.1688937
539,0.16960776
540,0.16918881
541,0.16940732
542,0.16856779
543,0.16470402
544,0.16008389
545,0.16115604
546,0.1586625
547,0.16135636
548,0.16488907
549,0.16416135
550,0.16513088
551,0.16536647
552,0.16150072
553,0.16016039
554,0.16275586
555,0.15977654
556,0.15954153
557,0.15786089
558,0.15778857
559,0.1594851
560,0.1623048
561,0.16513276
562,0.16254604
563,0.16077842
564,0.16352001
565,0.16125458
566,0.1638057
567,0.16278344
568,0.16368352
569,0.1622103
570,0.1623553
571,0.16701965
572,0.16815892
573,0.16884682
574,0.1688253
575,0.16827491
576,0.16909952
577,0.17254311
578,0.17073935
579,0.16940849
580,0.16769356
581,0.16783255
582,0.1670115
583,0.16797467
584,0.16586967
585,0.164826
586,0.1628535
587,0.16577035
588,0.16433865
589,0.1621567
590,0.1632002
591,0.16532633
592,0.16773474
593,0.16761394
594,0.16221574
595,0.16157027
596,0.16613013
597,0.16294888
598,0.16465265
599,0.16816278
600,0.16803464
601,0.16685675
602,0.16313067
603,0.16456813
604,0.1605641
605,0.16296571
606,0.16389732
607,0.16365367
608,0.16511121
609,0.16746294
610,0.16896814
611,0.16843289
612,0.1654323
613,0.1620414
614,0.16154662
615,0.16208781
616,0.16464803
617,0.16932216
618,0.16902171
619,0.17192125
620,0.17048088
621,0.16600141
622,0.16564634
623,0.16738045
624,0.16666146
625,0.1626196
626,0.16569337
627,0.17069834
628,0.16876027
629,0.16692176
630,0.1664311
631,0.16299812
632,0.16168742
633,0.16761309
634,0.16868892
635,0.17156269
636,0.172977
637,0.18007544
638,0.18517995
639,0.18891457
640,0.18506896
641,0.18455628
642,0.1794824
643,0.1771761
644,0.17474683
645,0.17387727
646,0.1731779
647,0.1733767
648,0.17379929
649,0.17786062
650,0.17692119
651,0.18228617
652,0.15847401
653,0.16217862
654,0.18726195
655,0.17474914
656,0.16912578
657,0.16821972
658,0.174841
659,0.18244985
660,0.1857187
661,0.17392267
662,0.18373832
663,0.18175158
664,0.17779097
665,0.17852566
666,0.1752564
667,0.1920602
668,0.21024188
669,0.21849129
670,0.22217253
671,0.21231323
672,0.21627139
673,0.21390626
674,0.21415496
675,0.21810727
676,0.2144216
677,0.21286908
678,0.20740397
679,0.20240186
680,0.20600545
681,0.19931757
682,0.20599148
683,0.21025619
684,0.20487519
685,0.20678665
686,0.21037337
687,0.2184383
688,0.22155936
689,0.21251296
690,0.21868438
691,0.2140055
692,0.20981775
693,0.20773134
694,0.21094035
695,0.20962329
696,0.21337521
697,0.21656564
698,0.21290545
699,0.21439953
700,0.21227947
701,0.21263467
702,0.20982355
703,0.21193027
704,0.21604279
705,0.2172351
706,0.21193041
707,0.2121463
708,0.21382737
709,0.21583349
710,0.21333419
711,0.21348694
712,0.22481158
713,0.22754356
714,0.22753364
715,0.22631478
716,0.22840624
717,0.23760833
718,0.23065156
719,0.23101825
720,0.23314102
721,0.23214634
722,0.23220727
723,0.23512885
724,0.23754472
725,0.23624715
726,0.2330285
727,0.24646948
728,0.2452915
729,0.24059723
730,0.2429608
731,0.24226443
732,0.24065405
733,0.2361309
734,0.2372027
735,0.23519883
736,0.23718385
737,0.23495445
738,0.23495837
739,0.23013516
740,0.23688287
741,0.23733807
742,0.23714806
743,0.23757051
744,0.23874655
745,0.2360475
746,0.2429636
747,0.23977803
748,0.2437616
749,0.24615407
750,0.2488655
751,0.24771655
752,0.24903964
753,0.24918981
754,0.24732007
755,0.25343946
756,0.2456121
757,0.23270538
758,0.22570987
759,0.21411294
760,0.20908381
761,0.20881987
762,0.21766868
763,0.21433026
764,0.21491045
765,0.21733095
766,0.21332741
767,0.21096441
768,0.20092344
769,0.19658476
770,0.20531732
771,0.21086176
772,0.24668935
773,0.2519304
774,0.2589066
775,0.25210968
776,0.24436152
777,0.22093758
778,0.20181641
779,0.19146803
780,0.1866431
781,0.17993903
782,0.18321773
783,0.19061798
784,0.19745687
785,0.20685995
786,0.2115165
787,0.20751157
788,0.20954055
789,0.2094206
790,0.20656896
791,0.21642464
792,0.2257761
793,0.23330593
794,0.24381101
795,0.24638002
796,0.26157376
797,0.26134273
798,0.25456774
799,0.25219277
800,0.2509364
801,0.24542451
802,0.253828
803,0.251576
804,0.2561199
805,0.25816917
806,0.25477993
807,0.24464613
808,0.2538554
809,0.25662366
810,0.26451328
811,0.26186547
812,0.2591718
813,0.24717887
814,0.24814352
815,0.24461928
816,0.21957886
817,0.21548498
818,0.21042454
819,0.21459933
820,0.22004212
821,0.21708265
822,0.21794067
823,0.21343574
824,0.21531312
825,0.22519754
826,0.21670009
827,0.21789707
828,0.21498744
829,0.21216783
830,0.20864017
831,0.21584071
832,0.21087062
833,0.21082902
834,0.21064202
835,0.20952009
836,0.20959967
837,0.21085016
838,0.20293969
839,0.1933329
840,0.19790399
841,0.20506033
842,0.20944738
843,0.20962557
844,0.21213755
845,0.21723267
846,0.22580199
847,0.21846834
848,0.22038409
849,0.2279842
850,0.23100516
851,0.22877133
852,0.23092617
853,0.22316356
854,0.22899732
855,0.22883376
856,0.22742891
857,0.21768107
858,0.21292657
859,0.22037402
860,0.22613445
861,0.21408416
862,0.2133181
863,0.213462
864,0.21677938
865,0.2175535
866,0.21881557
867,0.21760498
868,0.21314998
869,0.21601021
870,0.2151504
871,0.21147569
872,0.20375063
873,0.20404632
874,0.21744785
875,0.21833712
876,0.21308868
877,0.21898633
878,0.22704087
879,0.22490472
880,0.22848852
881,0.22673568
882,0.22510664
883,0.2305185
884,0.22816895
885,0.22964124
886,0.23042633
887,0.22620805
888,0.22672711
889,0.224061
890,0.22692461
891,0.22873624
892,0.22930785
893,0.23018533
894,0.22191751
895,0.2169647
896,0.20565572
897,0.21022594
898,0.21437873
899,0.21374968
900,0.21097875
901,0.21181235
902,0.21065815
903,0.21234873
904,0.21031839
905,0.21417902
906,0.21791296
907,0.2216332
908,0.22013839
909,0.22584157
910,0.22984645
911,0.2266064
912,0.22255877
913,0.22273691
914,0.2238156
915,0.22478326
916,0.22709017
917,0.22467901
918,0.22360769
919,0.22708942
920,0.22717226
921,0.2277715
922,0.22389372
923,0.22761494
924,0.22786918
925,0.22725506
926,0.22655407
927,0.22830668
928,0.22396977
929,0.22368434
930,0.22292927
931,0.22481349
932,0.22590667
933,0.23101224
934,0.23364395
935,0.23462936
936,0.23258805
937,0.23381293
938,0.22874832
939,0.23120944
940,0.2277204
941,0.22559115
942,0.22510701
943,0.22548151
944,0.22614132
945,0.2212346
946,0.21551666
947,0.20944458
948,0.20739219
949,0.21183284
950,0.21487686
951,0.2136946
952,0.21266958
953,0.2101806
954,0.21273403
955,0.20934963
956,0.20943944
957,0.21180113
958,0.20874912
959,0.20654672
960,0.20422475
961,0.2047434
962,0.20379263
963,0.2079398
964,0.21043923
965,0.2116538
966,0.21202129
967,0.20762172
968,0.20845844
969,0.20930175
970,0.2090986
971,0.20996134
972,0.21381351
973,0.20927642
974,0.20841815
975,0.20696813
976,0.20582236
977,0.20673916
978,0.20243293
979,0.20648775
980,0.20407158
981,0.20433109
982,0.2027211
983,0.20130485
