,Pred_Ent
0,0.8856398
1,0.9027976
2,0.91885823
3,0.9302958
4,0.9397288
5,0.94824857
6,0.94730073
7,0.9457563
8,0.9140315
9,0.8804299
10,0.85769236
11,0.84077376
12,0.82674193
13,0.81017476
14,0.79428095
15,0.7808669
16,0.76755595
17,0.75290596
18,0.7402724
19,0.7271296
20,0.71246594
21,0.69983023
22,0.6891469
23,0.67790735
24,0.6655984
25,0.6529226
26,0.64270175
27,0.6306336
28,0.62052953
29,0.60908425
30,0.59801495
31,0.58687305
32,0.5759223
33,0.5649777
34,0.55346733
35,0.5412754
36,0.53008676
37,0.5192436
38,0.5091399
39,0.49700716
40,0.48650515
41,0.4771921
42,0.4659837
43,0.45524684
44,0.4404452
45,0.42991248
46,0.42147788
47,0.41239643
48,0.40063113
49,0.3901059
50,0.3785474
51,0.37147552
52,0.36395597
53,0.35471305
54,0.34486103
55,0.34009892
56,0.33278358
57,0.32628456
58,0.32193345
59,0.32218477
60,0.32755226
61,0.35520154
62,0.39441645
63,0.4248671
64,0.45405656
65,0.48303568
66,0.5147754
67,0.54979646
68,0.5887344
69,0.62825584
70,0.66872907
71,0.70769787
72,0.7434671
73,0.7714461
74,0.7755455
75,0.7646711
76,0.75344497
77,0.7474288
78,0.77541417
79,0.792181
80,0.8051162
81,0.81030923
82,0.81960416
83,0.8288287
84,0.83614445
85,0.83625954
86,0.840798
87,0.84373367
88,0.84700084
89,0.84764826
90,0.84546053
91,0.8437587
92,0.84177744
93,0.8370413
94,0.8334031
95,0.826507
96,0.82542616
97,0.8198553
98,0.8120955
99,0.80352175
100,0.7960899
101,0.7891454
102,0.7800329
103,0.7708169
104,0.75984174
105,0.7518635
106,0.74488676
107,0.7366178
108,0.7287488
109,0.718197
110,0.7117053
111,0.7025714
112,0.6953931
113,0.68560576
114,0.6773746
115,0.66540086
116,0.6566919
117,0.64704883
118,0.6372582
119,0.6299351
120,0.62211525
121,0.61409616
122,0.6056276
123,0.5991199
124,0.59825015
125,0.61225796
126,0.6209873
127,0.6217884
128,0.619503
129,0.61654574
130,0.6115092
131,0.6036029
132,0.5962721
133,0.59334314
134,0.5901781
135,0.58753693
136,0.58542633
137,0.5799266
138,0.5761626
139,0.5767252
140,0.5754842
141,0.57450974
142,0.5740714
143,0.5728359
144,0.56947076
145,0.5689666
146,0.5683858
147,0.5680515
148,0.5662099
149,0.56356406
150,0.5576365
151,0.55039155
152,0.5444973
153,0.54054666
154,0.5361266
155,0.53306305
156,0.53457105
157,0.5378128
158,0.5357652
159,0.5277611
160,0.50750655
161,0.4973924
162,0.5005654
163,0.5053862
164,0.51157844
165,0.51802504
166,0.5227471
167,0.5317332
168,0.542598
169,0.55688
170,0.56785166
171,0.5824387
172,0.5973069
173,0.6118595
174,0.62255216
175,0.63542986
176,0.64819
177,0.654248
178,0.666413
179,0.6779493
180,0.6849891
181,0.68995595
182,0.6932118
183,0.6981825
184,0.69994617
185,0.70462626
186,0.7040886
187,0.70234585
188,0.7022914
189,0.7058991
190,0.7020931
191,0.7004283
192,0.6970327
193,0.69345236
194,0.68652177
195,0.68302965
196,0.67586744
197,0.6719731
198,0.6635635
199,0.65523636
200,0.6460659
201,0.63966095
202,0.63343924
203,0.6264999
204,0.618458
205,0.6101972
206,0.5999831
207,0.5949854
208,0.5893673
209,0.58085614
210,0.5731761
211,0.56312144
212,0.55656433
213,0.5506542
214,0.5422511
215,0.5341852
216,0.52555263
217,0.51605415
218,0.508139
219,0.49865904
220,0.49190158
221,0.4832554
222,0.47573286
223,0.46511954
224,0.45740175
225,0.45071638
226,0.44310066
227,0.43377274
228,0.42417157
229,0.41349888
230,0.40429223
231,0.394929
232,0.3864196
233,0.3761402
234,0.3687994
235,0.35914016
236,0.35008952
237,0.34282288
238,0.33495402
239,0.32638448
240,0.31699812
241,0.3083411
242,0.30051365
243,0.29015857
244,0.28292286
245,0.2744335
246,0.26538342
247,0.25829393
248,0.25122222
249,0.24431694
250,0.23924732
251,0.23681492
252,0.23402081
253,0.23385212
254,0.23401712
255,0.23720387
256,0.24573544
257,0.25663912
258,0.26786447
259,0.28110486
260,0.29923782
261,0.31559768
262,0.33320162
263,0.35261804
264,0.37392676
265,0.397157
266,0.41615757
267,0.43621093
268,0.45846698
269,0.47801995
270,0.4961521
271,0.51257646
272,0.5272237
273,0.5438455
274,0.5575923
275,0.571968
276,0.58517253
277,0.59599483
278,0.6032138
279,0.61475325
280,0.6227667
281,0.6269069
282,0.6295017
283,0.6316439
284,0.6333313
285,0.63774943
286,0.6361009
287,0.6356026
288,0.633795
289,0.63349295
290,0.6290691
291,0.6244439
292,0.6201421
293,0.6164956
294,0.60861915
295,0.6042037
296,0.59715533
297,0.5939158
298,0.5909992
299,0.58644044
300,0.5796077
301,0.57507133
302,0.5691457
303,0.56319845
304,0.5590459
305,0.55226743
306,0.54437673
307,0.5368135
308,0.53123355
309,0.5263284
310,0.5174409
311,0.5088207
312,0.50523794
313,0.49849886
314,0.49165958
315,0.48317903
316,0.47883815
317,0.47250792
318,0.46536195
319,0.4574077
320,0.44996172
321,0.44598305
322,0.4396469
323,0.43153572
324,0.424465
325,0.4162796
326,0.40844676
327,0.40006912
328,0.3928727
329,0.38568798
330,0.3790049
331,0.37077087
332,0.3645294
333,0.35529947
334,0.34713084
335,0.3408146
336,0.33500466
337,0.32774818
338,0.3207054
339,0.3156949
340,0.30747885
341,0.30012834
342,0.29597872
343,0.29132777
344,0.28452054
345,0.27968866
346,0.27643862
347,0.27392596
348,0.27415174
349,0.2738439
350,0.27629343
351,0.28181988
352,0.29152513
353,0.3051865
354,0.3212313
355,0.33876997
356,0.35796982
357,0.38019305
358,0.40308774
359,0.42802647
360,0.45521176
361,0.48073202
362,0.50542986
363,0.530841
364,0.55845773
365,0.5840126
366,0.60865045
367,0.6333608
368,0.6538781
369,0.67402935
370,0.6933447
371,0.7157546
372,0.7331437
373,0.7467792
374,0.7648467
375,0.78142405
376,0.7937943
377,0.8023042
378,0.813218
379,0.8211616
380,0.82531804
381,0.8333794
382,0.8357165
383,0.83716476
384,0.8395152
385,0.8378643
386,0.8405876
387,0.8370825
388,0.8369408
389,0.835754
390,0.833598
391,0.8291334
392,0.82534486
393,0.82176167
394,0.81838393
395,0.8126217
396,0.8106141
397,0.8051844
398,0.7986254
399,0.79097605
400,0.78503025
401,0.7756403
402,0.76847064
403,0.7616192
404,0.755622
405,0.7469405
406,0.73988736
407,0.7321662
408,0.7260213
409,0.7168734
410,0.70843583
411,0.70101523
412,0.6955677
413,0.6874435
414,0.6788212
415,0.6706644
416,0.664516
417,0.65706384
418,0.65070105
419,0.645264
420,0.6377061
421,0.633355
422,0.6292924
423,0.62161696
424,0.61804324
425,0.61219126
426,0.6044973
427,0.5989452
428,0.59375787
429,0.58806837
430,0.5784646
431,0.57167214
432,0.56396955
433,0.5566696
434,0.54993594
435,0.5403427
436,0.5353341
437,0.5295683
438,0.51892966
439,0.5106956
440,0.5072603
441,0.5007266
442,0.4947409
443,0.48902798
444,0.48928434
445,0.48777536
446,0.49321803
447,0.49689963
448,0.50719076
449,0.5172639
450,0.531613
451,0.5464497
452,0.56336045
453,0.58123136
454,0.59862536
455,0.6138468
456,0.6325741
457,0.656127
458,0.67735493
459,0.69839096
460,0.71737987
461,0.73562646
462,0.7514787
463,0.77300644
464,0.7912841
465,0.80440867
466,0.8185916
467,0.830124
468,0.8440901
469,0.85540384
470,0.8647189
471,0.8741535
472,0.87942386
473,0.88643724
474,0.89047194
475,0.8935859
476,0.8959782
477,0.8973655
478,0.89662486
479,0.89463496
480,0.8932065
481,0.8922813
482,0.8883952
483,0.88280344
484,0.878355
485,0.8714478
486,0.8666127
487,0.8597993
488,0.8521822
489,0.8470766
490,0.8396714
491,0.8342353
492,0.82650506
493,0.81961936
494,0.81301844
495,0.80679524
496,0.8006052
497,0.79238284
498,0.7855321
499,0.77757984
500,0.7719708
501,0.7634776
502,0.7565217
503,0.74690485
504,0.7383234
505,0.7316741
506,0.72286904
507,0.71394706
508,0.7035347
509,0.69457614
510,0.6879965
511,0.67665386
512,0.6655339
513,0.65899277
514,0.64853495
515,0.6397699
516,0.63173026
517,0.6227261
518,0.60972476
519,0.5967512
520,0.5906502
521,0.582806
522,0.573773
523,0.56284744
524,0.551926
525,0.5432988
526,0.5320673
527,0.5234735
528,0.51295394
529,0.50256777
530,0.4947026
531,0.4858979
532,0.47582838
533,0.4662983
534,0.45259178
535,0.44700462
536,0.44030434
537,0.42940536
538,0.4235875
539,0.41869777
540,0.41870338
541,0.41438472
542,0.4120172
543,0.4117061
544,0.41747773
545,0.4244853
546,0.4266179
547,0.42708516
548,0.43316907
549,0.4471795
550,0.4588453
551,0.47870627
552,0.49518555
553,0.5181091
554,0.5367433
555,0.55786586
556,0.56791717
557,0.5820099
558,0.5949812
559,0.6112479
560,0.62317336
561,0.6282582
562,0.6397096
563,0.65052557
564,0.65978825
565,0.6653416
566,0.67251277
567,0.68086636
568,0.68521905
569,0.68822217
570,0.6886827
571,0.68912005
572,0.6893399
573,0.6861959
574,0.684047
575,0.6798172
576,0.67741334
577,0.6750772
578,0.6704128
579,0.660871
580,0.6551497
581,0.64854634
582,0.6423814
583,0.6363128
584,0.6309192
585,0.6222281
586,0.61430544
587,0.60579467
588,0.5965471
589,0.59165895
590,0.5841449
591,0.5742421
592,0.56359655
593,0.55436975
594,0.54510474
595,0.53539145
596,0.52566695
597,0.51826364
598,0.51153255
599,0.50204235
600,0.49146634
601,0.48540306
602,0.47891885
603,0.4708584
604,0.46352184
605,0.45692617
606,0.44994777
607,0.44188073
608,0.43495607
609,0.43107814
610,0.42382595
611,0.41702655
612,0.41125825
613,0.4050479
614,0.40033314
615,0.39429188
616,0.3865928
617,0.37888265
618,0.3719766
619,0.3638404
620,0.35847187
621,0.35472608
622,0.3505124
623,0.3420255
624,0.33629802
625,0.32966542
626,0.32383966
627,0.313524
628,0.30853072
629,0.30102032
630,0.28896368
631,0.2790744
632,0.2693538
633,0.2596542
634,0.25189033
635,0.24598396
636,0.24043092
637,0.23672298
638,0.23039934
639,0.22426604
640,0.21943954
641,0.21700485
642,0.21350482
643,0.21093765
644,0.20727508
645,0.2060042
646,0.20316143
647,0.20171086
648,0.1993463
649,0.19903547
650,0.19734105
651,0.19607635
652,0.19319463
653,0.18978524
654,0.18697603
655,0.18559521
656,0.18778668
657,0.18682194
658,0.18391164
659,0.18418145
660,0.18298158
661,0.18321829
662,0.18189289
663,0.18082295
664,0.17776328
665,0.1771208
666,0.17458569
667,0.17221795
668,0.17029227
669,0.16697738
670,0.16608194
671,0.16406724
672,0.16074178
673,0.1590979
674,0.15570775
675,0.15243587
676,0.14975683
677,0.14636396
678,0.14300679
679,0.13604492
680,0.13027112
681,0.12394093
682,0.11920081
683,0.113285586
684,0.11029059
685,0.10701771
686,0.10327382
687,0.09692048
688,0.091109365
689,0.088476285
690,0.08446276
691,0.08384234
692,0.08119699
693,0.080474615
694,0.077311635
695,0.0746001
696,0.07083215
697,0.06861363
698,0.06576652
699,0.06105613
700,0.060857877
701,0.05932471
702,0.059307702
703,0.057657205
704,0.05646126
705,0.056917734
706,0.058561757
707,0.057919547
708,0.058502123
709,0.061069548
710,0.06038078
711,0.060390368
712,0.062106565
713,0.064221166
714,0.05961352
715,0.059685767
716,0.058883406
717,0.0580988
718,0.058725186
719,0.05743365
720,0.056650236
721,0.056735575
722,0.055895478
723,0.054435767
724,0.05361277
725,0.05355247
726,0.05031111
727,0.04867989
728,0.04810474
729,0.045478605
730,0.04399933
731,0.04292696
732,0.040717676
733,0.040476106
734,0.039934047
735,0.04180368
736,0.04167244
737,0.043558463
738,0.04817231
739,0.05849526
740,0.0691748
741,0.07680274
742,0.08644838
743,0.09928456
744,0.116489306
745,0.13532537
746,0.15853366
747,0.1818904
748,0.21462086
749,0.2702517
750,0.33880502
751,0.3610199
752,0.37345493
753,0.38773838
754,0.39059007
755,0.39482796
756,0.403557
757,0.41378114
758,0.41991115
759,0.42597848
760,0.4331082
761,0.43967795
762,0.45040107
763,0.46725565
764,0.4789995
765,0.48102307
766,0.47037238
767,0.45439816
768,0.4464888
769,0.44200498
770,0.43596825
771,0.42633307
772,0.42069542
773,0.41328925
774,0.40502244
775,0.39815462
776,0.39023656
777,0.38358444
778,0.3784449
779,0.37155288
780,0.3633408
781,0.3547414
782,0.34501308
783,0.33734024
784,0.32817096
785,0.31680864
786,0.30864096
787,0.30011624
788,0.2907616
789,0.28197497
790,0.2743284
791,0.2648989
792,0.25428843
793,0.24224615
794,0.23113692
795,0.22092286
796,0.21141824
797,0.20324646
798,0.19468322
799,0.18549533
800,0.17861763
801,0.17124762
802,0.16410188
803,0.1566759
804,0.15042609
805,0.14216627
806,0.1359207
807,0.12711002
808,0.119483575
809,0.110284686
810,0.10348044
811,0.095927924
812,0.089132145
813,0.08158195
814,0.07281475
815,0.06505734
816,0.057441413
817,0.04963854
818,0.041136317
819,0.033935085
820,0.026950784
821,0.018600047
822,0.010973245
823,0.006391205
824,0.0033585727
825,0.0011112988
826,0.00096331537
827,0.0026400536
828,0.0069227517
829,0.0129465535
830,0.019753888
831,0.030537426
832,0.046414025
833,0.062753975
834,0.08040409
835,0.098072916
836,0.121835925
837,0.14270893
838,0.16768654
839,0.19216107
840,0.21892731
841,0.24526817
842,0.26955098
843,0.2954355
844,0.31649175
845,0.3378015
846,0.36012757
847,0.380988
848,0.40846467
849,0.42609665
850,0.44051564
851,0.45029876
852,0.45890683
853,0.4703111
854,0.47838217
855,0.48766774
856,0.49293265
857,0.49898234
858,0.50472414
859,0.50780535
860,0.5119513
861,0.51540947
862,0.5229175
863,0.52187586
864,0.51492184
865,0.5150004
866,0.51140493
867,0.5062859
868,0.5029739
869,0.50282466
870,0.4948751
871,0.48838064
872,0.48443186
873,0.48015785
874,0.47532952
875,0.4686808
876,0.4638246
877,0.45925397
878,0.45146406
879,0.4458208
880,0.4385116
881,0.43197244
882,0.4251266
883,0.4192016
884,0.4131817
885,0.4063776
886,0.39920297
887,0.3907626
888,0.38313603
889,0.37562555
890,0.36870843
891,0.36017376
892,0.35431072
893,0.3479361
894,0.34099367
895,0.33449274
896,0.3267322
897,0.31984782
898,0.3117855
899,0.3047669
900,0.29714167
901,0.28971925
902,0.2819602
903,0.27645212
904,0.27169967
905,0.26512772
906,0.25760704
907,0.24973857
908,0.24435946
909,0.23708972
910,0.23089382
911,0.2234566
912,0.2162933
913,0.2101143
914,0.20186609
915,0.19583362
916,0.1886474
917,0.18091528
918,0.17543036
919,0.17115407
920,0.16620497
921,0.1638175
922,0.16042703
923,0.16001017
924,0.16118948
925,0.16431645
926,0.16792852
927,0.17672202
928,0.18842785
929,0.19951686
930,0.21144766
931,0.22717291
932,0.24692866
933,0.26903102
934,0.28999352
935,0.3146939
936,0.3374915
937,0.36111265
938,0.38279057
939,0.40013945
940,0.42416912
941,0.44295412
942,0.4621963
943,0.4809922
944,0.4979143
945,0.512272
946,0.52545464
947,0.5388968
948,0.54985416
949,0.5622543
950,0.56897837
951,0.57826495
952,0.58719254
953,0.5951414
954,0.59912604
955,0.6010789
956,0.60406554
957,0.60589993
958,0.6082868
959,0.6067044
960,0.60729057
961,0.604157
962,0.602028
963,0.60059893
964,0.59575486
965,0.5896294
966,0.5871726
967,0.58191025
968,0.57739186
969,0.5702518
970,0.5653052
971,0.5621011
972,0.5562932
973,0.5508678
974,0.5475326
975,0.54182297
976,0.53670716
977,0.5285084
978,0.52316386
979,0.5197364
980,0.5130038
981,0.50843185
982,0.5019528
983,0.49428317
984,0.488141
985,0.48126245
986,0.47502467
987,0.4688173
988,0.46433032
989,0.45767224
990,0.45192188
991,0.4444043
992,0.4380194
993,0.432127
994,0.42633468
995,0.41734684
996,0.41205132
997,0.40539676
998,0.39841133
999,0.39096087
1000,0.3856361
1001,0.37798244
1002,0.3701949
1003,0.36234882
1004,0.35453972
1005,0.3480498
1006,0.34106848
1007,0.3323012
1008,0.32733533
1009,0.32062012
1010,0.3129954
1011,0.30545568
1012,0.2954054
1013,0.29003325
1014,0.2837724
1015,0.27807313
1016,0.27253556
1017,0.2696262
1018,0.26582977
1019,0.26336002
1020,0.26292843
1021,0.26203972
1022,0.2664156
1023,0.27319568
1024,0.2815271
1025,0.2931934
1026,0.30638617
1027,0.3214904
1028,0.34096962
1029,0.35937107
1030,0.37533695
1031,0.3981596
1032,0.41973144
1033,0.44079944
1034,0.46144712
1035,0.48090148
1036,0.50234526
1037,0.5224363
1038,0.536059
1039,0.54440594
1040,0.54532784
1041,0.5623633
1042,0.57415843
1043,0.5823782
1044,0.59182614
1045,0.59132123
1046,0.59487677
1047,0.5975729
1048,0.5997108
1049,0.6013557
1050,0.6051153
1051,0.61132526
1052,0.6104957
1053,0.60534865
1054,0.6088612
1055,0.6085608
1056,0.61067194
1057,0.6073445
1058,0.602943
1059,0.60008264
1060,0.5993338
1061,0.59528625
1062,0.59039104
1063,0.5855885
1064,0.5779128
1065,0.5712755
1066,0.5686562
1067,0.5631828
1068,0.55945176
1069,0.55346304
1070,0.54926467
1071,0.54234946
1072,0.5366149
1073,0.53265107
1074,0.52598965
1075,0.519174
1076,0.51132035
1077,0.5045028
1078,0.49892983
1079,0.4927389
1080,0.483613
1081,0.4787684
1082,0.47442633
1083,0.46739483
1084,0.46102154
1085,0.45456785
1086,0.44672978
