,Pred_Ent
0,0.893666
1,0.91094804
2,0.92065006
3,0.93445355
4,0.93830264
5,0.9632224
6,0.95327914
7,0.9324695
8,0.9087324
9,0.8831025
10,0.86319304
11,0.84679234
12,0.8285675
13,0.8122917
14,0.7970731
15,0.779584
16,0.7654494
17,0.75202143
18,0.7390089
19,0.7259336
20,0.7169975
21,0.70397705
22,0.690637
23,0.6784174
24,0.66559595
25,0.6529203
26,0.64078724
27,0.6283737
28,0.6171936
29,0.6051002
30,0.5958181
31,0.58401126
32,0.57215846
33,0.5613391
34,0.5499373
35,0.5405266
36,0.52909666
37,0.5173099
38,0.506406
39,0.49529418
40,0.48440632
41,0.47255
42,0.46101746
43,0.44977114
44,0.4388528
45,0.4304864
46,0.41846594
47,0.40786952
48,0.3967591
49,0.38613147
50,0.3777233
51,0.36739606
52,0.35973126
53,0.35165063
54,0.3438099
55,0.33265263
56,0.325161
57,0.32174098
58,0.31865114
59,0.31619787
60,0.34504
61,0.366761
62,0.39173642
63,0.4250726
64,0.45615608
65,0.4863089
66,0.52115417
67,0.55456614
68,0.5902912
69,0.62657964
70,0.6726503
71,0.71280444
72,0.7416536
73,0.76532185
74,0.78012276
75,0.7495221
76,0.758669
77,0.76612747
78,0.77748525
79,0.7864348
80,0.80472106
81,0.81361246
82,0.82083774
83,0.8313948
84,0.83873516
85,0.83977586
86,0.8424217
87,0.8437773
88,0.8443185
89,0.84407955
90,0.8467542
91,0.84503925
92,0.8414866
93,0.8373004
94,0.83156973
95,0.8300382
96,0.8239052
97,0.8169431
98,0.8096518
99,0.8015012
100,0.7934626
101,0.78465354
102,0.776147
103,0.767244
104,0.75894815
105,0.7555971
106,0.7451167
107,0.7353973
108,0.7260185
109,0.7169385
110,0.7100888
111,0.6998146
112,0.6916389
113,0.68300194
114,0.67487776
115,0.6627768
116,0.6535949
117,0.64471275
118,0.6362594
119,0.6280265
120,0.6196957
121,0.6133038
122,0.6073024
123,0.6024101
124,0.5972271
125,0.6206272
126,0.6193493
127,0.6174977
128,0.61875695
129,0.61976147
130,0.60471374
131,0.601159
132,0.5966589
133,0.59427774
134,0.5914468
135,0.5898651
136,0.5877522
137,0.5841627
138,0.582402
139,0.58093584
140,0.57581604
141,0.5738906
142,0.5712479
143,0.56930983
144,0.5683164
145,0.57272834
146,0.57072556
147,0.5672125
148,0.5634109
149,0.56091726
150,0.5556171
151,0.55175114
152,0.5458579
153,0.54002917
154,0.5359569
155,0.5411355
156,0.5388142
157,0.5307268
158,0.5255049
159,0.519998
160,0.5051335
161,0.50408
162,0.50310344
