Date,Temp. (°C),Humid. Rel (%),Vent (m/s),Pression (mbar),Ensolleillement (W/m2),watts
2018-07-01 00:00:00,18.230667,78.22933,1.4348,930.0,0.0,0.0
2018-07-01 00:15:00,18.274668,78.17733,1.141,930.0,0.0,0.0
2018-07-01 00:30:00,18.438667,77.388664,1.3756,930.0,0.0,0.0
2018-07-01 00:45:00,18.439333,77.211334,1.1777333,930.0,0.0,0.0
2018-07-01 01:00:00,18.384,77.56734,1.4094666,930.0,0.0,0.0
2018-07-01 01:15:00,18.372667,78.09133,1.3386,929.93335,0.0,0.0
2018-07-01 01:30:00,18.24,78.571335,1.0767334,929.0,0.0,0.0
2018-07-01 01:45:00,18.283335,78.51466,1.4192667,929.0,0.0,0.0
2018-07-01 02:00:00,18.718666,77.526665,1.6528,929.0,0.0,0.0
2018-07-01 02:15:00,18.925333,76.848,2.0731332,929.0,0.0,0.0
2018-07-01 02:30:00,18.636667,77.85467,1.4338666,929.0,0.0,0.0
2018-07-01 02:45:00,18.49,78.414,1.4271333,929.0,0.0,0.0
2018-07-01 03:00:00,18.372,79.10533,1.6082667,929.0,0.0,0.0
2018-07-01 03:15:00,18.486668,79.502,1.5309333,929.0,0.0,0.0
2018-07-01 03:30:00,18.713333,79.526,1.4962667,928.5333,0.0,0.0
2018-07-01 03:45:00,18.722668,79.73067,1.4735333,929.0,0.0,0.0
2018-07-01 04:00:00,18.530666,80.613335,1.8578,928.86664,0.0,0.0
2018-07-01 04:15:00,18.352667,81.19334,1.6458,929.0,0.0,0.0
2018-07-01 04:30:00,18.077333,82.00667,1.2068,929.0,0.0,0.0
2018-07-01 04:45:00,17.795334,83.09333,1.3315333,929.0,0.0,0.0
2018-07-01 05:00:00,17.722,83.92667,1.6442667,929.0,0.0,0.0
2018-07-01 05:15:00,17.646667,83.85333,1.5964,929.0,0.0,0.0
2018-07-01 05:30:00,18.000668,82.68,1.6337334,929.0,0.0,0.0
2018-07-01 05:45:00,18.14,82.23333,1.5898,929.0,0.0,0.0
2018-07-01 06:00:00,18.159332,82.45333,1.8738667,929.0,0.29013333,2.8877747
2018-07-01 06:15:00,18.072,82.68,1.9676666,929.0,4.322067,8.710268
2018-07-01 06:30:00,17.867332,83.14667,1.6550666,929.6667,20.525333,19.922615
2018-07-01 06:45:00,17.934,82.80667,1.5646,930.0,58.604,38.62068
2018-07-01 07:00:00,18.325333,81.16,1.4612,930.0,107.71333,59.49659
2018-07-01 07:15:00,18.650667,79.998665,1.8544,930.0,166.88,84.66989
2018-07-01 07:30:00,19.213333,77.947334,1.6202,930.0,230.41333,118.41553
2018-07-01 07:45:00,19.727333,75.32066,2.1740665,930.0,296.47333,151.61165
2018-07-01 08:00:00,20.186666,73.324,2.1138666,930.5333,361.85333,179.5421
2018-07-01 08:15:00,20.65,70.34267,2.2476666,931.0,427.38,207.66609
2018-07-01 08:30:00,21.134666,67.682,2.3422,931.0,491.96667,236.8974
2018-07-01 08:45:00,21.597334,64.28467,2.6047332,931.0,575.63336,158.12518
2018-07-01 09:00:00,21.480667,63.97,2.776,931.0,351.52,119.47513
2018-07-01 09:15:00,21.560667,63.534,2.8915334,931.0,306.80667,191.3308
2018-07-01 09:30:00,21.613333,63.254665,2.4623334,931.0,430.22665,380.6997
2018-07-01 09:45:00,22.523335,58.86933,3.2084668,931.0,832.16,359.4051
2018-07-01 10:00:00,22.818666,58.350666,3.3124,931.0,801.2133,255.25496
2018-07-01 10:15:00,22.828,58.000668,3.0281334,931.0,591.05334,179.57562
2018-07-01 10:30:00,22.680666,57.74,2.8499334,931.0,400.68,185.97011
2018-07-01 10:45:00,22.994,56.460667,2.6003335,931.0,382.84668,309.35626
2018-07-01 11:00:00,23.288,55.122665,2.6697333,930.86664,604.20667,169.8177
2018-07-01 11:15:00,23.599333,55.159332,2.6553333,930.0,438.58667,273.03036
2018-07-01 11:30:00,23.78,54.059334,2.6278,930.0,672.2,346.66864
2018-07-01 11:45:00,24.605333,50.377335,3.0088,930.0,788.1667,424.03107
2018-07-01 12:00:00,25.336666,47.324665,3.1347334,929.4667,857.04,505.71762
2018-07-01 12:15:00,25.383333,46.487335,3.7196667,929.0,1093.1333,490.7704
2018-07-01 12:30:00,26.428,43.00733,2.8978,929.0,1097.9333,497.66556
2018-07-01 12:45:00,26.282,42.18,3.1959333,929.0,1097.2667,512.12866
2018-07-01 13:00:00,26.428,42.422,3.3344667,928.4667,1097.7267,403.59464
2018-07-01 13:15:00,26.692,41.724667,3.0610666,928.0,929.06,153.34743
2018-07-01 13:30:00,26.444666,41.883335,2.6534667,928.0,296.54666,244.7547
2018-07-01 13:45:00,26.184668,41.504665,2.7465334,928.0,532.19336,257.46194
2018-07-01 14:00:00,26.275333,40.612,2.368,927.13336,480.2,426.2139
2018-07-01 14:15:00,26.82,40.311333,2.6843333,927.0,911.94666,132.16281
2018-07-01 14:30:00,26.800667,39.771336,3.1346667,927.0,313.20667,357.72903
2018-07-01 14:45:00,27.208666,38.6,2.928,927.0,729.06,220.95222
2018-07-01 15:00:00,26.86,39.12533,3.2688,926.73334,411.04,330.84723
2018-07-01 15:15:00,27.217333,37.307335,3.1098666,926.06665,723.78,327.62317
2018-07-01 15:30:00,27.306,36.86,3.2171333,926.26666,691.2267,107.99506
2018-07-01 15:45:00,26.996,36.592,2.9483333,926.0,276.55334,200.90445
2018-07-01 16:00:00,26.910667,37.332,2.2954667,926.0,404.04666,166.75044
2018-07-01 16:15:00,26.894,37.87467,3.6317334,926.0,347.88,105.17998
2018-07-01 16:30:00,26.55,37.79067,2.1958666,926.0,224.994,109.268326
2018-07-01 16:45:00,26.498667,37.61667,2.1794667,926.0,239.34,83.76279
2018-07-01 17:00:00,26.375334,37.104,2.7786667,926.2,208.10666,33.118633
2018-07-01 17:15:00,26.044666,37.974667,2.6968668,927.0,132.30667,9.294715
2018-07-01 17:30:00,25.753334,37.603333,2.3455334,927.0,47.15333,6.748709
2018-07-01 17:45:00,25.304,40.13933,1.8542,927.0,4.5689335,0.0
2018-07-01 18:00:00,24.796667,42.246,1.8371334,927.0,0.28226668,0.0
2018-07-01 18:15:00,24.384,43.609333,2.0411334,927.0,0.0,0.0
2018-07-01 18:30:00,24.002,45.404667,2.5131333,927.06665,0.0,0.0
2018-07-01 18:45:00,23.566666,45.502,2.3739333,928.0,0.0,0.0
2018-07-01 19:00:00,23.244667,45.62467,2.0849333,928.0,0.0,0.0
2018-07-01 19:15:00,22.894667,46.358665,2.1288667,928.0,0.0,0.0
2018-07-01 19:30:00,22.583334,46.810665,2.1441333,928.0,0.0,0.0
2018-07-01 19:45:00,22.254,47.456,2.3668,928.0,0.0,0.0
2018-07-01 20:00:00,22.230667,48.572,3.0228667,928.93335,0.0,0.0
2018-07-01 20:15:00,21.926666,49.933334,2.8107333,929.0,0.0,0.0
2018-07-01 20:30:00,21.671333,51.148,2.8826666,929.0,0.0,0.0
2018-07-01 20:45:00,21.500668,52.665333,2.8118,929.0,0.0,0.0
2018-07-01 21:00:00,21.33,53.735332,3.0664666,929.0,0.0,0.0
2018-07-01 21:15:00,20.942,55.006,2.7334666,929.0,0.0,0.0
2018-07-01 21:30:00,20.574667,56.003334,2.7362666,929.06665,0.0,0.0
2018-07-01 21:45:00,20.193333,57.338,2.4847999,929.93335,0.0,0.0
2018-07-01 22:00:00,19.994,58.411335,2.5462668,930.0,0.0,0.0
2018-07-01 22:15:00,19.885334,59.768665,2.3828666,930.0,0.0,0.0
2018-07-01 22:30:00,19.758667,61.631332,2.1120667,930.0,0.0,0.0
2018-07-01 22:45:00,19.577333,62.937332,2.0731332,930.0,0.0,0.0
2018-07-01 23:00:00,19.342667,64.052666,1.5210667,930.0,0.0,0.0
2018-07-01 23:15:00,19.133333,65.498,2.014,930.0,0.0,0.0
2018-07-01 23:30:00,18.960667,66.60133,2.1665332,930.0,0.0,0.0
2018-07-01 23:45:00,18.704,68.99133,2.5867333,930.0,0.0,0.0
2018-07-02 00:00:00,18.47,71.52133,2.2139332,930.0,0.0,0.0
2018-07-02 00:15:00,18.316,75.498,2.509,930.0,0.0,0.0
2018-07-02 00:30:00,18.058666,77.738,2.0179334,930.0,0.0,0.0
2018-07-02 00:45:00,17.643333,79.092,1.672,930.0,0.0,0.0
2018-07-02 01:00:00,17.454666,80.582664,1.9399333,930.0,0.0,0.0
2018-07-02 01:15:00,17.295334,82.36667,1.9859333,930.0,0.0,0.0
2018-07-02 01:30:00,17.189333,83.473335,1.8249334,930.0,0.0,0.0
2018-07-02 01:45:00,17.182001,84.22667,1.8923334,930.0,0.0,0.0
2018-07-02 02:00:00,17.168,84.58,1.8363333,929.13336,0.0,0.0
2018-07-02 02:15:00,17.063334,85.05333,1.6304,929.0,0.0,0.0
2018-07-02 02:30:00,16.866,85.86667,1.5404667,929.0,0.0,0.0
2018-07-02 02:45:00,16.647333,86.56,1.4789333,929.0,0.0,0.0
2018-07-02 03:00:00,16.463999,87.13333,1.7316667,929.0,0.0,0.0
2018-07-02 03:15:00,16.312,87.26666,1.5984,929.0,0.0,0.0
2018-07-02 03:30:00,16.156666,87.64,1.6684,929.0,0.0,0.0
2018-07-02 03:45:00,16.06,88.09333,1.8550667,929.0,0.0,0.0
2018-07-02 04:00:00,16.185999,87.95333,1.6937333,929.0,0.0,0.0
2018-07-02 04:15:00,16.204666,87.64,1.9586,929.0,0.0,0.0
2018-07-02 04:30:00,16.237999,87.69334,1.8442,929.0,0.0,0.0
2018-07-02 04:45:00,16.210667,87.39333,1.7484,929.0,0.0,0.0
2018-07-02 05:00:00,16.268667,86.433334,1.7666,929.0,0.0,0.0
2018-07-02 05:15:00,16.302666,86.28,2.0357332,929.0,0.0,0.0
2018-07-02 05:30:00,16.280666,86.5,1.7468,929.0,0.0,0.0
2018-07-02 05:45:00,16.159334,86.706665,1.9006667,929.0,0.0,0.0
2018-07-02 06:00:00,16.094667,86.72,1.7712,929.0,0.31113335,0.0
2018-07-02 06:15:00,16.027334,86.72667,1.5219333,929.5333,4.6931334,7.5010076
2018-07-02 06:30:00,16.090666,85.96,1.8929334,930.0,20.632,20.6432
2018-07-02 06:45:00,16.459333,84.346664,1.7629334,930.0,59.144,43.283894
2018-07-02 07:00:00,17.009333,82.513336,1.9158667,930.0,108.8,65.799965
2018-07-02 07:15:00,17.726,80.169334,2.2578666,930.0,169.62,87.315056
2018-07-02 07:30:00,18.408667,77.70734,2.1011333,930.0,232.67334,120.427536
2018-07-02 07:45:00,19.054667,75.41534,2.3972,930.93335,298.68668,152.74472
2018-07-02 08:00:00,19.547333,73.10333,3.1215334,930.6,364.83334,181.98628
2018-07-02 08:15:00,19.993334,70.99267,3.3610666,931.0,429.76,209.56757
2018-07-02 08:30:00,20.622,68.43467,2.9128,931.0,493.98666,235.41621
2018-07-02 08:45:00,21.220667,66.14467,2.3633332,931.0,555.84,260.09103
2018-07-02 09:00:00,21.742666,64.017334,2.6500666,931.0,613.66,290.5644
2018-07-02 09:15:00,22.052668,62.509335,2.7850666,931.0,667.6067,334.5135
2018-07-02 09:30:00,22.450666,61.236668,2.9014,931.0,718.83997,358.81442
2018-07-02 09:45:00,22.893333,58.943333,3.0006666,931.0,766.82666,378.12253
2018-07-02 10:00:00,23.536667,57.225334,2.7202,931.0,810.88,395.20758
2018-07-02 10:15:00,23.784666,55.768665,2.5754,931.0,854.06665,352.91473
2018-07-02 10:30:00,24.358667,53.09,2.4639335,931.0,760.42,458.17703
2018-07-02 10:45:00,24.603333,51.50733,2.9102666,931.0,886.3,319.93292
2018-07-02 11:00:00,24.915333,49.861332,2.9461334,930.86664,706.4067,417.5588
2018-07-02 11:15:00,25.487333,48.158665,2.9214,930.0,885.06665,390.15842
2018-07-02 11:30:00,25.736668,47.073334,2.6456,930.0,859.78,321.97104
2018-07-02 11:45:00,25.768667,47.297333,2.4491334,930.0,685.0933,480.35538
2018-07-02 12:00:00,26.068,45.660667,2.7642667,930.0,967.20667,477.02948
2018-07-02 12:15:00,26.640667,44.015335,2.8081334,929.93335,1061.58,465.7909
2018-07-02 12:30:00,26.907333,42.318665,2.6438668,929.0,941.88666,483.16135
2018-07-02 12:45:00,27.118666,41.350666,3.1135333,929.0,1018.4667,412.31268
2018-07-02 13:00:00,27.078,41.051334,2.8098667,929.0,912.56,476.0781
2018-07-02 13:15:00,27.713333,39.166,2.9341333,928.6667,1056.1333,445.85065
2018-07-02 13:30:00,27.868666,37.486,3.2828667,928.0,976.17334,324.92975
2018-07-02 13:45:00,27.694,36.829334,2.9842,928.0,772.32,278.44238
2018-07-02 14:00:00,27.414667,39.372,3.3608,928.0,618.34,464.63715
2018-07-02 14:15:00,27.934668,37.416668,3.2042,927.73334,937.1,312.85364
2018-07-02 14:30:00,27.975332,34.632,2.7621999,927.0,644.93335,374.44022
2018-07-02 14:45:00,28.463333,32.911335,2.7000666,927.0,804.30664,231.25786
2018-07-02 15:00:00,28.141333,34.733334,3.3708,927.0,528.79333,318.26862
2018-07-02 15:15:00,27.930666,34.472668,2.6614666,927.0,644.18665,309.50098
