date	ouv	haut	bas	clot	vol	devise	
30/12/2013 00:00	41.38	41.794	41.38	41.768	1928	EUR	
31/12/2013 00:00	41.871	41.871	41.526	41.871	1731	EUR	
02/01/2014 00:00	42.069	42.078	40.949	41.216	5369	EUR	
03/01/2014 00:00	40.949	41.285	40.759	40.759	3374	EUR	
06/01/2014 00:00	40.69	41.811	40.69	41.811	7877	EUR	
07/01/2014 00:00	41.94	42.423	41.647	42.078	7622	EUR	
08/01/2014 00:00	42.078	42.406	41.94	42.156	4210	EUR	
09/01/2014 00:00	42.156	42.156	41.638	42.087	1894	EUR	
10/01/2014 00:00	42.242	42.311	41.682	42.311	4799	EUR	
13/01/2014 00:00	41.949	42.802	41.94	42.802	2734	EUR	
14/01/2014 00:00	42.802	42.802	42.363	42.587	7988	EUR	
15/01/2014 00:00	42.63	42.75	42.432	42.75	5096	EUR	
16/01/2014 00:00	42.759	44.311	42.578	44.311	8502	EUR	
17/01/2014 00:00	44.268	44.819	43.276	44.595	12032	EUR	
20/01/2014 00:00	44.268	44.569	43.966	44.414	6873	EUR	
21/01/2014 00:00	43.966	44.388	43.863	43.966	1565	EUR	
22/01/2014 00:00	43.966	44.311	43.88	44.035	5106	EUR	
23/01/2014 00:00	44.294	44.294	43.164	44.251	3098	EUR	
24/01/2014 00:00	43.966	43.966	43.104	43.276	4384	EUR	
27/01/2014 00:00	43.19	43.535	42.742	42.742	8987	EUR	
28/01/2014 00:00	43.104	43.19	42.578	42.578	4386	EUR	
29/01/2014 00:00	42.406	42.406	42.406	42.406	0	EUR	
31/01/2014 00:00	43.104	43.104	41.897	42.819	8413	EUR	
03/02/2014 00:00	42.552	42.992	42.414	42.587	7398	EUR	
04/02/2014 00:00	42.759	43.13	42.414	43.13	10668	EUR	
05/02/2014 00:00	42.526	43.104	42.526	42.535	2143	EUR	
06/02/2014 00:00	42.5	43.087	42.5	42.759	3135	EUR	
07/02/2014 00:00	42.759	43.052	42.759	42.932	1615	EUR	
10/02/2014 00:00	42.888	43.104	42.888	42.888	3775	EUR	
11/02/2014 00:00	42.5	43.104	42.5	42.932	6027	EUR	
12/02/2014 00:00	42.923	43.794	42.906	43.794	3525	EUR	
13/02/2014 00:00	42.776	44.052	42.776	44.052	1779	EUR	
14/02/2014 00:00	43.19	44.199	43.19	44.199	4134	EUR	
17/02/2014 00:00	44.199	44.199	43.233	43.233	1251	EUR	
18/02/2014 00:00	43.759	43.759	42.794	43.104	4629	EUR	
19/02/2014 00:00	43.104	43.38	42.673	43.104	2756	EUR	
