date	ouv	haut	bas	clot	vol	devise	
21/02/2022 00:00	222.98	222.98	222.98	222.98	0	EUR	
22/02/2022 00:00	220.58	220.58	220.58	220.58	0	EUR	
23/02/2022 00:00	218.27	218.27	218.27	218.27	0	EUR	
24/02/2022 00:00	217.28	217.28	217.28	217.28	0	EUR	
25/02/2022 00:00	222.03	222.03	222.03	222.03	0	EUR	
28/02/2022 00:00	220.76	220.76	220.76	220.76	0	EUR	
01/03/2022 00:00	216.85	216.85	216.85	216.85	0	EUR	
02/03/2022 00:00	219.7	219.7	219.7	219.7	0	EUR	
03/03/2022 00:00	216.65	216.65	216.65	216.65	0	EUR	
04/03/2022 00:00	210.96	210.96	210.96	210.96	0	EUR	
07/03/2022 00:00	203.55	203.55	203.55	203.55	0	EUR	
08/03/2022 00:00	202.11	202.11	202.11	202.11	0	EUR	
10/03/2022 00:00	208.6	208.6	208.6	208.6	0	EUR	
11/03/2022 00:00	208.35	208.35	208.35	208.35	0	EUR	
14/03/2022 00:00	208.76	208.76	208.76	208.76	0	EUR	
15/03/2022 00:00	210.43	210.43	210.43	210.43	0	EUR	
16/03/2022 00:00	215.64	215.64	215.64	215.64	0	EUR	
17/03/2022 00:00	217.49	217.49	217.49	217.49	0	EUR	
18/03/2022 00:00	220.64	220.64	220.64	220.64	0	EUR	
21/03/2022 00:00	219.46	219.46	219.46	219.46	0	EUR	
22/03/2022 00:00	221.83	221.83	221.83	221.83	0	EUR	
23/03/2022 00:00	219.18	219.18	219.18	219.18	0	EUR	
24/03/2022 00:00	219.61	219.61	219.61	219.61	0	EUR	
25/03/2022 00:00	219.79	219.79	219.79	219.79	0	EUR	
28/03/2022 00:00	222.28	222.28	222.28	222.28	0	EUR	
29/03/2022 00:00	227.46	227.46	227.46	227.46	0	EUR	
30/03/2022 00:00	224.78	224.78	224.78	224.78	0	EUR	
31/03/2022 00:00	220.92	220.92	220.92	220.92	0	EUR	
01/04/2022 00:00	221.43	221.43	221.43	221.43	0	EUR	
04/04/2022 00:00	223.92	223.92	223.92	223.92	0	EUR	
05/04/2022 00:00	222.95	222.95	222.95	222.95	0	EUR	
06/04/2022 00:00	218.79	218.79	218.79	218.79	0	EUR	
07/04/2022 00:00	220.37	220.37	220.37	220.37	0	EUR	
08/04/2022 00:00	220.66	220.66	220.66	220.66	0	EUR	
11/04/2022 00:00	217.12	217.12	217.12	217.12	0	EUR	
12/04/2022 00:00	216.76	216.76	216.76	216.76	0	EUR	
13/04/2022 00:00	218.61	218.61	218.61	218.61	0	EUR	
19/04/2022 00:00	219.84	219.84	219.84	219.84	0	EUR	
20/04/2022 00:00	220.84	220.84	220.84	220.84	0	EUR	
21/04/2022 00:00	219.6	219.6	219.6	219.6	0	EUR	
22/04/2022 00:00	215.82	215.82	215.82	215.82	0	EUR	
25/04/2022 00:00	214.98	214.98	214.98	214.98	0	EUR	
26/04/2022 00:00	210.6	210.6	210.6	210.6	0	EUR	
27/04/2022 00:00	211	211	211	211	0	EUR	
28/04/2022 00:00	214.09	214.09	214.09	214.09	0	EUR	
29/04/2022 00:00	211.3	211.3	211.3	211.3	0	EUR	
02/05/2022 00:00	210.47	210.47	210.47	210.47	0	EUR	
03/05/2022 00:00	209.52	209.52	209.52	209.52	0	EUR	
04/05/2022 00:00	209.21	209.21	209.21	209.21	0	EUR	
05/05/2022 00:00	203.89	203.89	203.89	203.89	0	EUR	
06/05/2022 00:00	200.76	200.76	200.76	200.76	0	EUR	
10/05/2022 00:00	195.93	195.93	195.93	195.93	0	EUR	
11/05/2022 00:00	195.54	195.54	195.54	195.54	0	EUR	
12/05/2022 00:00	194.96	194.96	194.96	194.96	0	EUR	
13/05/2022 00:00	198.52	198.52	198.52	198.52	0	EUR	
16/05/2022 00:00	198.01	198.01	198.01	198.01	0	EUR	
19/05/2022 00:00	192.23	192.23	192.23	192.23	0	EUR	
20/05/2022 00:00	191.75	191.75	191.75	191.75	0	EUR	
23/05/2022 00:00	194.2	194.2	194.2	194.2	0	EUR	
24/05/2022 00:00	191.52	191.52	191.52	191.52	0	EUR	
25/05/2022 00:00	191.66	191.66	191.66	191.66	0	EUR	
